date,brand,config,power,drive,color,model_id,global_sequence,date_position,shift,shift_position,brand_block,paint_line
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1,1,白班,1,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,2,2,白班,2,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,3,3,白班,3,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,4,4,白班,4,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,5,5,白班,5,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,6,6,白班,6,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,7,7,白班,7,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,8,8,白班,8,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,9,9,白班,9,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,10,10,白班,10,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,11,11,白班,11,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,12,12,白班,12,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,13,13,白班,13,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,14,14,白班,14,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,15,15,白班,15,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,16,16,白班,16,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,17,17,白班,17,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,18,18,白班,18,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,19,19,白班,19,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,20,20,白班,20,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,21,21,白班,21,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,22,22,白班,22,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,23,23,白班,23,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,24,24,白班,24,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,25,25,白班,25,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,26,26,白班,26,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,27,27,白班,27,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,28,28,白班,28,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,29,29,白班,29,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,30,30,白班,30,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,31,31,白班,31,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,32,32,白班,32,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,33,33,白班,33,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,34,34,白班,34,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,35,35,白班,35,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,36,36,白班,36,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,37,37,白班,37,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,38,38,白班,38,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,39,39,白班,39,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,40,40,白班,40,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,41,41,白班,41,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,42,42,白班,42,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,43,43,白班,43,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,44,44,白班,44,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,45,45,白班,45,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,46,46,白班,46,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,47,47,白班,47,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,48,48,白班,48,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,49,49,白班,49,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,50,50,白班,50,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,51,51,白班,51,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,52,52,白班,52,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,53,53,白班,53,A1,C1
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,54,54,白班,54,A1,C2
2018-09-17,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,55,55,白班,55,A1,C1
2018-09-17,A1,B1,汽油,四驱,白,A1-B1-汽油-四驱-白,56,56,白班,56,A1,C2
2018-09-17,A1,B1,汽油,两驱,蓝,A1-B1-汽油-两驱-蓝,57,57,白班,57,A1,C1
2018-09-17,A1,B1,汽油,两驱,蓝,A1-B1-汽油-两驱-蓝,58,58,白班,58,A1,C1
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,59,59,白班,59,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,60,60,白班,60,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,61,61,白班,61,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,62,62,白班,62,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,63,63,白班,63,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,64,64,白班,64,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,65,65,白班,65,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,66,66,白班,66,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,67,67,白班,67,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,68,68,白班,68,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,69,69,白班,69,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,70,70,白班,70,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,71,71,白班,71,A1,C2
2018-09-17,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,72,72,白班,72,A1,C2
2018-09-17,A1,B3,汽油,四驱,白,A1-B3-汽油-四驱-白,73,73,白班,73,A1,C2
2018-09-17,A1,B5,汽油,两驱,白,A1-B5-汽油-两驱-白,74,74,白班,74,A1,C2
2018-09-17,A1,B5,汽油,两驱,白,A1-B5-汽油-两驱-白,75,75,白班,75,A1,C2
2018-09-17,A1,B5,汽油,两驱,银,A1-B5-汽油-两驱-银,76,76,白班,76,A1,C1
2018-09-17,A1,B1,汽油,两驱,银,A1-B1-汽油-两驱-银,77,77,白班,77,A1,C1
2018-09-17,A1,B1,汽油,两驱,银,A1-B1-汽油-两驱-银,78,78,白班,78,A1,C1
2018-09-17,A1,B1,汽油,两驱,黄,A1-B1-汽油-两驱-黄,79,79,白班,79,A1,C1
2018-09-17,A1,B1,汽油,两驱,黄,A1-B1-汽油-两驱-黄,80,80,白班,80,A1,C1
2018-09-17,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,81,81,白班,81,A1,C1
2018-09-17,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,82,82,白班,82,A1,C1
2018-09-17,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,83,83,白班,83,A1,C1
2018-09-17,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,84,84,白班,84,A1,C1
2018-09-17,A1,B1,汽油,四驱,灰,A1-B1-汽油-四驱-灰,85,85,白班,85,A1,C1
2018-09-17,A1,B1,汽油,两驱,红,A1-B1-汽油-两驱-红,86,86,白班,86,A1,C1
2018-09-17,A1,B2,汽油,两驱,红,A1-B2-汽油-两驱-红,87,87,白班,87,A1,C1
2018-09-17,A1,B2,汽油,两驱,灰,A1-B2-汽油-两驱-灰,88,88,白班,88,A1,C1
2018-09-17,A1,B2,汽油,两驱,黄,A1-B2-汽油-两驱-黄,89,89,白班,89,A1,C1
2018-09-17,A1,B2,汽油,两驱,银,A1-B2-汽油-两驱-银,90,90,白班,90,A1,C1
2018-09-17,A1,B3,汽油,两驱,银,A1-B3-汽油-两驱-银,91,91,白班,91,A1,C1
2018-09-17,A1,B3,汽油,两驱,黑,A1-B3-汽油-两驱-黑,92,92,白班,92,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,93,93,白班,93,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,94,94,白班,94,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,95,95,白班,95,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,96,96,白班,96,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,97,97,白班,97,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,98,98,白班,98,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,99,99,白班,99,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,100,100,白班,100,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,101,101,白班,101,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,102,102,白班,102,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,103,103,白班,103,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,104,104,白班,104,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,105,105,白班,105,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,106,106,白班,106,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,107,107,白班,107,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,108,108,白班,108,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,109,109,白班,109,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,110,110,白班,110,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,111,111,白班,111,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,112,112,白班,112,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,113,113,白班,113,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,114,114,白班,114,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,115,115,白班,115,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,116,116,白班,116,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,117,117,白班,117,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,118,118,白班,118,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,119,119,白班,119,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,120,120,白班,120,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,121,121,白班,121,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,122,122,白班,122,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,123,123,白班,123,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,124,124,白班,124,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,125,125,白班,125,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,126,126,白班,126,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,127,127,白班,127,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,128,128,白班,128,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,129,129,白班,129,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,130,130,白班,130,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,131,131,白班,131,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,132,132,白班,132,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,133,133,白班,133,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,134,134,白班,134,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,135,135,白班,135,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,136,136,白班,136,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,137,137,白班,137,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,138,138,白班,138,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,139,139,白班,139,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,140,140,白班,140,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,141,141,白班,141,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,142,142,白班,142,A1,C2
2018-09-17,A1,B1,汽油,四驱,黑,A1-B1-汽油-四驱-黑,143,143,白班,143,A1,C2
2018-09-17,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,144,144,白班,144,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,145,145,白班,145,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,146,146,白班,146,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,147,147,白班,147,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,148,148,白班,148,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,149,149,白班,149,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,150,150,白班,150,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,151,151,白班,151,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,152,152,白班,152,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,153,153,白班,153,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,154,154,白班,154,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,155,155,白班,155,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,156,156,白班,156,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,157,157,白班,157,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,158,158,白班,158,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,159,159,白班,159,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,160,160,白班,160,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,161,161,白班,161,A1,C2
2018-09-17,A1,B3,汽油,四驱,白,A1-B3-汽油-四驱-白,162,162,白班,162,A1,C1
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,163,163,白班,163,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,164,164,白班,164,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,165,165,白班,165,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,166,166,白班,166,A1,C2
2018-09-17,A1,B2,汽油,两驱,黑,A1-B2-汽油-两驱-黑,167,167,白班,167,A1,C2
