trait,date,global_sequence,gap_from_previous,current_run_length,violation,high_cost_gap
four_drive,2018-09-17,56,,1,False,False
four_drive,2018-09-17,73,16,1,False,False
four_drive,2018-09-17,85,11,1,False,False
four_drive,2018-09-17,143,57,1,False,False
four_drive,2018-09-17,162,18,1,False,False
four_drive,2018-09-17,184,21,1,False,False
four_drive,2018-09-17,186,1,1,True,False
four_drive,2018-09-17,187,0,2,True,False
four_drive,2018-09-17,188,0,3,True,False
four_drive,2018-09-17,189,0,4,True,False
four_drive,2018-09-17,204,14,1,False,False
four_drive,2018-09-17,219,14,1,False,False
four_drive,2018-09-17,231,11,1,False,False
four_drive,2018-09-17,241,9,1,False,True
four_drive,2018-09-17,242,0,2,True,False
four_drive,2018-09-17,243,0,3,True,False
four_drive,2018-09-17,244,0,4,True,False
four_drive,2018-09-17,299,54,1,False,False
four_drive,2018-09-17,314,14,1,False,False
four_drive,2018-09-17,325,10,1,False,False
four_drive,2018-09-17,376,50,1,False,False
four_drive,2018-09-17,396,19,1,False,False
four_drive,2018-09-17,416,19,1,False,False
four_drive,2018-09-17,418,1,1,True,False
four_drive,2018-09-17,419,0,2,True,False
four_drive,2018-09-17,434,14,1,False,False
four_drive,2018-09-17,448,13,1,False,False
four_drive,2018-09-17,458,9,1,False,True
four_drive,2018-09-17,459,0,2,True,False
four_drive,2018-09-17,460,0,3,True,False
four_drive,2018-09-18,516,55,1,False,False
four_drive,2018-09-18,536,19,1,False,False
four_drive,2018-09-18,553,16,1,False,False
four_drive,2018-09-18,593,39,1,False,False
four_drive,2018-09-18,638,44,1,False,False
four_drive,2018-09-18,640,1,1,True,False
four_drive,2018-09-18,641,0,2,True,False
four_drive,2018-09-18,642,0,3,True,False
four_drive,2018-09-18,643,0,4,True,False
four_drive,2018-09-18,644,0,5,True,False
four_drive,2018-09-18,662,17,1,False,False
four_drive,2018-09-18,678,15,1,False,False
four_drive,2018-09-18,692,13,1,False,False
four_drive,2018-09-18,695,2,1,True,False
four_drive,2018-09-18,696,0,2,True,False
four_drive,2018-09-18,697,0,3,True,False
four_drive,2018-09-18,698,0,4,True,False
four_drive,2018-09-18,699,0,5,True,False
four_drive,2018-09-18,700,0,6,True,False
four_drive,2018-09-18,701,0,7,True,False
four_drive,2018-09-18,702,0,8,True,False
