date,brand,config,power,drive,color,model_id,global_sequence,date_position,shift,shift_position,brand_block,paint_line
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1381,1,白班,1,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1382,2,白班,2,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1383,3,白班,3,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1384,4,白班,4,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1385,5,白班,5,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1386,6,白班,6,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1387,7,白班,7,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1388,8,白班,8,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1389,9,白班,9,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1390,10,白班,10,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1391,11,白班,11,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1392,12,白班,12,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1393,13,白班,13,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1394,14,白班,14,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1395,15,白班,15,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1396,16,白班,16,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1397,17,白班,17,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1398,18,白班,18,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1399,19,白班,19,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1400,20,白班,20,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1401,21,白班,21,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1402,22,白班,22,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1403,23,白班,23,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1404,24,白班,24,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1405,25,白班,25,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1406,26,白班,26,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1407,27,白班,27,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1408,28,白班,28,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1409,29,白班,29,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1410,30,白班,30,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1411,31,白班,31,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1412,32,白班,32,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1413,33,白班,33,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1414,34,白班,34,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1415,35,白班,35,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1416,36,白班,36,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1417,37,白班,37,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1418,38,白班,38,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1419,39,白班,39,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1420,40,白班,40,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1421,41,白班,41,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1422,42,白班,42,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1423,43,白班,43,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1424,44,白班,44,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1425,45,白班,45,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1426,46,白班,46,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1427,47,白班,47,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1428,48,白班,48,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1429,49,白班,49,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1430,50,白班,50,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1431,51,白班,51,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1432,52,白班,52,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1433,53,白班,53,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1434,54,白班,54,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1435,55,白班,55,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1436,56,白班,56,A1,C1
2018-09-20,A1,B1,汽油,两驱,白,A1-B1-汽油-两驱-白,1437,57,白班,57,A1,C1
2018-09-20,A1,B1,汽油,两驱,蓝,A1-B1-汽油-两驱-蓝,1438,58,白班,58,A1,C1
2018-09-20,A1,B1,汽油,两驱,蓝,A1-B1-汽油-两驱-蓝,1439,59,白班,59,A1,C1
2018-09-20,A1,B3,汽油,两驱,蓝,A1-B3-汽油-两驱-蓝,1440,60,白班,60,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1441,61,白班,61,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1442,62,白班,62,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1443,63,白班,63,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1444,64,白班,64,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1445,65,白班,65,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1446,66,白班,66,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1447,67,白班,67,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1448,68,白班,68,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1449,69,白班,69,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1450,70,白班,70,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1451,71,白班,71,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1452,72,白班,72,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1453,73,白班,73,A1,C1
2018-09-20,A1,B2,汽油,两驱,白,A1-B2-汽油-两驱-白,1454,74,白班,74,A1,C1
2018-09-20,A1,B5,汽油,两驱,白,A1-B5-汽油-两驱-白,1455,75,白班,75,A1,C1
2018-09-20,A1,B5,汽油,四驱,灰,A1-B5-汽油-四驱-灰,1456,76,白班,76,A1,C1
2018-09-20,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,1457,77,白班,77,A1,C1
2018-09-20,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,1458,78,白班,78,A1,C1
2018-09-20,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,1459,79,白班,79,A1,C1
2018-09-20,A1,B1,汽油,两驱,灰,A1-B1-汽油-两驱-灰,1460,80,白班,80,A1,C1
2018-09-20,A1,B1,汽油,两驱,红,A1-B1-汽油-两驱-红,1461,81,白班,81,A1,C1
2018-09-20,A1,B1,汽油,两驱,红,A1-B1-汽油-两驱-红,1462,82,白班,82,A1,C1
2018-09-20,A1,B1,汽油,两驱,银,A1-B1-汽油-两驱-银,1463,83,白班,83,A1,C1
2018-09-20,A1,B1,汽油,两驱,黄,A1-B1-汽油-两驱-黄,1464,84,白班,84,A1,C1
2018-09-20,A1,B1,汽油,两驱,黄,A1-B1-汽油-两驱-黄,1465,85,白班,85,A1,C1
2018-09-20,A1,B2,汽油,两驱,黄,A1-B2-汽油-两驱-黄,1466,86,白班,86,A1,C1
2018-09-20,A1,B2,汽油,两驱,灰,A1-B2-汽油-两驱-灰,1467,87,白班,87,A1,C1
2018-09-20,A1,B2,汽油,两驱,红,A1-B2-汽油-两驱-红,1468,88,白班,88,A1,C1
2018-09-20,A1,B3,汽油,两驱,灰,A1-B3-汽油-两驱-灰,1469,89,白班,89,A1,C1
2018-09-20,A1,B3,汽油,两驱,灰,A1-B3-汽油-两驱-灰,1470,90,白班,90,A1,C1
2018-09-20,A1,B3,汽油,两驱,银,A1-B3-汽油-两驱-银,1471,91,白班,91,A1,C1
2018-09-20,A1,B3,汽油,四驱,银,A1-B3-汽油-四驱-银,1472,92,白班,92,A1,C1
2018-09-20,A1,B3,汽油,两驱,黑,A1-B3-汽油-两驱-黑,1473,93,白班,93,A1,C2
2018-09-20,A1,B3,汽油,两驱,黑,A1-B3-汽油-两驱-黑,1474,94,白班,94,A1,C2
2018-09-20,A1,B3,汽油,两驱,黑,A1-B3-汽油-两驱-黑,1475,95,白班,95,A1,C2
2018-09-20,A1,B3,汽油,两驱,黑,A1-B3-汽油-两驱-黑,1476,96,白班,96,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1477,97,白班,97,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1478,98,白班,98,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1479,99,白班,99,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1480,100,白班,100,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1481,101,白班,101,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1482,102,白班,102,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1483,103,白班,103,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1484,104,白班,104,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1485,105,白班,105,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1486,106,白班,106,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1487,107,白班,107,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1488,108,白班,108,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1489,109,白班,109,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1490,110,白班,110,A1,C2
2018-09-20,A1,B1,汽油,两驱,黑,A1-B1-汽油-两驱-黑,1491,111,白班,111,A1,C2
