target_mpa,open_ms,rms_error_mpa,mean_pressure_mpa,pressure_span_mpa
100,0.2,35.7622,64.375166,11.46682
100,0.502041,26.479331,73.617289,8.402952
100,0.804082,26.479331,73.617289,8.402952
100,1.106122,17.525992,82.534163,5.549731
100,1.408163,17.525992,82.534163,5.549731
100,1.710204,8.956736,91.071853,2.953296
100,2.012245,0.816395,99.18761,0.655703
100,2.314286,0.816395,99.18761,0.655703
100,2.616327,6.813768,106.796219,2.359139
100,2.918367,6.813768,106.796219,2.359139
100,3.220408,13.872713,113.841648,4.097437
100,3.522449,20.324267,120.28554,5.440495
100,3.82449,20.324267,120.28554,5.440495
100,4.126531,26.147992,126.106829,6.385724
100,4.428571,26.147992,126.106829,6.385724
100,4.730612,31.328234,131.288833,6.947908
100,5.032653,35.870566,135.835868,7.160275
100,5.334694,35.870566,135.835868,7.160275
100,5.636735,39.789161,139.760766,7.074273
100,5.938776,39.789161,139.760766,7.074273
100,6.240816,43.119776,143.098055,6.755701
100,6.542857,45.906029,145.890406,6.278948
100,6.844898,45.906029,145.890406,6.278948
100,7.146939,48.20764,148.196968,5.718717
100,7.44898,48.20764,148.196968,5.718717
100,7.75102,50.085953,150.078897,5.142214
100,8.053061,51.608932,151.604257,4.602339
100,8.355102,51.608932,151.604257,4.602339
100,8.657143,52.837977,152.834713,4.13416
100,8.959184,52.837977,152.834713,4.13416
100,9.261224,53.83273,153.830203,3.755106
100,9.563265,54.641244,154.639042,3.467381
100,9.865306,54.641244,154.639042,3.467381
100,10.167347,55.306229,155.30412,3.262789
100,10.469388,55.306229,155.30412,3.262789
100,10.771429,55.858691,155.856559,3.127347
100,11.073469,56.325165,156.322953,3.045367
100,11.37551,56.325165,156.322953,3.045367
100,11.677551,56.723052,156.720737,3.001863
100,11.979592,56.723052,156.720737,3.001863
100,12.281633,57.067441,157.065014,2.98451
100,12.583673,57.367556,157.365016,2.983851
100,12.885714,57.367556,157.365016,2.983851
100,13.187755,57.632098,157.629443,2.993009
100,13.489796,57.632098,157.629443,2.993009
100,13.791837,57.865731,157.862965,3.007507
100,14.093878,58.073965,158.071089,3.024441
100,14.395918,58.073965,158.071089,3.024441
100,14.697959,58.259348,158.256366,3.042095
100,15.0,58.259348,158.256366,3.042095
