omega_rad_per_ms,omega_rad_per_s,rms_error_mpa,mean_pressure_mpa,pressure_span_mpa
0.015,15.0,21.841739,78.263338,8.147968
0.018,18.0,16.889181,83.213883,7.262102
0.021,21.0,11.680917,88.408318,6.18531
0.024,24.0,6.466717,93.637257,5.208448
0.027,27.0,1.607503,98.920198,5.207542
0.03,30.0,4.687798,104.457011,6.879291
0.033,33.0,10.172846,110.015755,8.324686
0.036,36.0,16.040148,115.854954,10.625209
0.039,39.0,21.899636,121.703461,13.018009
0.042,42.0,28.049804,127.808564,15.881999
0.045,45.0,34.293589,134.021219,16.014279
0.048,48.0,40.714183,140.39767,21.369948
0.051,51.0,47.378435,147.010947,21.651019
0.054,54.0,54.145687,153.734271,25.702632
0.057,57.0,61.271456,160.788604,28.544169
0.06,60.0,68.446972,167.923057,30.057646
0.063,63.0,75.773369,175.148066,36.369714
0.066,66.0,83.925655,183.219205,36.916011
0.069,69.0,92.091367,191.306428,45.144865
0.072,72.0,100.281238,199.443656,42.467446
0.075,75.0,106.902018,206.231079,36.27014
0.078,78.0,111.358508,210.959939,30.12177
0.081,81.0,114.603397,214.40961,23.964824
0.084,84.0,117.086869,217.011001,17.73713
0.087,87.0,118.188908,218.164295,11.488106
0.09,90.0,118.80934,218.794421,5.218921
0.093,93.0,118.677168,218.65979,5.021671
0.096,96.0,118.999644,218.986762,5.021671
0.099,99.0,118.939691,218.925796,5.021671
0.102,102.0,118.871984,218.857282,5.021671
0.105,105.0,118.968225,218.956204,5.021671
0.108,108.0,118.878772,218.864716,5.021671
0.111,111.0,118.97083,218.95687,5.021671
0.114,114.0,118.962031,218.948565,5.021671
0.117,117.0,118.905754,218.890867,5.021671
0.12,120.0,119.048892,219.036414,5.021671
0.123,123.0,118.601205,218.584945,5.021671
0.126,126.0,118.709409,218.691286,5.021671
0.129,129.0,119.148858,219.136059,5.021671
0.132,132.0,119.138796,219.12698,5.021671
0.135,135.0,119.060551,219.047143,5.021671
0.138,138.0,119.202062,219.190416,5.021671
0.141,141.0,119.101531,219.089615,5.021671
0.144,144.0,119.197628,219.186491,5.021671
0.147,147.0,119.199083,219.189488,5.021671
0.15,150.0,119.243637,219.233229,5.021671
0.153,153.0,119.341631,219.332208,5.021671
0.156,156.0,119.326167,219.315547,5.021671
0.159,159.0,119.379478,219.371201,5.021671
0.162,162.0,119.36368,219.354797,5.021671
0.165,165.0,119.34148,219.331907,5.021671
0.168,168.0,119.34343,219.334669,5.021671
0.171,171.0,119.301985,219.291969,5.021671
0.174,174.0,119.381438,219.37228,5.021671
0.177,177.0,119.337078,219.327458,5.021671
0.18,180.0,119.338554,219.328718,5.021671
