start_ms,end_ms,duration_ms
144.0,144.5,0.5
147.0,147.5,0.5
150.5,151.0,0.5
228.5,229.0,0.5
232.5,233.0,0.5
298.5,299.0,0.5
316.0,316.5,0.5
380.0,380.5,0.5
382.5,383.0,0.5
385.5,386.0,0.5
389.0,389.5,0.5
393.0,393.5,0.5
471.0,471.5,0.5
478.5,479.0,0.5
540.0,540.5,0.5
543.0,543.5,0.5
545.5,546.0,0.5
549.0,549.5,0.5
627.5,628.0,0.5
631.5,632.0,0.5
697.5,698.0,0.5
700.0,700.5,0.5
779.0,779.5,0.5
781.5,782.0,0.5
784.5,785.0,0.5
787.5,788.0,0.5
792.0,792.5,0.5
870.0,870.5,0.5
876.5,877.0,0.5
939.0,939.5,0.5
941.5,942.0,0.5
944.5,945.0,0.5
948.0,948.5,0.5
1026.5,1027.0,0.5
1030.0,1030.5,0.5
1096.5,1097.0,0.5
1099.0,1099.5,0.5
1178.0,1178.5,0.5
1180.5,1181.0,0.5
1183.5,1184.0,0.5
1186.5,1187.0,0.5
1191.0,1191.5,0.5
1268.5,1269.0,0.5
1275.0,1275.5,0.5
1338.0,1338.5,0.5
1340.5,1341.0,0.5
1343.5,1344.0,0.5
1347.0,1347.5,0.5
1425.5,1426.0,0.5
1429.0,1429.5,0.5
1495.5,1496.0,0.5
1498.0,1498.5,0.5
1577.0,1577.5,0.5
1579.5,1580.0,0.5
1582.5,1583.0,0.5
1585.5,1586.0,0.5
1589.5,1590.0,0.5
1667.5,1668.0,0.5
1673.5,1674.0,0.5
1737.0,1737.5,0.5
1739.5,1740.0,0.5
1742.5,1743.0,0.5
1746.0,1746.5,0.5
1750.5,1751.0,0.5
1828.0,1828.5,0.5
1894.5,1895.0,0.5
1897.0,1897.5,0.5
1900.0,1900.5,0.5
1978.5,1979.0,0.5
1981.5,1982.0,0.5
1984.5,1985.0,0.5
1988.5,1989.0,0.5
2066.5,2067.0,0.5
2072.0,2072.5,0.5
2136.0,2136.5,0.5
2138.5,2139.0,0.5
2141.5,2142.0,0.5
2145.0,2145.5,0.5
2149.0,2149.5,0.5
2227.0,2227.5,0.5
2234.0,2234.5,0.5
2296.0,2296.5,0.5
2298.5,2299.0,0.5
2377.5,2378.0,0.5
2380.0,2380.5,0.5
2383.5,2384.0,0.5
2387.5,2388.0,0.5
2465.5,2466.0,0.5
2470.5,2471.0,0.5
2535.0,2535.5,0.5
2537.5,2538.0,0.5
2540.5,2541.0,0.5
2543.5,2544.0,0.5
2548.0,2548.5,0.5
2625.5,2626.0,0.5
2632.0,2632.5,0.5
2695.0,2695.5,0.5
2697.5,2698.0,0.5
2700.5,2701.0,0.5
2779.0,2779.5,0.5
2782.5,2783.0,0.5
2786.0,2786.5,0.5
2864.0,2864.5,0.5
2869.5,2870.0,0.5
2934.0,2934.5,0.5
2936.5,2937.0,0.5
2939.5,2940.0,0.5
2942.5,2943.0,0.5
2946.5,2947.0,0.5
