omega_rad_per_ms,relief_threshold_mpa,rms_error_mpa,mean_pressure_mpa,pressure_span_mpa,relief_open_event_count,relief_volume_mm3
0.03,102.0,35.567287,64.539901,10.591157,0,0.0
0.03,105.0,35.567287,64.539901,10.591157,0,0.0
0.03,108.0,35.567287,64.539901,10.591157,0,0.0
0.03,112.0,35.567287,64.539901,10.591157,0,0.0
0.03,116.0,35.567287,64.539901,10.591157,0,0.0
0.03,120.0,35.567287,64.539901,10.591157,0,0.0
0.03487179,102.0,28.817469,71.277481,10.070008,0,0.0
0.03487179,105.0,28.817469,71.277481,10.070008,0,0.0
0.03487179,108.0,28.817469,71.277481,10.070008,0,0.0
0.03487179,112.0,28.817469,71.277481,10.070008,0,0.0
0.03487179,116.0,28.817469,71.277481,10.070008,0,0.0
0.03487179,120.0,28.817469,71.277481,10.070008,0,0.0
0.03974359,102.0,21.726382,78.358069,8.793352,0,0.0
0.03974359,105.0,21.726382,78.358069,8.793352,0,0.0
0.03974359,108.0,21.726382,78.358069,8.793352,0,0.0
0.03974359,112.0,21.726382,78.358069,8.793352,0,0.0
0.03974359,116.0,21.726382,78.358069,8.793352,0,0.0
0.03974359,120.0,21.726382,78.358069,8.793352,0,0.0
0.04461538,102.0,14.549005,85.516634,7.236606,0,0.0
0.04461538,105.0,14.549005,85.516634,7.236606,0,0.0
0.04461538,108.0,14.549005,85.516634,7.236606,0,0.0
0.04461538,112.0,14.549005,85.516634,7.236606,0,0.0
0.04461538,116.0,14.549005,85.516634,7.236606,0,0.0
0.04461538,120.0,14.549005,85.516634,7.236606,0,0.0
0.04948718,102.0,7.194397,92.902566,5.487039,0,0.0
0.04948718,105.0,7.194397,92.902566,5.487039,0,0.0
0.04948718,108.0,7.194397,92.902566,5.487039,0,0.0
0.04948718,112.0,7.194397,92.902566,5.487039,0,0.0
0.04948718,116.0,7.194397,92.902566,5.487039,0,0.0
0.04948718,120.0,7.194397,92.902566,5.487039,0,0.0
0.05435897,102.0,1.272023,99.464828,5.014082,4,40.426153
0.05435897,105.0,1.279665,100.461543,5.529365,0,0.0
0.05435897,108.0,1.279665,100.461543,5.529365,0,0.0
0.05435897,112.0,1.279665,100.461543,5.529365,0,0.0
0.05435897,116.0,1.279665,100.461543,5.529365,0,0.0
0.05435897,120.0,1.279665,100.461543,5.529365,0,0.0
0.05923077,102.0,1.149634,99.974989,4.846318,23,232.456651
0.05923077,105.0,3.129442,102.900236,5.114156,15,153.721943
0.05923077,108.0,5.975521,105.849995,5.05105,8,83.098382
0.05923077,112.0,8.624989,108.486873,6.721456,0,0.0
0.05923077,116.0,8.624989,108.486873,6.721456,0,0.0
0.05923077,120.0,8.624989,108.486873,6.721456,0,0.0
0.06410256,102.0,1.191443,99.775271,4.807631,44,444.716108
0.06410256,105.0,2.935875,102.671718,5.125267,35,358.690826
0.06410256,108.0,5.795113,105.664006,5.153676,28,290.858379
0.06410256,112.0,9.699043,109.617898,5.11079,18,190.246033
0.06410256,116.0,13.450876,113.38547,5.485148,10,107.474849
0.06410256,120.0,16.431429,116.323001,8.546342,3,32.767294
0.06897436,102.0,1.140041,100.294808,4.580682,68,687.298043
0.06897436,105.0,3.441297,103.251965,5.050162,58,594.417526
0.06897436,108.0,6.297342,106.19194,5.03092,50,519.383368
0.06897436,112.0,10.147878,110.078452,5.213228,40,422.795805
0.06897436,116.0,14.014562,113.961886,5.248599,30,322.447274
0.06897436,120.0,18.006153,117.963372,5.375377,22,240.316854
0.07384615,102.0,1.155186,100.462369,4.413304,87,879.364122
0.07384615,105.0,3.550568,103.362906,4.696236,77,789.148302
0.07384615,108.0,6.424373,106.325723,4.782129,68,706.378987
0.07384615,112.0,10.370192,110.300793,5.000345,57,602.500768
0.07384615,116.0,14.21503,114.16424,5.009661,47,505.184125
0.07384615,120.0,18.138266,118.097034,5.224793,38,415.096542
0.07871795,102.0,1.102655,100.43698,4.327665,109,1101.745714
0.07871795,105.0,3.590894,103.43521,4.316605,99,1014.657031
0.07871795,108.0,6.532362,106.449278,4.246673,90,934.931048
0.07871795,112.0,10.268816,110.205716,4.869062,79,835.025478
0.07871795,116.0,14.297577,114.252034,4.824493,68,730.90759
0.07871795,120.0,18.180511,118.142777,5.121011,58,633.577047
0.08358974,102.0,1.144549,100.468094,4.122462,133,1344.344433
0.08358974,105.0,3.566863,103.396747,4.189643,123,1260.636667
0.08358974,108.0,6.460086,106.369841,4.242563,113,1173.855381
0.08358974,112.0,10.367168,110.311457,4.190939,101,1067.583674
0.08358974,116.0,14.284889,114.234823,4.695379,90,967.389053
0.08358974,120.0,18.226257,118.187075,4.786716,79,862.980144
0.08846154,102.0,1.167813,100.687406,3.687717,152,1536.404261
0.08846154,105.0,3.775363,103.646839,3.589858,141,1445.149055
0.08846154,108.0,6.692815,106.616791,3.77279,132,1371.267281
0.08846154,112.0,10.611206,110.560494,4.048944,119,1257.899854
0.08846154,116.0,14.517873,114.475816,4.159929,107,1150.133259
0.08846154,120.0,18.395596,118.361494,4.335138,97,1059.648844
0.09333333,102.0,1.228601,100.801904,3.099412,172,1738.623513
0.09333333,105.0,3.851247,103.728466,3.192487,161,1650.164072
0.09333333,108.0,6.73063,106.651404,3.493372,151,1568.680212
0.09333333,112.0,10.633135,110.582709,3.502451,138,1458.753772
0.09333333,116.0,14.60163,114.562667,3.800794,126,1354.397907
0.09333333,120.0,18.487065,118.453037,3.804382,115,1256.291959
0.09820513,102.0,1.280709,100.802049,2.908179,197,1991.343108
0.09820513,105.0,3.906453,103.78926,2.827202,186,1906.442438
0.09820513,108.0,6.827664,106.74569,3.029471,176,1828.394307
0.09820513,112.0,10.644176,110.589561,3.108952,162,1712.445493
0.09820513,116.0,14.613875,114.571167,3.253637,150,1612.384374
0.09820513,120.0,18.640129,118.605313,3.336103,138,1507.564996
0.10307692,102.0,1.334462,100.922388,2.877446,217,2193.504881
0.10307692,105.0,4.034252,103.916341,2.977701,206,2111.463249
0.10307692,108.0,6.947414,106.877768,3.031127,195,2025.825823
0.10307692,112.0,10.896616,110.848419,3.140632,181,1913.304464
0.10307692,116.0,14.830977,114.790773,3.234044,168,1805.873771
0.10307692,120.0,18.790608,118.759776,3.33,156,1704.198649
0.10794872,102.0,1.287711,100.855301,2.898203,236,2385.619449
0.10794872,105.0,3.959324,103.836407,2.941699,224,2295.975216
0.10794872,108.0,6.869214,106.790807,3.020689,213,2212.838085
0.10794872,112.0,10.885118,110.836258,3.159273,199,2103.650139
0.10794872,116.0,14.757227,114.718937,3.257973,186,1999.356606
0.10794872,120.0,18.732054,118.698048,3.2961,174,1900.88385
0.11282051,102.0,1.362265,100.969818,2.919062,262,2648.494175
0.11282051,105.0,4.010494,103.882518,2.996178,250,2562.499689
0.11282051,108.0,6.979205,106.9072,3.010521,239,2482.965997
0.11282051,112.0,10.908339,110.859159,2.902276,224,2367.967078
0.11282051,116.0,14.8236,114.783867,3.249656,211,2268.146104
0.11282051,120.0,18.796998,118.765578,3.321251,198,2163.102751
0.11769231,102.0,1.393992,101.032069,2.876927,283,2860.806693
0.11769231,105.0,4.118292,104.006016,2.9801,270,2767.542515
0.11769231,108.0,7.055247,106.986621,3.043277,259,2690.753627
0.11769231,112.0,10.941441,110.893765,3.040288,244,2579.391413
0.11769231,116.0,14.919695,114.882181,3.271165,230,2472.417873
0.11769231,120.0,18.868691,118.836261,3.38644,217,2370.657148
0.1225641,102.0,1.417921,101.13228,2.765025,301,3042.794722
0.1225641,105.0,4.197874,104.114183,2.781732,289,2962.329017
0.1225641,108.0,7.127124,107.075857,2.621923,277,2877.892365
0.1225641,112.0,10.992516,110.955442,2.976892,261,2759.107105
0.1225641,116.0,15.000543,114.971169,3.023979,247,2655.219775
0.1225641,120.0,18.908066,118.883284,3.300557,234,2556.415569
0.1274359,102.0,1.594629,101.52864,2.390058,327,3305.6494
0.1274359,105.0,4.552488,104.526351,2.592775,314,3218.596896
0.1274359,108.0,7.509224,107.493215,2.55139,302,3137.512914
0.1274359,112.0,11.426854,111.416924,2.757453,286,3023.402301
0.1274359,116.0,15.458772,115.449939,2.791737,272,2923.968262
0.1274359,120.0,19.395848,119.38715,2.955757,258,2818.645095
0.13230769,102.0,1.431677,101.068005,2.942992,348,3517.979102
0.13230769,105.0,4.166668,104.052188,2.975218,335,3433.896917
0.13230769,108.0,7.093099,107.020528,3.078765,322,3345.363127
0.13230769,112.0,10.961347,110.917593,3.071211,306,3234.898993
0.13230769,116.0,14.947731,114.908689,3.285925,291,3128.243621
0.13230769,120.0,18.941682,118.909042,3.391139,277,3026.241026
0.13717949,102.0,1.42208,101.081506,2.92096,367,3710.081931
0.13717949,105.0,4.194431,104.077614,2.955932,353,3618.458238
0.13717949,108.0,7.103804,107.035524,3.065024,341,3542.804971
0.13717949,112.0,11.014754,110.969735,3.161064,324,3425.213182
0.13717949,116.0,15.012548,114.975288,3.247304,309,3321.836681
0.13717949,120.0,18.916387,118.883974,3.402691,294,3212.086696
0.14205128,102.0,1.492903,101.206414,2.959078,392,3962.902169
0.14205128,105.0,4.290996,104.198588,3.00787,378,3874.767546
0.14205128,108.0,7.248457,107.188754,2.935385,365,3792.255012
0.14205128,112.0,11.181024,111.139121,3.202598,348,3678.938418
0.14205128,116.0,15.123243,115.091096,3.320095,333,3579.918556
0.14205128,120.0,19.080197,119.053423,3.42324,318,3474.314369
0.14692308,102.0,1.475517,101.167038,2.886577,414,4185.286313
0.14692308,105.0,4.236554,104.129923,3.021891,400,4100.334809
0.14692308,108.0,7.159187,107.099165,3.105465,386,4010.469202
0.14692308,112.0,11.148082,111.105552,3.191001,369,3901.019088
0.14692308,116.0,15.088615,115.056635,3.192691,353,3794.877312
0.14692308,120.0,19.02338,118.993297,3.392515,337,3681.918369
0.15179487,102.0,1.502646,101.194152,2.973371,432,4367.380606
0.15179487,105.0,4.252444,104.150804,3.048863,418,4284.859248
0.15179487,108.0,7.213645,107.155863,3.102551,404,4197.53954
0.15179487,112.0,11.176084,111.135388,3.186192,387,4091.37637
0.15179487,116.0,15.130763,115.092237,3.31554,370,3977.640816
0.15179487,120.0,19.070888,119.043395,3.420949,355,3878.619101
0.15666667,102.0,1.490869,101.231309,2.957541,457,4620.15946
0.15666667,105.0,4.292067,104.20235,2.923156,442,4530.950638
0.15666667,108.0,7.227461,107.17333,3.089693,428,4446.94217
0.15666667,112.0,11.186568,111.148911,3.070734,411,4345.139766
0.15666667,116.0,15.106181,115.077337,3.133493,394,4235.758783
0.15666667,120.0,19.050333,119.022687,3.438515,378,4129.917098
0.16153846,102.0,1.509375,101.243898,2.971536,479,4842.670381
0.16153846,105.0,4.331354,104.234043,2.964755,464,4756.51979
0.16153846,108.0,7.243604,107.18336,3.114362,450,4675.56961
0.16153846,112.0,11.206891,111.168278,3.10722,432,4567.236482
0.16153846,116.0,15.15905,115.127626,3.332864,414,4450.833608
0.16153846,120.0,19.166684,119.141695,3.441144,398,4348.511962
0.16641026,102.0,1.514115,101.206485,2.973721,498,5034.772315
0.16641026,105.0,4.258492,104.170638,2.905861,483,4951.423626
0.16641026,108.0,7.208384,107.152922,3.035237,468,4862.580365
0.16641026,112.0,11.129246,111.088101,3.214607,449,4746.986836
0.16641026,116.0,15.136535,115.104071,3.280944,432,4644.381606
0.16641026,120.0,19.061344,119.031966,3.420417,415,4534.245565
0.17128205,102.0,1.528892,101.2664,2.938364,522,5277.493143
0.17128205,105.0,4.371529,104.273851,2.996611,506,5187.189863
0.17128205,108.0,7.29279,107.233591,3.105219,492,5112.106371
0.17128205,112.0,11.213882,111.173939,3.253203,473,5000.761197
0.17128205,116.0,15.194705,115.163107,3.36115,455,4891.65418
0.17128205,120.0,19.153988,119.127769,3.325811,438,4785.639756
0.17615385,102.0,1.536927,101.262785,2.993946,545,5510.031926
0.17615385,105.0,4.36698,104.282144,2.99347,529,5423.082558
0.17615385,108.0,7.322453,107.269045,3.098694,514,5340.735788
0.17615385,112.0,11.212111,111.171512,3.235547,494,5222.86496
0.17615385,116.0,15.212464,115.182266,3.265534,476,5117.514168
0.17615385,120.0,19.190598,119.165068,3.462837,458,5004.251165
0.18102564,102.0,1.558789,101.312313,2.896759,564,5702.265543
0.18102564,105.0,4.363541,104.274031,3.031079,547,5607.650763
0.18102564,108.0,7.29668,107.238958,3.118153,532,5527.846937
0.18102564,112.0,11.241135,111.200664,3.203401,512,5413.043869
0.18102564,116.0,15.198767,115.166529,3.349462,493,5300.275414
0.18102564,120.0,19.195918,119.17254,3.173882,476,5200.924661
0.18589744,102.0,1.561888,101.290025,3.009905,587,5934.877844
0.18589744,105.0,4.329631,104.233209,3.059775,571,5853.662558
0.18589744,108.0,7.270846,107.213243,3.169168,555,5766.865409
0.18589744,112.0,11.24467,111.204251,3.271414,535,5656.492479
0.18589744,116.0,15.199093,115.168142,3.324299,515,5537.005282
0.18589744,120.0,19.199586,119.176318,3.055568,497,5430.530478
0.19076923,102.0,1.578157,101.341507,3.018044,610,6167.506522
0.19076923,105.0,4.383514,104.302875,3.088072,594,6089.610491
0.19076923,108.0,7.323953,107.269105,3.163439,577,5995.5008
0.19076923,112.0,11.288853,111.252438,3.229179,557,5889.243554
0.19076923,116.0,15.261126,115.231833,3.364125,537,5773.56824
0.19076923,120.0,19.20796,119.182572,3.475573,519,5670.891426
0.19564103,102.0,1.575706,101.340906,2.99823,629,6359.60463
0.19564103,105.0,4.375053,104.294436,3.118366,612,6274.208708
0.19564103,108.0,7.354533,107.304064,3.032929,596,6193.09438
0.19564103,112.0,11.318232,111.282885,3.281006,575,6079.478269
0.19564103,116.0,15.255054,115.224814,3.339985,555,5967.177776
0.19564103,120.0,19.243823,119.220451,3.33302,536,5856.712477
0.20051282,102.0,1.570034,101.368507,3.029402,652,6592.288405
0.20051282,105.0,4.439654,104.366114,3.118959,635,6510.07264
0.20051282,108.0,7.373819,107.323178,3.094944,618,6421.697068
0.20051282,112.0,11.316739,111.281071,3.248748,597,6312.095583
0.20051282,116.0,15.288087,115.260873,3.29272,577,6203.700135
0.20051282,120.0,19.257941,119.231907,3.482429,558,6097.063548
0.20538462,102.0,1.579407,101.372051,2.766147,676,6834.966317
0.20538462,105.0,4.471759,104.396605,3.03647,658,6745.984702
0.20538462,108.0,7.402506,107.357338,3.12622,641,6660.760968
0.20538462,112.0,11.315508,111.279148,3.286677,619,6544.897502
0.20538462,116.0,15.316172,115.289854,3.274065,599,6440.362217
0.20538462,120.0,19.276512,119.25353,3.412787,580,6337.636407
0.21025641,102.0,1.619429,101.35977,3.048399,695,7027.287905
0.21025641,105.0,4.447465,104.359252,3.063,677,6940.786088
0.21025641,108.0,7.398847,107.344662,3.129765,659,6847.828549
0.21025641,112.0,11.355165,111.315794,3.291676,637,6735.245202
0.21025641,116.0,15.317232,115.287859,3.389362,617,6633.993689
0.21025641,120.0,19.287159,119.261187,3.509384,597,6523.421393
0.21512821,102.0,1.623617,101.405611,2.978285,717,7249.770206
0.21512821,105.0,4.455213,104.373804,3.064496,698,7156.107799
0.21512821,108.0,7.413415,107.363931,3.184525,681,7076.604576
0.21512821,112.0,11.367552,111.331995,3.288078,659,6968.090837
0.21512821,116.0,15.326851,115.298325,3.351848,637,6849.06046
0.21512821,120.0,19.305267,119.28197,3.498938,617,6741.984573
0.22,102.0,1.651041,101.459616,3.030238,738,7492.449625
0.22,105.0,4.483454,104.41393,3.095515,720,7412.587253
0.22,108.0,7.444242,107.40152,3.168615,705,7326.076726
0.22,112.0,11.41456,111.384785,3.241416,682,7211.281137
0.22,116.0,15.353669,115.32867,3.427879,661,7107.217072
0.22,120.0,19.338945,119.31755,3.525982,640,6993.441044
