time_ms,pressure_mpa,target_mpa,inflow_mm3_per_ms,outflow_mm3_per_ms,relief_mm3_per_ms
0.0,100.0,100.0,0.0,0.0,0.0
1.0,98.895589,100.0,0.0,19.967606,0.0
2.0,97.801623,100.0,0.0,19.861436,0.0
3.0,97.801623,100.0,0.0,0.0,0.0
4.0,97.801623,100.0,0.0,0.0,0.0
5.0,97.801623,100.0,0.0,0.0,0.0
6.0,97.801623,100.0,0.0,0.0,0.0
7.0,97.801623,100.0,0.0,0.0,0.0
8.0,97.801623,100.0,0.0,0.0,0.0
9.0,97.801623,100.0,0.0,0.0,0.0
10.0,97.801623,100.0,0.0,0.0,0.0
11.0,97.801623,100.0,0.0,0.0,0.0
12.0,97.801623,100.0,0.0,0.0,0.0
13.0,97.801623,100.0,0.0,0.0,0.0
14.0,97.801623,100.0,0.0,0.0,0.0
15.0,97.801623,100.0,0.0,0.0,0.0
16.0,97.801623,100.0,0.0,0.0,0.0
17.0,97.801623,100.0,0.0,0.0,0.0
18.0,97.801623,100.0,0.0,0.0,0.0
19.0,97.801623,100.0,0.0,0.0,0.0
20.0,97.801623,100.0,0.0,0.0,0.0
21.0,97.801623,100.0,0.0,0.0,0.0
22.0,97.801623,100.0,0.0,0.0,0.0
23.0,97.801623,100.0,0.0,0.0,0.0
24.0,97.801623,100.0,0.0,0.0,0.0
25.0,97.801623,100.0,0.0,0.0,0.0
26.0,97.801623,100.0,0.0,0.0,0.0
27.0,97.801623,100.0,0.0,0.0,0.0
28.0,97.801623,100.0,0.0,0.0,0.0
29.0,97.801623,100.0,0.0,0.0,0.0
30.0,97.801623,100.0,0.0,0.0,0.0
31.0,97.801623,100.0,0.0,0.0,0.0
32.0,97.801623,100.0,0.0,0.0,0.0
33.0,97.801623,100.0,0.0,0.0,0.0
34.0,97.801623,100.0,0.0,0.0,0.0
35.0,97.801623,100.0,0.0,0.0,0.0
36.0,97.801623,100.0,0.0,0.0,0.0
37.0,97.801623,100.0,0.0,0.0,0.0
38.0,97.801623,100.0,0.0,0.0,0.0
39.0,97.801623,100.0,0.0,0.0,0.0
40.0,97.802335,100.0,0.025959,0.0,0.0
41.0,97.815858,100.0,0.322401,0.0,0.0
42.0,97.845443,100.0,0.611116,0.0,0.0
43.0,97.890779,100.0,0.896065,0.0,0.0
44.0,97.951913,100.0,1.18577,0.0,0.0
45.0,98.028185,100.0,1.46002,0.0,0.0
46.0,98.119078,100.0,1.719605,0.0,0.0
47.0,98.223996,100.0,1.969877,0.0,0.0
48.0,98.342566,100.0,2.214403,0.0,0.0
49.0,98.47379,100.0,2.443274,0.0,0.0
