pollutant,feature,importance
PM10,self_PM10,0.559060913
O3,self_NO2,0.494246249
PM2.5,weather_湿度,0.417795531
NO2,day_of_year,0.373196366
SO2,self_SO2,0.317476967
SO2,day_of_year,0.313072547
CO,self_PM2.5,0.303186561
CO,day_of_year,0.270806731
NO2,self_NO2,0.24631366
PM10,weather_湿度,0.233644753
O3,self_O3,0.226428157
NO2,month,0.20358027
SO2,month,0.130536425
PM2.5,self_PM2.5,0.11765629
PM2.5,self_PM10,0.107764664
SO2,self_O3,0.10242367
CO,self_CO,0.073123795
CO,self_SO2,0.07076134
PM2.5,day_of_year,0.065261714
O3,weather_温度,0.06198119
SO2,self_NO2,0.059657973
CO,weather_降水量,0.05509544
PM2.5,weather_压强,0.052936438
NO2,weather_湿度,0.047849406
PM2.5,weather_温度,0.047801526
PM10,weather_压强,0.043174694
PM2.5,self_CO,0.043161668
PM2.5,weather_降水量,0.04301481
CO,weather_温度,0.042838849
NO2,weather_风速,0.042826013
O3,weather_压强,0.042378554
O3,self_CO,0.042102222
CO,weather_压强,0.040795916
O3,day_of_year,0.03925504
PM10,weather_温度,0.037251449
CO,self_NO2,0.035346471
PM10,weather_降水量,0.027743735
CO,weather_湿度,0.026788888
PM2.5,self_O3,0.025577473
PM2.5,weather_风速,0.024053992
O3,weather_风速,0.021065638
CO,self_PM10,0.019203482
PM10,self_PM2.5,0.018845527
CO,weather_风速,0.018559694
CO,self_O3,0.018429237
PM2.5,self_NO2,0.01814402
SO2,weather_湿度,0.017995337
O3,self_SO2,0.017567579
PM2.5,hour_of_day,0.017332891
CO,month,0.017249022
SO2,weather_风速,0.017074154
PM10,self_NO2,0.016532872
O3,weather_湿度,0.016489063
NO2,self_O3,0.016429942
O3,hour_of_day,0.016175312
SO2,weather_降水量,0.015673895
NO2,hour_of_day,0.015501899
PM10,self_SO2,0.014452275
PM10,self_O3,0.013556242
PM2.5,self_SO2,0.01300542
PM10,day_of_year,0.01279194
O3,weather_降水量,0.012491964
NO2,self_SO2,0.010654434
NO2,self_PM10,0.010152792
NO2,weather_压强,0.009375398
PM10,weather_风速,0.009369598
CO,hour_of_day,0.007814573
NO2,weather_降水量,0.007804536
SO2,self_CO,0.007238321
PM2.5,month,0.006493565
PM10,hour_of_day,0.006388491
PM10,self_CO,0.006070489
NO2,self_CO,0.006048454
NO2,weather_温度,0.005589637
SO2,hour_of_day,0.004864748
NO2,self_PM2.5,0.004677194
O3,self_PM10,0.004621903
O3,self_PM2.5,0.004450969
SO2,weather_压强,0.004182595
SO2,weather_温度,0.00361981
SO2,self_PM2.5,0.003320061
SO2,self_PM10,0.002863498
PM10,month,0.001117021
O3,month,0.00074616
