pollutant,weather_feature,correlation_with_residual,abs_correlation
PM10,weather_湿度,0.613292,0.613292
PM2.5,weather_湿度,0.600773,0.600773
PM10,weather_温度,-0.511455,0.511455
PM2.5,weather_温度,-0.504868,0.504868
O3,weather_温度,-0.483358,0.483358
NO2,weather_降水量,0.445838,0.445838
O3,weather_湿度,0.434174,0.434174
O3,weather_压强,0.402385,0.402385
PM10,weather_压强,0.394512,0.394512
NO2,weather_湿度,0.364529,0.364529
O3,weather_风速,-0.355144,0.355144
PM2.5,weather_压强,0.349764,0.349764
O3,weather_降水量,0.317913,0.317913
SO2,weather_降水量,-0.255381,0.255381
CO,weather_风速,0.252077,0.252077
CO,weather_湿度,-0.228859,0.228859
PM10,weather_降水量,0.207703,0.207703
PM2.5,weather_降水量,0.188877,0.188877
PM10,weather_风速,-0.175556,0.175556
CO,weather_温度,0.17115,0.17115
NO2,weather_压强,0.155256,0.155256
NO2,weather_温度,-0.14098,0.14098
SO2,weather_压强,-0.137316,0.137316
PM2.5,weather_风速,-0.119224,0.119224
SO2,weather_风速,0.083283,0.083283
NO2,weather_风速,-0.073395,0.073395
SO2,weather_湿度,-0.062561,0.062561
SO2,weather_温度,0.046499,0.046499
CO,weather_压强,0.021466,0.021466
CO,weather_降水量,-0.007109,0.007109
