date,revenue,profit,profit_rate
2016-11-30,1540.8,462.24,0.3
2016-12-01,1222.9,366.87,0.3
2016-12-02,1382.9,414.87,0.3
2016-12-03,2119.9,635.97,0.3
2016-12-04,1917.6,575.28,0.3
2016-12-05,1161.0,348.3,0.3
2016-12-06,1322.4,396.72,0.3
2016-12-07,3493.58,1048.074,0.3
2016-12-08,2820.86,846.258,0.3
2016-12-09,3283.68,985.104,0.3
2016-12-10,2878.52,863.556,0.3
2016-12-11,9498.06,2849.418,0.3
2016-12-12,20935.48,6280.644,0.3
2016-12-13,9261.7,2778.51,0.3
2016-12-14,4679.3,1403.79,0.3
2016-12-15,6626.7,1988.01,0.3
2016-12-16,6556.4,1966.92,0.3
2016-12-17,8051.2,2415.36,0.3
2016-12-18,10032.2,3009.66,0.3
2016-12-19,2170.3,651.09,0.3
2016-12-20,2154.3,646.29,0.3
2016-12-21,5571.4,1671.42,0.3
2016-12-22,3095.92,928.776,0.3
2016-12-23,5421.7,1626.51,0.3
2016-12-24,3696.18,1108.854,0.3
2016-12-25,3036.3,910.89,0.3
2016-12-26,1831.2,549.36,0.3
2016-12-27,2975.0,892.5,0.3
2016-12-28,1685.8,505.74,0.3
2016-12-29,3343.48,1003.044,0.3
2016-12-30,5051.1,1515.33,0.3
2016-12-31,4634.78,1390.434,0.3
2017-01-01,2485.1,745.53,0.3
2017-01-02,3847.8,1154.34,0.3
2017-01-03,2502.9,750.87,0.3
2017-01-04,2446.8,734.04,0.3
2017-01-05,1395.6,418.68,0.3
2017-01-06,2623.0,786.9,0.3
2017-01-07,2790.2,837.06,0.3
2017-01-08,2998.0,899.4,0.3
2017-01-09,2239.6,671.88,0.3
2017-01-10,2825.2,847.56,0.3
2017-01-11,2198.9,659.67,0.3
2017-01-12,2194.4,658.32,0.3
2017-01-13,1715.8,514.74,0.3
2017-01-14,6221.38,1866.414,0.3
2017-01-15,5685.5,1705.65,0.3
2017-01-16,3368.5,1010.55,0.3
2017-01-17,3240.0,972.0,0.3
2017-01-18,2953.6,886.08,0.3
2017-01-19,2488.18,746.454,0.3
2017-01-20,2814.9,844.47,0.3
2017-01-21,3329.02,998.706,0.3
2017-01-22,1585.0,475.5,0.3
2017-01-23,2315.6,694.68,0.3
2017-01-24,3300.46,990.138,0.3
2017-01-25,5422.4,1626.72,0.3
2017-01-26,5473.9,1642.17,0.3
2017-01-27,3327.8,998.34,0.3
2017-01-28,1569.2,470.76,0.3
2017-01-29,1811.9,543.57,0.3
2017-01-30,1330.4,399.12,0.3
2017-01-31,1189.6,356.88,0.3
2017-02-01,2195.2,658.56,0.3
2017-02-02,2465.1,739.53,0.3
2017-02-03,4184.4,1255.32,0.3
2017-02-04,2691.9,807.57,0.3
2017-02-05,4806.26,1441.878,0.3
2017-02-06,3624.1,1087.23,0.3
2017-02-07,4369.5,1310.85,0.3
2017-02-08,3420.0,1026.0,0.3
2017-02-09,3620.7,1086.21,0.3
2017-02-10,2048.8,614.64,0.3
2017-02-11,6983.7,2095.11,0.3
2017-02-12,1623.18,486.954,0.3
2017-02-13,1437.96,431.388,0.3
2017-02-14,3922.5,1176.75,0.3
2017-02-15,2735.36,820.608,0.3
2017-02-16,2023.5,607.05,0.3
2017-02-17,2252.98,675.894,0.3
2017-02-18,7190.6,2157.18,0.3
2017-02-19,6187.1,1856.13,0.3
2017-02-20,1888.1,566.43,0.3
2017-02-21,2053.6,616.08,0.3
2017-02-22,1638.5,491.55,0.3
2017-02-23,3088.88,926.664,0.3
2017-02-24,2510.7,753.21,0.3
2017-02-25,4094.66,1228.398,0.3
2017-02-26,3155.1,946.53,0.3
2017-02-27,1603.2,480.96,0.3
2017-02-28,1307.0,392.1,0.3
2017-03-01,1365.78,409.734,0.3
2017-03-02,3906.6,1171.98,0.3
2017-03-03,3160.9,948.27,0.3
2017-03-04,5639.34,1691.802,0.3
2017-03-05,6426.96,1928.088,0.3
2017-03-06,3131.96,939.588,0.3
2017-03-07,3632.2,1089.66,0.3
2017-03-08,3047.16,914.148,0.3
2017-03-09,3081.82,924.546,0.3
2017-03-10,3780.66,1134.198,0.3
2017-03-11,4295.16,1288.548,0.3
2017-03-12,5643.0,1692.9,0.3
2017-03-13,3549.4,1064.82,0.3
2017-03-14,3163.76,949.128,0.3
2017-03-15,2788.98,836.694,0.3
2017-03-16,2914.98,874.494,0.3
2017-03-17,4768.56,1430.568,0.3
2017-03-18,5378.38,1613.514,0.3
2017-03-19,4743.16,1422.948,0.3
2017-03-20,2414.5,724.35,0.3
2017-03-21,2899.46,869.838,0.3
2017-03-22,2980.96,894.288,0.3
2017-03-23,3967.0,1190.1,0.3
2017-03-24,3048.4,914.52,0.3
2017-03-25,6014.36,1804.308,0.3
2017-03-26,5516.2,1654.86,0.3
2017-03-27,3043.0,912.9,0.3
2017-03-28,2856.1,856.83,0.3
2017-03-29,2530.2,759.06,0.3
2017-03-30,2955.18,886.554,0.3
2017-03-31,2926.78,878.034,0.3
2017-04-01,3210.5,963.15,0.3
2017-04-02,5118.88,1535.664,0.3
2017-04-03,5085.22,1525.566,0.3
2017-04-04,3511.4,1053.42,0.3
2017-04-05,4512.9,1353.87,0.3
2017-04-06,4115.7,1234.71,0.3
2017-04-07,2754.06,826.218,0.3
2017-04-08,5509.55,1652.865,0.3
2017-04-09,5160.85,1548.255,0.3
2017-04-10,3646.2,1093.86,0.3
2017-04-11,2931.2,879.36,0.3
2017-04-12,4686.7,1406.01,0.3
2017-04-13,3564.85,1069.455,0.3
2017-04-14,3455.05,1036.515,0.3
2017-04-15,15278.47,4583.541,0.3
2017-04-16,9074.23,2722.269,0.3
2017-04-17,7318.3,2195.49,0.3
2017-04-18,3464.78,1039.434,0.3
2017-04-19,3266.43,979.929,0.3
2017-04-20,5094.86,1528.458,0.3
2017-04-21,3704.82,1111.446,0.3
2017-04-22,5029.38,1508.814,0.3
2017-04-23,6322.54,1896.762,0.3
2017-04-24,5603.36,1681.008,0.3
2017-04-25,4225.18,1267.554,0.3
2017-04-26,4574.18,1372.254,0.3
2017-04-27,4065.64,1219.692,0.3
2017-04-28,5442.68,1632.804,0.3
2017-04-29,6950.1,2085.03,0.3
2017-04-30,4337.28,1301.184,0.3
2017-05-01,5317.66,1595.298,0.3
2017-05-02,4409.7,1322.91,0.3
2017-05-03,5635.28,1690.584,0.3
2017-05-04,5197.5,1559.25,0.3
2017-05-05,6290.0,1887.0,0.3
2017-05-06,7751.76,2325.528,0.3
2017-05-07,9732.44,2919.732,0.3
2017-05-08,6007.58,1802.274,0.3
2017-05-09,5437.06,1631.118,0.3
2017-05-10,4652.3,1395.69,0.3
2017-05-11,5078.58,1523.574,0.3
2017-05-12,6812.18,2043.654,0.3
2017-05-13,9546.68,2864.004,0.3
2017-05-14,8965.2,2689.56,0.3
2017-05-15,5314.54,1594.362,0.3
2017-05-16,6992.0,2097.6,0.3
2017-05-17,6997.08,2099.124,0.3
2017-05-18,3994.68,1198.404,0.3
2017-05-19,5225.5,1567.65,0.3
2017-05-20,7829.8,2348.94,0.3
2017-05-21,7023.98,2107.194,0.3
2017-05-22,5418.2,1625.46,0.3
2017-05-23,4998.0,1499.4,0.3
2017-05-24,4009.5,1202.85,0.3
2017-05-25,9602.2,2880.66,0.3
2017-05-26,11254.02,3376.206,0.3
2017-05-27,12587.88,3776.364,0.3
2017-05-28,10190.4,3057.12,0.3
2017-05-29,7733.08,2319.924,0.3
2017-05-30,8603.48,2581.044,0.3
2017-05-31,4762.26,1428.678,0.3
2017-06-01,6680.24,2004.072,0.3
2017-06-02,6856.38,2056.914,0.3
2017-06-03,6813.02,2043.906,0.3
2017-06-04,14943.64,4483.092,0.3
2017-06-05,5387.74,1616.322,0.3
2017-06-06,5786.08,1735.824,0.3
2017-06-07,4502.58,1350.774,0.3
2017-06-08,4890.46,1467.138,0.3
2017-06-09,7837.58,2351.274,0.3
2017-06-10,11667.58,3500.274,0.3
2017-06-11,9330.98,2799.294,0.3
2017-06-12,3693.76,1108.128,0.3
2017-06-13,5128.9,1538.67,0.3
2017-06-14,4738.68,1421.604,0.3
2017-06-15,4646.88,1394.064,0.3
2017-06-16,9563.6,2869.08,0.3
2017-06-17,13087.38,3926.214,0.3
2017-06-18,14060.43,4218.129,0.3
2017-06-19,4113.78,1234.134,0.3
2017-06-20,5799.38,1739.814,0.3
2017-06-21,6001.58,1800.474,0.3
2017-06-22,5443.5,1633.05,0.3
2017-06-23,4231.7,1269.51,0.3
2017-06-24,7118.78,2135.634,0.3
2017-06-25,10666.18,3199.854,0.3
2017-06-26,6927.58,2078.274,0.3
2017-06-27,6543.3,1962.99,0.3
2017-06-28,4053.58,1216.074,0.3
2017-06-29,5097.08,1529.124,0.3
2017-06-30,5473.0,1641.9,0.3
2017-07-01,11672.13,3501.639,0.3
2017-07-02,12310.94,3693.282,0.3
2017-07-03,4358.5,1307.55,0.3
2017-07-04,7834.28,2350.284,0.3
2017-07-05,5263.0,1578.9,0.3
2017-07-06,5955.56,1786.668,0.3
2017-07-07,8317.02,2495.106,0.3
2017-07-08,11102.32,3330.696,0.3
2017-07-09,13234.12,3970.236,0.3
2017-07-10,6693.46,2008.038,0.3
2017-07-11,9770.98,2931.294,0.3
2017-07-12,9571.76,2871.528,0.3
2017-07-13,7503.38,2251.014,0.3
2017-07-14,9927.12,2978.136,0.3
2017-07-15,11837.7,3551.31,0.3
2017-07-16,12081.38,3624.414,0.3
2017-07-17,10779.8,3233.94,0.3
2017-07-18,9408.5,2822.55,0.3
2017-07-19,6746.5,2023.95,0.3
2017-07-20,6292.8,1887.84,0.3
2017-07-21,6009.2,1802.76,0.3
2017-07-22,12451.22,3735.366,0.3
2017-07-23,13977.92,4193.376,0.3
2017-07-24,7230.1,2169.03,0.3
2017-07-25,8849.58,2654.874,0.3
2017-07-26,7259.5,2177.85,0.3
2017-07-27,6733.5,2020.05,0.3
2017-07-28,7574.8,2272.44,0.3
2017-07-29,9599.66,2879.898,0.3
2017-07-30,14608.48,4382.544,0.3
2017-07-31,5188.28,1556.484,0.3
2017-08-01,6412.4,1923.72,0.3
2017-08-02,7590.56,2277.168,0.3
2017-08-03,5531.42,1659.426,0.3
2017-08-04,8126.48,2437.944,0.3
2017-08-05,7742.36,2322.708,0.3
2017-08-06,10153.98,3046.194,0.3
