date,discount_intensity,weighted_discount_rate,discount_revenue_share,promotion_revenue_share
2016-11-30,0.179979,0.127124,0.454958,0.0
2016-12-01,0.130514,0.102854,0.292583,0.0
2016-12-02,0.121609,0.084536,0.31217,0.0
2016-12-03,0.177069,0.128151,0.436813,0.0
2016-12-04,0.181693,0.124184,0.473821,0.0
2016-12-05,0.083491,0.064615,0.191301,0.0
2016-12-06,0.136431,0.111828,0.290759,0.0
2016-12-07,0.155603,0.110387,0.391661,0.0
2016-12-08,0.179199,0.139945,0.406188,0.0
2016-12-09,0.132652,0.094252,0.333376,0.0
2016-12-10,0.135869,0.088995,0.367863,0.0
2016-12-11,0.145213,0.099365,0.378288,0.0
2016-12-12,0.151303,0.103378,0.394694,0.0
2016-12-13,0.148973,0.099056,0.398167,0.0
2016-12-14,0.127825,0.090957,0.320774,0.0
2016-12-15,0.134247,0.092245,0.348379,0.0
2016-12-16,0.169779,0.129366,0.396117,0.0
2016-12-17,0.159681,0.112434,0.404884,0.0
2016-12-18,0.183919,0.153115,0.383695,0.0
2016-12-19,0.165337,0.124914,0.389485,0.0
2016-12-20,0.229734,0.201283,0.444181,0.0
2016-12-21,0.14845,0.097588,0.400689,0.0
2016-12-22,0.173305,0.109452,0.483443,0.0
2016-12-23,0.2157,0.139877,0.58893,0.0
2016-12-24,0.142289,0.091285,0.391945,0.0
2016-12-25,0.259828,0.224246,0.514277,0.0
2016-12-26,0.278216,0.21977,0.621887,0.0
2016-12-27,0.188785,0.122004,0.516908,0.0
2016-12-28,0.169637,0.104346,0.482975,0.0
2016-12-29,0.141599,0.102995,0.347512,0.0
2016-12-30,0.126422,0.090121,0.316683,0.0
2016-12-31,0.179359,0.133213,0.430549,0.0
2017-01-01,0.101835,0.075346,0.245463,0.0
2017-01-02,0.099371,0.074714,0.235355,0.0
2017-01-03,0.377534,0.406037,0.466539,0.0
2017-01-04,0.15666,0.114281,0.383317,0.0
2017-01-05,0.164453,0.097809,0.479937,0.0
2017-01-06,0.165592,0.100141,0.477469,0.0
2017-01-07,0.16562,0.115626,0.423411,0.0
2017-01-08,0.133228,0.077822,0.393763,0.0
2017-01-09,0.143855,0.087591,0.412708,0.0
2017-01-10,0.173783,0.11842,0.454446,0.0
2017-01-11,0.130114,0.081188,0.36641,0.0
2017-01-12,0.085819,0.053526,0.241752,0.0
2017-01-13,0.124954,0.081625,0.339084,0.0
2017-01-14,0.136283,0.08741,0.375479,0.0
2017-01-15,0.106203,0.066666,0.297687,0.0
2017-01-16,0.196935,0.195524,0.300341,0.0
2017-01-17,0.122202,0.077501,0.339753,0.0
2017-01-18,0.139967,0.090024,0.384751,0.0
2017-01-19,0.140802,0.069345,0.461301,0.0
2017-01-20,0.109432,0.068777,0.306441,0.0
2017-01-21,0.078795,0.047578,0.227454,0.0
2017-01-22,0.119006,0.074399,0.334637,0.0
2017-01-23,0.123428,0.082022,0.330066,0.0
2017-01-24,0.106321,0.063795,0.308321,0.0
2017-01-25,0.165196,0.131053,0.367291,0.0
2017-01-26,0.116954,0.091951,0.262939,0.0
2017-01-27,0.152104,0.151353,0.230783,0.0
2017-01-28,0.126819,0.070049,0.388924,0.0
2017-01-29,0.270874,0.261444,0.439318,0.0
2017-01-30,0.097028,0.056788,0.28638,0.0
2017-01-31,0.046656,0.02731,0.137693,0.0
2017-02-01,0.101065,0.062161,0.287764,0.0
2017-02-02,0.097264,0.048555,0.316377,0.0
2017-02-03,0.178242,0.111536,0.500836,0.0
2017-02-04,0.274054,0.274244,0.410416,0.0
2017-02-05,0.118662,0.072251,0.340431,0.0
2017-02-06,0.140734,0.084361,0.408405,0.0
2017-02-07,0.123288,0.073395,0.359561,0.0
2017-02-08,0.117625,0.066925,0.353889,0.0
2017-02-09,0.122324,0.070996,0.363134,0.0
2017-02-10,0.078018,0.049104,0.218225,0.0
2017-02-11,0.105774,0.068219,0.290104,0.0
2017-02-12,0.098714,0.052921,0.308345,0.0
2017-02-13,0.130867,0.068353,0.415102,0.0
2017-02-14,0.118168,0.067404,0.354927,0.0
2017-02-15,0.145511,0.093549,0.40013,0.0
2017-02-16,0.134585,0.07476,0.411268,0.0
2017-02-17,0.147075,0.098332,0.391215,0.0
2017-02-18,0.173921,0.140723,0.377076,0.0
