first_category_name,target,discount_coefficient,r2,sample_count,mean_revenue
个洗清洁,log_revenue,2.010950411,0.041572,743,615.043661
个洗清洁,profit_rate,0.0,0.0,743,615.043661
休闲食品,log_revenue,0.276508927,0.000329,746,869.846327
休闲食品,profit_rate,0.0,0.0,746,869.846327
办公用品,log_revenue,-2.189527409,0.231484,106,8.712264
办公用品,profit_rate,0.0,0.0,106,8.712264
医疗器械,log_revenue,3.364104426,0.261096,140,7.042857
医疗器械,profit_rate,0.0,0.0,140,7.042857
宠物生活,log_revenue,-0.490698701,0.004222,489,103.735501
宠物生活,profit_rate,-0.0,0.0,489,103.735501
家居家装,log_revenue,2.938836565,0.389787,109,20.542202
家居家装,profit_rate,0.0,0.0,109,20.542202
家用电器,log_revenue,-3.365811796,0.730474,44,40.763636
家用电器,profit_rate,-0.0,0.0,44,40.763636
居家日用,log_revenue,-1.041616633,0.016486,727,126.063948
居家日用,profit_rate,0.0,0.0,727,126.063948
情趣用品,log_revenue,0.239119925,0.004525,297,50.627609
情趣用品,profit_rate,-0.0,0.0,297,50.627609
日化用品,log_revenue,0.014979586,2e-06,746,1324.614558
日化用品,profit_rate,-0.0,-0.046411,746,1324.614558
日配/冷藏,log_revenue,0.127541893,7.2e-05,747,3598.306613
日配/冷藏,profit_rate,-0.0,0.0,747,3598.306613
服装服饰,log_revenue,0.948977636,0.008223,123,51.55122
服装服饰,profit_rate,0.0,0.014035,123,51.55122
母婴,log_revenue,-1.36505731,0.018032,510,473.613078
母婴,profit_rate,-0.0,0.0,510,473.613078
水产,log_revenue,3.670973784,0.115136,679,176.170044
水产,profit_rate,0.0,0.0,679,176.170044
水果/蔬菜,log_revenue,8.507827083,0.370689,747,1006.566881
水果/蔬菜,profit_rate,-0.0,0.0,747,1006.566881
烘焙,log_revenue,3.095349222,0.055864,741,107.813279
烘焙,profit_rate,-0.0,0.0,741,107.813279
玩具,log_revenue,-0.58710124,0.005782,41,70.985366
玩具,profit_rate,-0.0,0.0,41,70.985366
粮油副食,log_revenue,5.066131398,0.096065,747,2720.515274
粮油副食,profit_rate,0.0,0.0,747,2720.515274
纺织用品,log_revenue,0.808162367,0.033281,68,21.158824
纺织用品,profit_rate,0.0,0.487395,68,21.158824
美食,log_revenue,3.136700009,0.013538,533,17.575272
美食,profit_rate,-0.0,0.0,533,17.575272
肉品,log_revenue,6.866931127,0.253471,747,757.962503
肉品,profit_rate,-0.0,0.0,747,757.962503
营养保健,log_revenue,-2.065340896,0.11232,148,65.973649
营养保健,profit_rate,0.0,0.0,148,65.973649
运动户外,log_revenue,0.54049616,0.002114,52,14.801923
运动户外,profit_rate,-0.0,0.0,52,14.801923
进口商品,log_revenue,1.839616285,0.026729,739,454.790487
进口商品,profit_rate,-0.0,0.0,739,454.790487
酒水饮料,log_revenue,-3.341121591,0.116624,746,952.903472
酒水饮料,profit_rate,0.0,0.0,746,952.903472
