date,revenue,profit,profit_rate,order_count,sku_quantity
2016-11-30,1540.8,462.24,0.3,26,203.0
2016-12-01,1222.9,366.87,0.3,18,141.0
2016-12-02,1382.9,414.87,0.3,20,179.0
2016-12-03,2119.9,635.97,0.3,23,217.0
2016-12-04,1917.6,575.28,0.3,25,229.0
2016-12-05,1161.0,348.3,0.3,17,90.0
2016-12-06,1322.4,396.72,0.3,17,106.0
2016-12-07,3493.58,1048.074,0.3,32,497.0
2016-12-08,2820.86,846.258,0.3,33,365.0
2016-12-09,3283.68,985.104,0.3,41,361.0
2016-12-10,2878.52,863.556,0.3,40,409.0
2016-12-11,9498.06,2849.418,0.3,58,1241.0
2016-12-12,20935.48,6280.644,0.3,72,2536.0
2016-12-13,9261.7,2778.51,0.3,65,1057.0
2016-12-14,4679.3,1403.79,0.3,45,552.0
2016-12-15,6626.7,1988.01,0.3,57,724.0
2016-12-16,6556.4,1966.92,0.3,63,789.0
2016-12-17,8051.2,2415.36,0.3,61,1061.0
2016-12-18,10032.2,3009.66,0.3,63,1196.0
2016-12-19,2170.3,651.09,0.3,30,224.0
2016-12-20,2154.3,646.29,0.3,32,267.0
2016-12-21,5571.4,1671.42,0.3,40,609.0
2016-12-22,3095.92,928.776,0.3,39,362.0
2016-12-23,5421.7,1626.51,0.3,46,663.0
2016-12-24,3696.18,1108.854,0.3,40,393.0
2016-12-25,3036.3,910.89,0.3,30,332.0
2016-12-26,1831.2,549.36,0.3,25,217.0
2016-12-27,2975.0,892.5,0.3,31,375.0
2016-12-28,1685.8,505.74,0.3,22,190.0
2016-12-29,3343.48,1003.044,0.3,42,468.0
2016-12-30,5051.1,1515.33,0.3,50,556.0
2016-12-31,4634.78,1390.434,0.3,47,696.0
2017-01-01,2485.1,745.53,0.3,31,281.0
2017-01-02,3847.8,1154.34,0.3,35,489.0
2017-01-03,2502.9,750.87,0.3,29,259.0
2017-01-04,2446.8,734.04,0.3,28,248.0
2017-01-05,1395.6,418.68,0.3,21,136.0
2017-01-06,2623.0,786.9,0.3,22,259.0
2017-01-07,2790.2,837.06,0.3,25,322.0
2017-01-08,2998.0,899.4,0.3,30,260.0
2017-01-09,2239.6,671.88,0.3,27,238.0
2017-01-10,2825.2,847.56,0.3,33,300.0
2017-01-11,2198.9,659.67,0.3,26,211.0
2017-01-12,2194.4,658.32,0.3,21,203.0
2017-01-13,1715.8,514.74,0.3,26,278.0
2017-01-14,6221.38,1866.414,0.3,57,812.0
2017-01-15,5685.5,1705.65,0.3,59,807.0
2017-01-16,3368.5,1010.55,0.3,35,269.0
2017-01-17,3240.0,972.0,0.3,34,443.0
2017-01-18,2953.6,886.08,0.3,34,382.0
2017-01-19,2488.18,746.454,0.3,36,421.0
2017-01-20,2814.9,844.47,0.3,36,283.0
2017-01-21,3329.02,998.706,0.3,31,378.0
2017-01-22,1585.0,475.5,0.3,23,294.0
2017-01-23,2315.6,694.68,0.3,22,247.0
2017-01-24,3300.46,990.138,0.3,41,348.0
2017-01-25,5422.4,1626.72,0.3,53,654.0
2017-01-26,5473.9,1642.17,0.3,46,497.0
2017-01-27,3327.8,998.34,0.3,21,228.0
2017-01-28,1569.2,470.76,0.3,13,228.0
2017-01-29,1811.9,543.57,0.3,16,151.0
2017-01-30,1330.4,399.12,0.3,14,190.0
2017-01-31,1189.6,356.88,0.3,17,136.0
2017-02-01,2195.2,658.56,0.3,20,205.0
2017-02-02,2465.1,739.53,0.3,22,243.0
2017-02-03,4184.4,1255.32,0.3,35,452.0
2017-02-04,2691.9,807.57,0.3,27,314.0
2017-02-05,4806.26,1441.878,0.3,51,634.0
2017-02-06,3624.1,1087.23,0.3,41,480.0
2017-02-07,4369.5,1310.85,0.3,46,442.0
2017-02-08,3420.0,1026.0,0.3,41,453.0
2017-02-09,3620.7,1086.21,0.3,37,378.0
2017-02-10,2048.8,614.64,0.3,25,241.0
2017-02-11,6983.7,2095.11,0.3,55,697.0
2017-02-12,1623.18,486.954,0.3,22,173.0
2017-02-13,1437.96,431.388,0.3,19,175.0
2017-02-14,3922.5,1176.75,0.3,30,233.0
2017-02-15,2735.36,820.608,0.3,28,445.0
2017-02-16,2023.5,607.05,0.3,23,293.0
2017-02-17,2252.98,675.894,0.3,34,261.0
2017-02-18,7190.6,2157.18,0.3,59,1103.0
2017-02-19,6187.1,1856.13,0.3,57,891.0
2017-02-20,1888.1,566.43,0.3,24,171.0
2017-02-21,2053.6,616.08,0.3,21,224.0
2017-02-22,1638.5,491.55,0.3,23,200.0
2017-02-23,3088.88,926.664,0.3,41,363.0
2017-02-24,2510.7,753.21,0.3,35,313.0
2017-02-25,4094.66,1228.398,0.3,45,615.0
2017-02-26,3155.1,946.53,0.3,37,334.0
2017-02-27,1603.2,480.96,0.3,24,158.0
2017-02-28,1307.0,392.1,0.3,19,150.0
2017-03-01,1365.78,409.734,0.3,22,139.0
2017-03-02,3906.6,1171.98,0.3,42,480.0
2017-03-03,3160.9,948.27,0.3,43,344.0
2017-03-04,5639.34,1691.802,0.3,50,605.0
2017-03-05,6426.96,1928.088,0.3,55,740.0
2017-03-06,3131.96,939.588,0.3,34,294.0
2017-03-07,3632.2,1089.66,0.3,36,380.0
2017-03-08,3047.16,914.148,0.3,32,319.0
2017-03-09,3081.82,924.546,0.3,41,337.0
2017-03-10,3780.66,1134.198,0.3,37,450.0
2017-03-11,4295.16,1288.548,0.3,41,485.0
2017-03-12,5643.0,1692.9,0.3,48,575.0
2017-03-13,3549.4,1064.82,0.3,35,388.0
2017-03-14,3163.76,949.128,0.3,30,386.0
2017-03-15,2788.98,836.694,0.3,34,310.0
2017-03-16,2914.98,874.494,0.3,34,234.0
2017-03-17,4768.56,1430.568,0.3,44,530.0
2017-03-18,5378.38,1613.514,0.3,44,518.0
2017-03-19,4743.16,1422.948,0.3,41,477.0
2017-03-20,2414.5,724.35,0.3,31,254.0
2017-03-21,2899.46,869.838,0.3,28,284.0
2017-03-22,2980.96,894.288,0.3,36,297.0
2017-03-23,3967.0,1190.1,0.3,38,388.0
2017-03-24,3048.4,914.52,0.3,37,313.0
2017-03-25,6014.36,1804.308,0.3,47,626.0
2017-03-26,5516.2,1654.86,0.3,51,562.0
2017-03-27,3043.0,912.9,0.3,38,383.0
2017-03-28,2856.1,856.83,0.3,30,314.0
2017-03-29,2530.2,759.06,0.3,33,242.0
2017-03-30,2955.18,886.554,0.3,28,307.0
2017-03-31,2926.78,878.034,0.3,32,289.0
2017-04-01,3210.5,963.15,0.3,36,476.0
2017-04-02,5118.88,1535.664,0.3,44,505.0
2017-04-03,5085.22,1525.566,0.3,45,442.0
2017-04-04,3511.4,1053.42,0.3,31,397.0
2017-04-05,4512.9,1353.87,0.3,45,519.0
2017-04-06,4115.7,1234.71,0.3,45,487.0
2017-04-07,2754.06,826.218,0.3,33,299.0
2017-04-08,5509.55,1652.865,0.3,48,569.0
2017-04-09,5160.85,1548.255,0.3,39,501.0
2017-04-10,3646.2,1093.86,0.3,35,316.0
2017-04-11,2931.2,879.36,0.3,40,286.0
2017-04-12,4686.7,1406.01,0.3,40,462.0
2017-04-13,3564.85,1069.455,0.3,36,339.0
2017-04-14,3455.05,1036.515,0.3,37,375.0
2017-04-15,15278.47,4583.541,0.3,58,1543.0
2017-04-16,9074.23,2722.269,0.3,52,852.0
2017-04-17,7318.3,2195.49,0.3,55,670.0
2017-04-18,3464.78,1039.434,0.3,36,358.0
2017-04-19,3266.43,979.929,0.3,34,337.0
2017-04-20,5094.86,1528.458,0.3,36,511.0
2017-04-21,3704.82,1111.446,0.3,38,366.0
2017-04-22,5029.38,1508.814,0.3,44,590.0
2017-04-23,6322.54,1896.762,0.3,45,670.0
2017-04-24,5603.36,1681.008,0.3,41,530.0
2017-04-25,4225.18,1267.554,0.3,33,351.0
2017-04-26,4574.18,1372.254,0.3,42,436.0
2017-04-27,4065.64,1219.692,0.3,38,427.0
2017-04-28,5442.68,1632.804,0.3,45,585.0
2017-04-29,6950.1,2085.03,0.3,51,649.0
2017-04-30,4337.28,1301.184,0.3,42,408.0
2017-05-01,5317.66,1595.298,0.3,38,537.0
