时间(s),温度(摄氏度)
0.0,25.0
0.5,25.0
1.0,25.0
1.5,25.0
2.0,25.0
2.5,25.0
3.0,25.0
3.5,25.0
4.0,25.0
4.5,25.0
5.0,25.0
5.5,25.0
6.0,25.0
6.5,25.0
7.0,25.0
7.5,25.0
8.0,25.0
8.5,25.0
9.0,25.0
9.5,25.0
10.0,25.0
10.5,25.0
11.0,25.0
11.5,25.0
12.0,25.0
12.5,25.0
13.0,25.0
13.5,25.0
14.0,25.0
14.5,25.0
15.0,25.0
15.5,25.0
16.0,25.0
16.5,25.0
17.0,25.0
17.5,25.0
18.0,25.0
18.5,25.0
19.0,25.0
19.5,25.0
20.0,25.87663
20.5,26.749243
21.0,27.617856
21.5,28.482488
22.0,29.343157
22.5,30.199882
23.0,31.05268
23.5,31.90157
24.0,32.746569
24.5,33.587695
25.0,34.424967
25.5,35.2584
26.0,36.088014
26.5,36.913826
27.0,37.735853
27.5,38.554113
28.0,39.368622
28.5,40.179398
29.0,40.986458
29.5,41.789819
30.0,42.589499
30.5,43.385513
31.0,44.177879
31.5,44.966613
32.0,45.751733
32.5,46.533254
33.0,47.311193
33.5,48.085567
34.0,48.856391
34.5,49.623683
35.0,50.387458
35.5,51.147733
36.0,51.904523
36.5,52.657845
37.0,53.407714
37.5,54.154146
38.0,54.897157
38.5,55.636763
39.0,56.372979
39.5,57.105821
40.0,57.835304
40.5,58.561444
41.0,59.284256
41.5,60.003755
42.0,60.719956
42.5,61.432875
43.0,62.142527
43.5,62.848925
44.0,63.552087
44.5,64.252025
45.0,64.948756
45.5,65.642294
46.0,66.332652
46.5,67.019847
47.0,67.703893
47.5,68.384803
48.0,69.062592
48.5,69.737275
49.0,70.408866
49.5,71.077379
50.0,71.742827
50.5,72.405226
51.0,73.064589
51.5,73.72093
52.0,74.374263
52.5,75.024602
53.0,75.67196
53.5,76.316351
54.0,76.957788
54.5,77.596286
55.0,78.231857
55.5,78.864516
56.0,79.494275
56.5,80.121147
57.0,80.745147
57.5,81.366286
58.0,81.984579
58.5,82.600038
59.0,83.212676
59.5,83.822507
60.0,84.429542
60.5,85.033795
61.0,85.635279
61.5,86.234007
62.0,86.82999
62.5,87.423241
63.0,88.013774
63.5,88.6016
64.0,89.186732
64.5,89.769182
65.0,90.348963
65.5,90.926086
66.0,91.500564
66.5,92.07241
67.0,92.641634
67.5,93.20825
68.0,93.772269
68.5,94.333703
69.0,94.892563
69.5,95.448862
70.0,96.002612
70.5,96.553824
71.0,97.102509
71.5,97.64868
72.0,98.192347
72.5,98.733523
73.0,99.272218
73.5,99.808445
74.0,100.342214
74.5,100.873536
75.0,101.402423
75.5,101.928887
76.0,102.452937
76.5,102.974586
77.0,103.493843
77.5,104.010721
78.0,104.52523
78.5,105.037381
79.0,105.547185
79.5,106.054652
80.0,106.559793
80.5,107.062619
81.0,107.563141
81.5,108.061368
82.0,108.557313
82.5,109.050984
83.0,109.542392
83.5,110.031548
84.0,110.518463
84.5,111.003146
85.0,111.485607
85.5,111.965857
86.0,112.443906
86.5,112.919764
87.0,113.393441
87.5,113.864947
88.0,114.334293
88.5,114.801487
89.0,115.26654
89.5,115.729461
90.0,116.190261
90.5,116.648949
91.0,117.105534
91.5,117.560027
92.0,118.012437
92.5,118.462773
93.0,118.911046
93.5,119.357264
94.0,119.801437
94.5,120.243574
95.0,120.683684
95.5,121.121778
96.0,121.557864
96.5,121.991951
97.0,122.424048
97.5,122.854166
98.0,123.282311
98.5,123.708495
99.0,124.132725
99.5,124.555011
100.0,124.975362
100.5,125.393786
101.0,125.810292
101.5,126.22489
102.0,126.637587
102.5,127.048392
103.0,127.457315
103.5,127.864364
104.0,128.269547
104.5,128.672873
105.0,129.074351
105.5,129.473989
106.0,129.871795
106.5,130.267777
107.0,130.661945
107.5,131.054306
108.0,131.444869
108.5,131.833642
109.0,132.220634
109.5,132.605851
110.0,132.989303
110.5,133.370998
111.0,133.750943
111.5,134.129147
112.0,134.505617
112.5,134.880362
113.0,135.25339
113.5,135.624708
114.0,135.994324
114.5,136.362246
115.0,136.728481
115.5,137.093039
116.0,137.455925
116.5,137.817148
117.0,138.176716
117.5,138.534636
118.0,138.890915
118.5,139.245561
119.0,139.598582
119.5,139.949985
120.0,140.299778
120.5,140.647967
121.0,140.99456
121.5,141.339565
122.0,141.682989
122.5,142.024839
123.0,142.365122
123.5,142.703845
124.0,143.041016
124.5,143.376642
125.0,143.710729
125.5,144.043286
126.0,144.374318
126.5,144.703832
127.0,145.031837
127.5,145.358338
128.0,145.683343
128.5,146.006859
129.0,146.328891
129.5,146.649448
130.0,146.968536
130.5,147.286161
131.0,147.60233
131.5,147.91705
132.0,148.230328
132.5,148.54217
133.0,148.852583
133.5,149.161573
134.0,149.469147
134.5,149.775311
135.0,150.080073
135.5,150.383437
136.0,150.685411
136.5,150.986001
137.0,151.285213
137.5,151.583054
138.0,151.87953
138.5,152.174647
139.0,152.468411
139.5,152.760829
140.0,153.051907
140.5,153.341651
141.0,153.630067
141.5,153.917161
142.0,154.202939
142.5,154.487408
143.0,154.770572
143.5,155.052439
144.0,155.333014
144.5,155.612303
145.0,155.890312
145.5,156.167047
146.0,156.442514
146.5,156.716718
147.0,156.989665
147.5,157.261361
148.0,157.531812
148.5,157.801024
149.0,158.069002
149.5,158.335751
150.0,158.601278
150.5,158.865588
151.0,159.128687
151.5,159.39058
152.0,159.651272
152.5,159.913731
153.0,160.194238
153.5,160.492709
154.0,160.809063
154.5,161.143217
155.0,161.49509
155.5,161.864601
156.0,162.251668
156.5,162.647327
157.0,163.041173
157.5,163.433214
158.0,163.823457
158.5,164.211912
159.0,164.598587
159.5,164.98349
160.0,165.366628
160.5,165.748011
161.0,166.127646
161.5,166.50554
162.0,166.881703
162.5,167.256142
163.0,167.628864
163.5,167.999878
164.0,168.369192
164.5,168.736813
165.0,169.10275
165.5,169.467009
166.0,169.829599
166.5,170.190526
167.0,170.5498
167.5,170.907427
168.0,171.263415
168.5,171.617772
169.0,171.970504
169.5,172.32162
170.0,172.671126
170.5,173.019031
171.0,173.365341
171.5,173.710064
172.0,174.053207
172.5,174.394777
173.0,174.734782
173.5,175.073228
174.0,175.410124
174.5,175.745475
175.0,176.079289
175.5,176.411574
176.0,176.742335
176.5,177.07158
177.0,177.399317
177.5,177.725551
178.0,178.050291
178.5,178.373541
179.0,178.695311
179.5,179.015605
180.0,179.3477
180.5,179.702913
181.0,180.081138
181.5,180.482271
182.0,180.906205
182.5,181.352837
183.0,181.822062
183.5,182.313777
184.0,182.807029
184.5,183.29802
185.0,183.786762
185.5,184.273263
186.0,184.757534
186.5,185.239586
187.0,185.719429
187.5,186.197072
188.0,186.672527
188.5,187.145802
189.0,187.616908
189.5,188.085855
190.0,188.552652
190.5,189.017311
191.0,189.479839
191.5,189.940248
192.0,190.398547
192.5,190.854745
193.0,191.308852
193.5,191.760878
194.0,192.210832
194.5,192.658724
195.0,193.104564
195.5,193.54836
196.0,193.990122
196.5,194.429859
197.0,194.867581
197.5,195.303296
198.0,195.737015
198.5,196.168746
199.0,196.598498
199.5,197.026281
200.0,197.452103
200.5,197.875973
201.0,198.297901
201.5,198.717895
202.0,199.135964
202.5,199.552116
203.0,199.966362
203.5,200.378709
204.0,200.789166
204.5,201.197742
205.0,201.604445
205.5,202.009285
206.0,202.412269
206.5,202.813406
207.0,203.212704
207.5,203.629364
208.0,204.064904
208.5,204.519238
209.0,204.992281
209.5,205.483945
210.0,205.994147
210.5,206.522801
211.0,207.065024
211.5,207.604762
212.0,208.142027
212.5,208.676829
213.0,209.20918
213.5,209.739091
214.0,210.266574
214.5,210.791639
215.0,211.314297
215.5,211.83456
216.0,212.352439
216.5,212.867944
217.0,213.381086
217.5,213.891877
218.0,214.400326
218.5,214.906445
219.0,215.410245
219.5,215.911735
220.0,216.410928
220.5,216.907832
221.0,217.402459
221.5,217.894818
222.0,218.384922
222.5,218.872779
223.0,219.3584
223.5,219.841795
224.0,220.322975
224.5,220.801949
225.0,221.278729
225.5,221.753323
226.0,222.225742
226.5,222.695996
227.0,223.164094
227.5,223.630047
228.0,224.093865
228.5,224.555557
229.0,225.015132
229.5,225.472602
230.0,225.927975
230.5,226.38126
231.0,226.832469
231.5,227.281609
232.0,227.728691
232.5,228.173724
233.0,228.616717
233.5,229.057679
234.0,229.496621
234.5,229.933551
235.0,230.368478
235.5,230.801412
236.0,231.232362
236.5,231.661337
