time,state
0.0,106.081449
2.0,100.187839
4.0,94.765941
6.0,89.77641
8.0,85.188198
10.0,80.97156
12.0,77.097999
14.0,73.540263
16.0,70.27234
18.0,67.269469
20.0,64.508128
22.0,61.966042
24.0,59.623147
26.0,57.465433
28.0,55.480405
30.0,53.655912
32.0,51.980199
34.0,50.441901
36.0,49.030049
38.0,47.734067
40.0,46.543772
42.0,45.449375
44.0,44.441479
46.0,43.511277
48.0,42.653447
50.0,41.863673
52.0,41.137413
54.0,40.470244
56.0,39.857857
58.0,39.29606
60.0,38.780775
62.0,38.308042
64.0,37.874014
66.0,37.474961
68.0,37.107269
70.0,36.767504
72.0,36.454387
74.0,36.166485
76.0,35.901783
78.0,35.658404
80.0,35.434611
