time_s,position_cm,air_temperature_c,center_temperature_c
0.0,0.0,25.0,25.0
0.5,0.791667,25.0,25.0
1.0,1.583333,25.0,25.0
1.5,2.375,25.0,25.0
2.0,3.166667,25.0,25.0
2.5,3.958333,25.0,25.0
3.0,4.75,25.0,25.0
3.5,5.541667,25.0,25.0
4.0,6.333333,25.0,25.0
4.5,7.125,25.0,25.0
5.0,7.916667,25.0,25.0
5.5,8.708333,25.0,25.0
6.0,9.5,25.0,25.0
6.5,10.291667,25.0,25.0
7.0,11.083333,25.0,25.0
7.5,11.875,25.0,25.0
8.0,12.666667,25.0,25.0
8.5,13.458333,25.0,25.0
9.0,14.25,25.0,25.0
9.5,15.041667,25.0,25.0
10.0,15.833333,25.0,25.0
10.5,16.625,25.0,25.0
11.0,17.416667,25.0,25.0
11.5,18.208333,25.0,25.0
12.0,19.0,25.0,25.0
12.5,19.791667,25.0,25.0
13.0,20.583333,25.0,25.0
13.5,21.375,25.0,25.0
14.0,22.166667,25.0,25.0
14.5,22.958333,25.0,25.0
15.0,23.75,25.0,25.0
15.5,24.541667,25.0,25.0
16.0,25.333333,225.317282,25.0
16.5,26.125,225.317282,25.918093
17.0,26.916667,225.317282,26.831977
17.5,27.708333,225.317282,27.741673
18.0,28.5,225.317282,28.6472
18.5,29.291667,225.317282,29.548577
19.0,30.083333,225.317282,30.445823
19.5,30.875,225.317282,31.338956
20.0,31.666667,225.317282,32.227996
20.5,32.458333,225.317282,33.112961
21.0,33.25,225.317282,33.99387
21.5,34.041667,225.317282,34.870742
22.0,34.833333,225.317282,35.743595
22.5,35.625,225.317282,36.612448
23.0,36.416667,225.317282,37.477318
23.5,37.208333,225.317282,38.338225
24.0,38.0,225.317282,39.195185
24.5,38.791667,225.317282,40.048219
25.0,39.583333,225.317282,40.897342
25.5,40.375,225.317282,41.742574
26.0,41.166667,225.317282,42.583932
26.5,41.958333,225.317282,43.421434
27.0,42.75,225.317282,44.255098
27.5,43.541667,225.317282,45.084941
28.0,44.333333,225.317282,45.91098
28.5,45.125,225.317282,46.733233
29.0,45.916667,225.317282,47.551718
29.5,46.708333,225.317282,48.366452
30.0,47.5,225.317282,49.177452
30.5,48.291667,225.317282,49.984734
31.0,49.083333,225.317282,50.788317
