day,level,weather,area,action,remaining_cash,remaining_water,remaining_food,from_area,water_consumed,food_consumed,mining_income
0,第一关,,1,buy_initial_resources,6700.0,232,214,,,,
1,第一关,高温,2,move,6700.0,216,202,1,16,12,0.0
2,第一关,高温,3,move,6700.0,200,190,2,16,12,0.0
3,第一关,晴朗,12,move,6700.0,190,176,3,10,14,0.0
4,第一关,沙暴,12,stay,6700.0,180,166,12,10,10,0.0
5,第一关,晴朗,12,mine,7700.0,165,145,12,15,21,1000.0
6,第一关,高温,12,mine,8700.0,141,127,12,24,18,1000.0
7,第一关,沙暴,12,stay,8700.0,131,117,12,10,10,0.0
8,第一关,晴朗,12,mine,9700.0,116,96,12,15,21,1000.0
9,第一关,高温,13,move,9700.0,100,84,12,16,12,0.0
10,第一关,高温,14,move,9700.0,84,72,13,16,12,0.0
11,第一关,沙暴,14,stay,9700.0,74,62,14,10,10,0.0
12,第一关,高温,15,move,9700.0,58,50,14,16,12,0.0
13,第一关,晴朗,16,move,9700.0,48,36,15,10,14,0.0
14,第一关,高温,17,move,9700.0,32,24,16,16,12,0.0
15,第一关,高温,18,move,9700.0,16,12,17,16,12,0.0
16,第一关,高温,27,move,9700.0,0,0,18,16,12,0.0
