企业代号,企业名称,credit_rating,defaulted,inferred_rating,risk_score,base_risk,business_scale,gross_margin_proxy,invalid_ratio,negative_ratio,top_partner_share,growth_proxy
E1,***电器销售有限公司,A,0,A,0.248476,0.337823,7939609882.726,-0.400119,0.055798,0.028237,0.994623,-0.914262
E2,***技术有限责任公司,A,0,A,0.102809,0.129727,703934592.318,0.713385,0.082002,0.028331,0.255279,-0.657738
E3,***电子(中国)有限公司***分公司,C,0,C,0.268648,0.238068,801932035.476,0.672476,0.042535,0.186973,0.622565,-0.947419
E4,***发展有限责任公司,C,0,C,0.290858,0.269798,1981400703.634,0.877057,0.085164,0.007168,0.934838,-0.934709
E5,***供应链管理有限公司,B,0,B,0.266043,0.320061,322879016.898,0.023808,0.051887,0.009434,0.396194,-0.412513
E6,***装饰设计工程有限公司,A,0,A,0.128574,0.166534,551413970.52,0.174156,0.132129,0.021863,0.339313,38.353318
E7,***家电有限公司***分公司,A,0,A,0.111484,0.14212,748971391.694,0.63899,0.034664,0.234262,0.142311,-0.977881
E8,***科学研究院有限公司,A,0,A,0.112692,0.143845,471140321.458,0.526313,0.113103,0.026313,0.213039,-0.854389
E9,***生活用品服务有限公司***分公司,A,0,A,0.157179,0.207398,343528321.166,0.897527,0.024721,0.020657,0.288237,-0.778466
E10,***建筑劳务有限公司,B,0,B,0.178135,0.194478,345060067.38,0.981906,0.091549,0.008299,0.191126,3.848622
E11,***建设工程有限公司,C,0,C,0.347121,0.350172,228725994.032,0.102471,0.059087,0.008463,0.467893,38.223571
E12,***建筑劳务有限公司,B,0,B,0.282849,0.344071,278043232.28,0.600363,0.077193,0.007238,0.7221,2.414635
E13,***汽车贸易有限公司,A,0,A,0.188575,0.25225,271751213.672,0.556737,0.149532,0.009244,0.284744,-0.962425
E14,个体经营E14,C,0,C,0.267956,0.237079,279433562.802,0.462504,0.077717,0.018369,0.235393,-0.017751
E15,***劳务有限公司,A,0,A,0.235399,0.319141,214367414.6,0.979991,0.063018,0.0,0.835317,217.044624
E16,***建筑劳务有限公司,A,0,A,0.224413,0.303447,209588685.756,0.998676,0.111617,0.003448,0.176789,4.292809
E17,***消防工程有限公司,A,0,A,0.213824,0.28832,238241376.506,0.155049,0.170118,0.019231,0.099341,41.621826
E18,***消防工程有限责任公司,A,0,A,0.21659,0.292271,266474108.252,0.316797,0.094488,0.005377,0.253572,23.349832
E19,***科技有限公司,A,0,A,0.241743,0.328205,294586406.902,-0.014979,0.089706,0.021297,0.368312,4.148869
E20,***贸易有限公司,B,0,B,0.297012,0.364302,298389369.052,0.074373,0.078761,0.002655,0.541693,3.774824
E21,***建设工程有限公司,B,0,B,0.289465,0.353522,192005282.982,0.029627,0.071799,0.031378,0.493622,62.99744
E22,***物流有限公司,A,0,A,0.267656,0.365223,152561495.904,0.408962,0.12548,0.013665,0.243718,47.28505
E23,***贸易有限公司,B,0,B,0.296887,0.364124,289050459.986,0.051347,0.036134,0.015148,0.81635,2.476309
E24,***建筑工程有限公司,A,0,A,0.259072,0.35296,188228089.132,0.457561,0.080808,0.015713,0.293478,-0.693274
E25,***通讯设备有限公司,C,0,C,0.382844,0.401206,43904788.774,0.754225,0.167689,0.023517,0.18335,-0.847042
E26,***金属材料有限公司,A,0,A,0.290636,0.398051,58988734.562,-0.011722,0.107143,0.003968,0.186471,740.02802
E27,***农业开发有限公司,A,0,A,0.33814,0.465915,70974177.9,-0.004822,0.053815,0.016349,0.612449,14.121088
E28,***景观工程有限公司,B,0,B,0.337495,0.422136,49792894.904,0.974054,0.077329,0.0,0.469077,0.398493
E29,***建筑劳务有限公司,C,1,C,0.86,0.468991,45267783.122,0.996445,0.04,0.0,0.887811,0.293478
E30,***建筑工程有限公司,B,0,B,0.319946,0.397066,84188131.29,0.704102,0.06625,0.002653,0.796972,645.815454
E31,***食品有限公司,A,0,A,0.330223,0.454604,49957531.262,0.906207,0.041028,0.002427,0.823542,-0.92377
E32,***建筑劳务有限公司,B,0,B,0.363794,0.459706,45773392.404,0.942582,0.152174,0.003623,0.731105,3.733323
E33,***园林有限责任公司,B,0,B,0.336732,0.421046,112330340.006,0.01377,0.150047,0.013048,0.119392,-0.843667
E34,***建设工程有限公司,B,0,B,0.297284,0.364692,121956356.266,0.452295,0.157001,0.019056,0.517728,187.282124
E35,***商贸有限公司,B,0,B,0.348933,0.438476,53539211.024,0.145231,0.053812,0.017937,0.214506,13.610388
E36,***超硬材料有限公司,D,1,D,0.93,0.395487,47767156.338,0.434825,0.076277,0.023271,0.108844,1.070084
E37,***木业有限公司,B,0,B,0.345465,0.433522,70085627.096,-0.000888,0.069914,0.010998,0.165413,-0.715423
E38,***建设工程有限公司,B,0,B,0.346669,0.435241,56018990.71,0.743374,0.121019,0.006369,0.640724,39.740824
E39,***建筑劳务有限公司,C,0,C,0.449926,0.497037,29744156.486,0.975856,0.106061,0.022727,0.970701,8.73446
E40,***财税咨询服务有限公司,C,0,C,0.342657,0.343796,38990368.302,0.80912,0.093998,0.047565,0.077757,-0.482521
E41,***物业发展有限公司,C,0,C,0.408615,0.438021,36818546.146,0.815263,0.087481,0.027149,0.574997,0.103797
E42,***园艺场,A,0,A,0.347511,0.479302,26819308.988,0.978069,0.100917,0.018349,0.784151,1.984356
E43,***建设工程有限公司,B,0,B,0.380494,0.483562,20842350.234,0.7968,0.128205,0.128205,0.622125,26.971397
E44,***商贸有限公司,C,0,C,0.434356,0.474795,51274021.842,0.089054,0.079261,0.023409,0.517343,23.702922
E45,个体经营E45,B,1,B,0.86,0.502725,39348193.958,0.026816,0.061538,0.021538,0.614242,12.879575
E46,***广告传媒有限公司,C,0,C,0.37832,0.394742,91084770.614,0.146833,0.087269,0.039014,0.16869,24.527759
