企业代号,企业名称,inferred_rating,risk_score,base_risk,business_scale,gross_margin_proxy,invalid_ratio,negative_ratio,top_partner_share,growth_proxy
E124,个体经营E124 ,B,0.194708,0.194708,1259003115.292,-0.056403,0.150039,0.032483,0.159287,4.076029
E125,个体经营E125 ,A,0.177145,0.177145,1549047471.166,0.009054,0.134796,0.026959,0.156088,2.704629
E126,个体经营E126 ,B,0.228786,0.228786,605680595.798,0.758275,0.166227,0.021108,0.418792,1.90078
E127,个体经营E127 ,A,0.156247,0.156247,654259126.276,0.995439,0.030303,0.001379,0.224761,1.087537
E128,个体经营E128 ,B,0.355925,0.355925,247948709.524,0.963167,0.0749,0.004966,0.975745,2.534138
E129,个体经营E129 ,A,0.157653,0.157653,377377523.112,0.751418,0.109335,0.014956,0.133128,-0.354519
E130,个体经营E130 ,C,0.382661,0.382661,155611933.44,0.335941,0.044139,0.015195,0.899521,104.372999
E131,个体经营E131 ,B,0.237079,0.237079,279433562.802,0.462504,0.077717,0.018369,0.235393,-0.017751
E132,个体经营E132 ,B,0.280057,0.280057,244637865.028,0.676553,0.077308,0.004449,0.243091,1.313683
E133,个体经营E133 ,C,0.425811,0.425811,139450506.028,0.642724,0.176471,0.017647,0.616515,1.789536
E134,***工程咨询有限公司,B,0.265331,0.265331,128079845.798,0.945643,0.076547,0.018893,0.310461,45.022109
E135,***建设工程有限公司,B,0.288272,0.288272,158677824.956,0.771906,0.11138,0.033898,0.248729,107.855643
E136,***机械有限责任公司,C,0.480986,0.480986,185668193.056,0.018231,0.052399,0.002952,0.999703,4.433068
E137,***建设工程有限公司,B,0.342053,0.342053,210605084.162,0.272143,0.090551,0.023622,0.279,-0.766112
E138,个体经营E138 ,C,0.367359,0.367359,120974882.992,0.802275,0.035523,0.048077,0.270247,0.953313
E139,个体经营E139 ,B,0.310916,0.310916,189111677.962,0.990026,0.047808,0.004237,0.270151,0.089961
E140,***建筑工程有限公司,B,0.320187,0.320187,190986538.038,0.941733,0.140828,0.026036,0.294352,-0.63875
E141,***食品有限公司,B,0.262635,0.262635,186899683.934,0.735701,0.059494,0.03038,0.118632,-0.54939
E142,***运业有限公司,C,0.394484,0.394484,127646292.34,0.490624,0.074526,0.015131,0.435321,28.849254
E143,***电子科技有限公司,C,0.397047,0.397047,111616768.314,0.628709,0.044348,0.018261,0.59317,0.182246
E144,***劳务有限公司,B,0.342856,0.342856,114925240.65,0.871637,0.084559,0.042647,0.284651,13.482846
E145,***工贸有限公司,C,0.375413,0.375413,187914432.918,0.038316,0.099977,0.018965,0.352719,3.202834
E146,***基础建设工程有限公司,C,0.405437,0.405437,208187616.85,0.060348,0.121588,0.021092,0.591784,15.269958
