企业代号,企业名称,inferred_rating,approved,credit_yuan,loan_rate,customer_loss_rate,risk_score,shock_risk_delta,expected_yield,expected_interest_income_yuan,priority
E124,个体经营E124 ,B,True,1000000.0,0.0585,0.302883,0.194708,0.0,0.017264,17264.18,0.990354
E125,个体经营E125 ,A,True,1000000.0,0.0465,0.135727,0.177145,0.0,0.018898,18897.81,1.034722
E126,个体经营E126 ,B,True,1000000.0,0.0585,0.302883,0.228786,0.0,0.013148,13148.28,0.872539
E127,个体经营E127 ,A,True,1000000.0,0.0465,0.135727,0.156247,0.0,0.02141,21409.51,1.043562
E128,个体经营E128 ,B,False,0.0,0.0585,0.302883,0.355925,0.0,-0.002208,-0.0,0.0
E129,个体经营E129 ,A,True,1000000.0,0.0465,0.135727,0.157653,0.0,0.021241,21240.61,1.011938
E130,个体经营E130 ,C,False,0.0,0.0585,0.290189,0.382661,0.0,-0.004978,-0.0,0.0
E131,个体经营E131 ,B,True,1000000.0,0.0585,0.302883,0.237079,0.0,0.012147,12146.55,0.819678
E132,个体经营E132 ,B,True,1000000.0,0.0585,0.302883,0.280057,0.0,0.006956,6955.62,0.713808
E133,个体经营E133 ,C,False,0.0,0.0585,0.290189,0.425811,0.0,-0.010222,-0.0,0.0
E134,***工程咨询有限公司,B,True,1000000.0,0.0585,0.302883,0.265331,0.0,0.008734,8734.3,0.723098
E135,***建设工程有限公司,B,True,1000000.0,0.0585,0.302883,0.288272,0.0,0.005963,5963.43,0.679075
E136,***机械有限责任公司,C,False,0.0,0.0585,0.290189,0.480986,0.0,-0.016927,-0.0,0.0
E137,***建设工程有限公司,B,False,0.0,0.0585,0.302883,0.342053,0.0,-0.000532,-0.0,0.0
E138,个体经营E138 ,C,False,0.0,0.0585,0.290189,0.367359,0.0,-0.003119,-0.0,0.0
E139,个体经营E139 ,B,True,1000000.0,0.0585,0.302883,0.310916,0.0,0.003228,3228.47,0.633263
E140,***建筑工程有限公司,B,True,1000000.0,0.0585,0.302883,0.320187,0.0,0.002109,2108.66,0.612239
E141,***食品有限公司,B,True,1000000.0,0.0585,0.302883,0.262635,0.0,0.00906,9059.98,0.74394
E142,***运业有限公司,C,False,0.0,0.0585,0.290189,0.394484,0.0,-0.006415,-0.0,0.0
E143,***电子科技有限公司,C,False,0.0,0.0585,0.290189,0.397047,0.0,-0.006727,-0.0,0.0
E144,***劳务有限公司,B,False,0.0,0.0585,0.302883,0.342856,0.0,-0.000629,-0.0,0.0
