segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,6.087504,-0.000379,-0.028276,443,6.655484,-23.84253,0.676258,1.558986,2.97815,-1.343884,2.153634,0.488881,3.572308,7.693443
2,arc,6.087504,12.282014,-0.028276,-2.843299,449,6.507482,-17.841837,0.470502,1.181436,8.611055,-3.032499,3.369359,0.066469,2.24983,7.580484
3,arc,12.282014,18.138511,-2.843299,-0.065027,429,5.968652,11.124783,0.252652,1.185404,15.581968,-2.913915,3.27316,0.072529,2.280768,7.465317
4,arc,18.138511,25.140486,-0.065027,0.009301,510,7.342022,17.506114,0.51597,1.685028,22.095403,-2.559942,3.066273,0.216263,2.585884,7.929026
5,line,25.140486,30.184611,0.009301,0.992712,368,5.142666,11.234362,3e-06,0.02106,-21.651941,248.771873,253.129828,1.3e-05,0.020302,5.139061
6,line,30.184611,34.14977,0.992712,0.213999,289,4.043629,-11.305961,2e-06,0.027075,-2.954582,-175.061627,179.153339,9e-06,0.022556,4.04097
7,arc,34.14977,38.154554,0.213999,-0.00571,292,4.007294,-2.028047,0.001563,0.086528,36.617658,13.218373,13.247486,0.000527,0.303244,4.017219
8,line,38.154554,42.817584,-0.00571,0.072398,340,4.801424,13.789872,0.038941,0.624772,40.410495,0.318565,1.438602,0.423254,3.176151,4.569217
9,line,42.817584,47.797577,0.072398,-0.016788,363,4.98,-0.101739,4.1e-05,0.092375,45.385794,43.956874,43.977168,0.000406,0.113247,4.980263
10,arc,47.797577,55.061189,-0.016788,-0.063413,529,7.263786,-0.396457,0.411302,0.785021,51.453096,1.703967,4.005648,1e-05,2.246151,8.997289
11,line,55.061189,60.109311,-0.063413,0.096896,368,5.048143,0.166986,9.3e-05,0.150144,57.51901,22.866912,22.909689,0.001643,0.220051,5.041303
12,arc,60.109311,67.359303,0.096896,0.047522,528,7.250285,-0.514779,0.407472,0.775802,63.707293,-1.692381,4.004317,1.1e-05,2.235498,8.951642
13,line,67.359303,71.528094,0.047522,0.000578,304,4.168798,-0.109487,1.9e-05,0.06006,69.563541,62.613993,62.623149,8.9e-05,0.066581,4.169536
