segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,4.12082,0.000671,-2.642608,303,4.26307,-14.842826,0.221901,1.494555,1.77498,-2.004179,2.251537,0.036535,2.561173,5.766575
2,arc,4.12082,11.34634,-2.642608,-0.222423,532,7.779683,21.756436,0.463496,0.93773,8.79908,-3.960347,4.220477,0.052627,1.95022,8.23086
3,arc,11.34634,18.332976,-0.222423,-0.105326,514,7.394407,19.116574,0.478643,1.893934,15.522269,-3.151019,3.516338,0.120971,2.271171,7.986205
4,arc,18.332976,25.391048,-0.105326,0.015691,519,7.45635,18.81137,0.491642,1.889803,22.512291,-3.086542,3.474502,0.137543,2.296632,7.979653
5,line,25.391048,30.413562,0.015691,1.000318,370,5.1202,11.209927,1e-06,0.015251,-17.119152,227.677068,231.590988,1.7e-05,0.022099,5.117979
6,arc,30.413562,38.192921,1.000318,-0.007586,571,7.858082,-8.116952,0.011262,0.099698,37.184506,20.60264,20.612843,0.001581,0.381474,7.863257
7,line,38.192921,42.829684,-0.007586,0.068871,341,4.783594,14.232684,0.035206,0.637128,40.446222,0.266161,1.4189,0.438985,3.234045,4.588788
8,line,42.829684,47.770609,0.068871,-0.041439,363,4.940934,-0.11107,4e-05,0.118002,45.362195,31.802634,31.830983,0.000784,0.155124,4.937747
9,arc,47.770609,54.950883,-0.041439,-0.056945,527,7.187825,2.626572,0.401187,0.805753,51.236963,1.642847,3.959521,0.001684,2.260069,8.94879
10,line,54.950883,59.95987,-0.056945,0.08501,368,5.009,0.133067,7e-05,0.13754,57.4087,20.282636,20.329357,0.002069,0.245901,4.999011
11,arc,59.95987,66.814935,0.08501,0.684543,504,6.894273,6.113431,0.300533,0.696135,63.695323,-1.71854,4.038634,0.001155,2.035407,8.220266
12,line,66.814935,70.904678,0.684543,0.001604,299,4.093271,-2.378901,0.010198,0.516987,69.009002,3.678568,3.838455,0.01805,1.108426,4.254642
