x,z_corrected
0.0,0.000479
0.015494,0.000681
0.024984,-6.5e-05
0.033984,0.001464
0.042994,0.003411
0.051981,0.001328
0.060473,0.000893
0.069471,0.000202
0.078446,0.000282
0.08695,0.000457
0.095945,-2.1e-05
0.104926,-0.000601
0.113427,-0.000267
0.122435,-0.000354
0.13141,-0.001275
0.1404,-0.001032
0.148906,-0.001607
0.157898,-0.001111
0.166886,-0.000246
0.175382,-0.000349
0.184377,-6.9e-05
0.193374,0.000166
0.201867,-0.00033
0.210858,0.000144
0.219853,0.000191
0.228851,-0.00012
0.237347,-0.000316
0.246334,-4.3e-05
0.255339,-8.9e-05
0.263838,0.000861
0.272827,0.001898
0.281821,0.001781
0.290314,0.000214
0.299308,-0.000343
0.308291,-0.000998
0.317296,-0.001518
0.325779,-0.001637
0.334778,-0.001881
0.343784,-0.001416
0.352261,-0.001348
0.361266,-0.000435
0.37026,-5.4e-05
0.378752,-4.2e-05
0.387741,-0.000944
0.396739,-0.000583
0.405741,-0.000398
0.414222,-0.000644
0.423219,-0.000764
0.432225,-0.000944
0.440717,-0.001205
0.449695,-0.001389
0.458699,4.9e-05
0.467195,-7.4e-05
0.476191,-0.000579
0.485182,-0.00139
0.494173,-0.000276
0.502677,-0.000474
0.511672,5.6e-05
0.520662,0.001089
0.529169,0.001196
0.538153,0.0008
0.547149,-0.000292
0.555645,-0.001285
0.564633,0.000207
0.573636,0.00118
0.582635,0.001437
0.591119,0.001192
0.600118,0.001881
0.609116,0.001672
0.617607,0.001105
0.626598,0.000188
0.6356,0.000652
0.644093,-0.001734
0.653064,-0.00192
0.662073,-0.000481
0.671079,0.001534
0.679572,0.002683
0.688566,0.002314
0.697562,0.002518
0.706067,0.00202
0.715043,0.000498
0.724039,-0.001047
0.732536,-7e-06
0.741522,0.000905
0.750531,-0.000434
0.759504,-0.000963
0.768,-0.000772
0.777008,-0.000359
0.785988,-0.000454
0.794491,-0.00036
0.803484,0.000726
0.812476,-0.000773
0.820972,-0.000535
0.829974,-0.000741
0.838953,-0.001569
0.847959,-0.001431
0.856454,-0.001448
0.865439,-0.000376
0.874438,0.000369
0.882933,0.000266
0.891928,0.0005
0.900924,0.000541
0.909416,0.000443
0.918412,-0.00037
0.927412,-0.000303
0.936406,3e-06
0.944892,-0.000156
0.953894,-0.000356
0.962892,-0.000881
0.971379,4.4e-05
0.980376,0.000983
0.989379,0.001362
0.997867,0.000616
1.006865,-0.000603
1.015862,0.000305
1.024846,-0.000126
1.033352,-0.000796
1.042345,-0.000491
1.051327,-0.000579
1.059829,-9.9e-05
1.068828,-0.000532
1.077815,0.000287
1.08631,0.000409
1.095309,7e-05
1.104303,0.000214
1.113295,0.0011
1.121794,0.001462
1.130801,0.000546
1.13978,-0.000197
1.148269,-0.00068
1.157278,-0.001017
1.166262,-0.000676
1.174752,-0.000499
1.183757,0.000652
1.192747,0.000521
1.201745,0.00067
1.210243,0.001065
1.219234,0.001106
1.228231,0.000137
1.236722,0.000291
1.245712,0.000258
1.254724,0.000741
1.263217,0.00194
