x,z_corrected
0.0,0.000105
0.014489,0.002343
0.024999,-0.000658
0.033992,-0.00195
0.043008,-0.002074
0.051508,-0.000467
0.0605,-0.000217
0.069492,-0.000777
0.078478,-0.002228
0.087507,-0.004021
0.096528,-0.004276
0.105476,-0.004624
0.114471,-0.004013
0.122983,-0.00462
0.132017,-0.00402
0.141019,-0.003806
0.149969,-0.003449
0.158976,-0.002813
0.16801,-0.001323
0.176985,-0.000163
0.185992,3.4e-05
0.194997,0.000688
0.203471,0.00127
0.212492,0.001588
0.221482,0.001387
0.230489,0.000271
0.239503,-0.000778
0.248486,-0.000846
0.257507,-6.4e-05
0.266478,-0.000324
0.274976,-0.001674
0.284017,-0.00177
0.293003,-0.001308
0.301982,-0.001398
0.310981,0.000358
0.319989,0.001661
0.328999,0.001373
0.337983,0.001115
0.346969,0.000968
0.355476,0.001669
0.3645,0.00108
0.373493,0.000589
0.382499,0.000988
0.391493,0.002283
0.400494,0.00064
0.409485,0.000194
0.418506,5.2e-05
0.427001,-0.000362
0.435989,-0.000697
0.445013,-0.001063
0.453989,-0.000245
0.463007,5.7e-05
0.471992,0.000547
0.480997,0.000698
0.490006,8e-05
0.499006,-0.000235
0.507492,-0.001089
0.516492,-0.001236
0.525511,-0.000601
0.534507,-0.000807
0.543493,-4.7e-05
0.55249,0.000789
0.561496,0.001461
0.570496,0.000819
0.578999,0.001207
0.588,0.000232
0.59699,-0.000924
0.605993,-0.001639
0.615014,-0.001686
0.624008,-0.001684
0.632978,-0.001273
0.642014,-0.001024
0.650975,-0.000471
0.659488,-0.000506
0.668501,0.000244
0.677488,0.001426
0.686499,0.001231
0.69549,0.001107
0.704504,0.000558
0.713496,0.000597
0.722485,-0.000411
0.731001,-0.00052
0.740008,-0.001175
0.748979,-0.001472
0.757988,-0.001171
0.767006,0.000348
0.775992,0.000611
0.784964,-0.000281
0.793992,-0.001178
0.803013,-0.001433
0.811486,-0.001333
0.820496,-0.000203
0.829497,0.000951
0.838493,0.002173
0.847496,0.001502
0.856482,0.000694
0.865507,6.9e-05
0.874475,-0.000377
0.882994,-0.001159
0.892013,-0.00119
0.900975,-0.00082
0.910006,-0.001622
0.918996,-0.001824
0.927985,-0.000852
0.93701,-0.000508
0.945981,-0.000586
0.954994,-9.5e-05
0.963504,0.000615
0.972488,0.00113
0.981476,0.001663
0.990488,0.001358
0.999503,0.000847
1.008493,0.00111
1.017494,0.001103
1.026494,-0.000528
1.034985,-0.00141
1.04401,-0.002041
1.053011,-0.002039
1.061971,-0.001681
1.070989,-0.00067
1.079983,-0.000892
1.088999,-0.001135
1.098004,-0.001357
1.106964,-0.000946
1.115483,-0.000284
1.124493,0.000442
1.133475,0.001587
1.142497,0.001106
1.151475,0.001081
1.1605,0.000886
1.169492,0.001173
1.178479,0.002269
1.186986,0.002921
1.195994,0.002014
1.204986,0.002563
1.213994,0.001806
1.222986,0.001829
1.23196,0.002219
1.240979,0.001832
1.249999,0.000929
1.258969,-0.000851
1.267479,-0.001458
1.276524,-0.002455
1.285478,-0.001902
1.294479,-0.001445
1.303506,-0.000204
1.312476,0.000444
1.321503,0.000917
1.330481,0.001693
1.338979,0.003271
1.347964,0.004798
1.356972,0.005635
1.365956,0.004551
1.374968,0.003011
1.383989,0.002515
1.392969,0.003151
1.401986,0.003179
1.410986,0.002557
1.419478,0.002206
1.428478,0.002996
1.437474,0.004044
1.446483,0.004081
1.455485,0.002662
1.464479,0.001883
1.473482,0.001322
1.482492,0.000988
1.491006,0.000285
1.499994,0.00032
1.508974,0.000486
1.51799,0.0001
1.527001,-0.000143
1.535969,0.000492
1.545004,0.000741
1.553985,0.001481
1.562971,0.002577
1.571475,0.003697
1.580486,0.002689
