sheet,point_count,tilt_angle_deg,x_span,z_span,slot_width,arc_radius_mean,arc_radius_min,arc_radius_max,center_distance_mean,arc_length_total,horizontal_line_length_total,slant_line_length_total,line_length_total,slant_angle_deg,herringbone_height
25-1,74836,16.740227,14.716888,3.368752,1.174655,3.899961,0.532854,7.224446,1.127616,14.711847,0.0,3.426053,3.426053,10.821053,3.277235
25-2,82243,10.429128,16.562987,8.177693,11.877933,4.518839,0.626694,9.963816,1.526614,21.759746,0.0,3.658553,3.658553,17.305586,4.004556
26-1,70909,11.193826,14.510405,11.394011,11.685934,4.554945,0.530013,42.302788,1.029573,25.603835,0.0,0.904667,0.904667,17.463998,4.042958
26-2,69305,18.234969,13.716879,3.607172,10.433733,3.812231,0.562743,42.642966,1.523888,16.84054,0.0,1.282192,1.282192,10.039852,3.209799
27-1,71347,12.005435,14.633086,12.635599,11.645503,4.430153,0.524266,40.827348,1.197813,26.952344,0.0,0.854003,0.854003,18.044331,4.092104
27-2,70318,-5.696878,14.435613,11.188884,13.954268,6.127473,0.505904,27.744728,1.167985,27.789379,0.0,0.996152,0.996152,32.452857,6.44171
28-1,78525,19.002375,15.498227,3.485925,1.234812,3.841443,0.551919,49.194031,1.326621,16.526884,0.0,3.207743,3.207743,12.580306,3.382436
28-2,80041,18.170854,15.813732,3.606761,1.259289,3.766022,0.545092,48.537146,1.471597,17.905741,0.0,2.566638,2.566638,12.653838,3.474277
29-1,82023,-3.982921,16.686953,10.442691,16.363755,5.993737,0.494002,31.525087,0.880364,25.97825,0.0,4.574479,4.574479,32.794308,6.935339
29-2,79110,-3.547164,16.120335,10.476991,15.809123,5.865286,0.495164,31.719439,1.401053,17.691291,0.0,1.071473,13.96921,32.795844,6.520668
