segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,0.846257,-0.166329,-1.069067,297,0.851118,-6.126378,0.111695,5765613215.838237,0.359797,-0.980427,0.420966,0.03714,6.148064,2.588127
2,arc,0.846257,1.971394,-1.069067,-1.715354,388,1.129865,-5.243654,0.066669,34.52526,1.4076,-0.973133,0.418798,0.026669,6.208252,2.600004
3,arc,1.971394,2.922169,-1.715354,-1.602869,327,1.0524,-25.386727,0.038702,33.693606,2.424657,-1.326478,0.364644,0.023579,6.030699,2.199058
4,arc,2.922169,3.845402,-1.602869,-1.365813,321,0.954579,14.72368,0.035745,28.686106,3.379113,-1.458946,0.338626,0.018654,6.131482,2.076279
5,line,3.845402,4.850612,-1.365813,-1.192669,352,1.007106,3.516052,0.012712,18.295737,4.345357,-1.30764,0.314511,0.017968,5.089816,1.600804
6,line,4.850612,6.065893,-1.192669,-0.77103,431,1.35427,26.185637,0.006541,11.068213,5.392011,-0.880097,0.43136,0.027124,3.658923,1.578315
7,line,6.065893,7.135539,-0.77103,0.433973,387,1.522172,45.355102,0.030097,24.629365,6.531836,-0.218377,0.482541,0.046378,5.919676,2.856487
8,line,7.135539,8.325393,0.433973,1.320651,430,1.47502,36.228164,0.068529,39.006198,7.711357,0.844617,0.501959,0.050936,5.921211,2.972203
9,arc,8.325393,9.173243,1.320651,2.013415,308,1.255614,47.526709,0.060422,35.066122,8.789159,1.773086,0.443542,0.038257,6.075355,2.694672
10,arc,9.173243,10.098668,2.013415,2.588372,326,1.020317,24.906316,0.038247,22.680455,9.655033,2.244036,0.418952,0.019099,5.036659,2.110119
11,arc,10.098668,11.043942,2.588372,2.818964,322,1.108367,-31.476662,0.06005,35.180344,10.566454,2.267182,0.420176,0.034482,5.793217,2.434172
12,arc,11.043942,12.715727,2.818964,1.5783,570,1.683504,-6.764562,0.138381,39.970505,11.817889,1.795904,0.613629,0.059698,6.165314,3.783216
13,arc,12.715727,14.1253,1.5783,-1.228434,433,1.690057,-33.484113,0.272235,54.735721,13.495234,0.558887,0.765542,0.125805,6.116661,4.682564
14,arc,14.1253,16.686953,-1.228434,-5.664555,321,5.512033,-62.306713,2.901524,61.216938,17.323463,-1.339082,3.370798,0.462564,2.378642,8.017923
