parameter,label,value
x_span,x_span,14.633086
z_span,z_span,12.635599
slot_width,槽口宽度代理值,11.645503
arc_radius_mean,圆弧半径中位数,4.430153
arc_radius_min,arc_radius_min,0.524266
arc_radius_max,arc_radius_max,40.827348
center_distance_mean,相邻圆心距离中位数,1.197813
arc_length_total,圆弧长度总和,26.952344
horizontal_line_length_total,水平线段长度总和,0.0
slant_line_length_total,斜线线段长度总和,0.854003
line_length_total,line_length_total,0.854003
slant_angle_deg,斜线与水平夹角中位数,18.044331
herringbone_height,人字形线高度代理值,4.092104
