segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,arc,0.0,0.890336,0.011123,-0.01483,328,0.890757,-1.761459,2.8e-05,0.052321,0.614933,5.506901,5.528096,1e-06,0.161263,0.891479
2,arc,0.890336,1.905257,-0.01483,0.127844,377,1.024557,7.863907,3.8e-05,0.063853,0.520579,6.401242,6.425724,1e-06,0.159673,1.026015
3,arc,1.905257,2.839374,0.127844,0.418479,350,0.978529,17.328503,3.7e-05,0.058547,0.551086,6.103067,6.127473,0.0,0.15983,0.979353
4,arc,2.839374,3.87898,0.418479,0.948685,393,1.167498,27.069296,7.4e-05,0.065167,0.321909,6.617279,6.69047,0.0,0.174626,1.168333
5,arc,3.87898,5.161707,0.948685,1.996942,491,1.652518,39.08371,0.00039,0.12161,0.313445,6.628471,6.70465,0.0,0.247676,1.660582
6,arc,5.161707,6.043811,1.996942,3.147526,344,1.447215,52.445302,0.000372,0.165074,0.296396,6.629712,6.717652,0.0,0.216196,1.452327
7,arc,6.043811,6.782562,3.147526,4.924552,298,1.88821,66.968059,0.003249,0.607949,0.684862,6.406399,6.269742,1e-06,0.307971,1.930899
8,arc,6.782562,7.545536,4.924552,5.565469,290,0.952725,36.790297,0.000465,0.456324,8.280261,3.789548,1.900129,6.3e-05,0.530028,1.007122
9,line,7.545536,8.386122,5.565469,6.092426,317,0.996152,32.452857,4e-06,0.06662,2.121706,15.013631,10.895973,9e-06,0.091068,0.992274
10,arc,8.386122,9.510168,6.092426,6.601469,421,1.267285,27.504925,0.001049,0.275666,9.755071,4.838046,1.808076,0.000251,0.691047,1.249465
11,arc,9.510168,10.436974,6.601469,4.982294,323,1.881178,-60.48356,5.3e-05,0.357458,-14.164038,-7.872383,27.744728,1e-05,0.067237,1.865464
12,arc,10.436974,11.378404,4.982294,5.067914,349,0.970601,14.082565,0.006069,0.77488,10.817878,5.247214,0.505904,0.001172,2.224298,1.12528
13,arc,11.378404,12.521301,5.067914,5.855422,432,1.310136,29.267121,0.013756,1.16681,12.248606,5.116739,0.823087,0.000589,1.980489,1.630116
14,arc,12.521301,14.435613,5.855422,-4.524206,500,13.661874,-81.945166,1.288852,6.353964,10.013136,-0.046939,5.845998,0.433551,2.018979,11.802945
