x,z_corrected
0.0,-0.098444
0.001906,-0.097414
0.003985,-0.096132
0.005949,-0.094692
0.008006,-0.092984
0.009965,-0.092704
0.012091,-0.092139
0.01406,-0.09124
0.015971,-0.090248
0.017997,-0.089461
0.020014,-0.088122
0.02203,-0.087205
0.023983,-0.086081
0.025894,-0.084448
0.028083,-0.083348
0.029958,-0.082103
0.031906,-0.080895
0.033921,-0.079841
0.035954,-0.078247
0.037928,-0.077501
0.039917,-0.076399
0.041761,-0.074834
0.043982,-0.073634
0.045919,-0.07247
0.047752,-0.07106
0.049783,-0.070158
0.051894,-0.068802
0.053785,-0.06709
0.055821,-0.066187
0.05767,-0.064897
0.059802,-0.063444
0.061833,-0.062374
0.063692,-0.060911
0.065682,-0.059858
0.067829,-0.058642
0.069668,-0.057165
0.071688,-0.056301
0.073605,-0.055093
0.075716,-0.053126
0.077747,-0.051954
0.079601,-0.050613
0.08157,-0.049928
0.083734,-0.048779
0.085593,-0.047213
0.087608,-0.046131
0.089551,-0.044956
0.091631,-0.043437
0.093647,-0.042536
0.095501,-0.041291
0.097438,-0.039857
0.099654,-0.038704
0.101528,-0.037194
0.103492,-0.036115
0.105466,-0.035005
0.107499,-0.033264
0.109509,-0.032279
0.111473,-0.031132
0.113285,-0.029662
0.115485,-0.028776
0.117454,-0.027527
0.119298,-0.025725
0.121345,-0.024533
0.123472,-0.023187
0.125352,-0.02213
0.127388,-0.021227
0.129432,-0.01983
0.13138,-0.018466
0.133395,-0.017432
0.13526,-0.016012
0.137398,-0.014703
0.139372,-0.013593
0.141283,-0.012038
0.143231,-0.010404
0.145348,-0.009164
0.147254,-0.007583
0.149249,-0.006451
0.151165,-0.005156
0.153282,-0.003684
0.155256,-0.002669
0.157173,-0.001374
0.159126,3.8e-05
0.161253,0.001138
0.163165,0.00264
0.165102,0.00371
0.167029,0.00496
0.169151,0.006875
0.171105,0.008171
0.173037,0.009576
0.17499,0.011037
0.177154,0.012211
0.179024,0.013282
0.180987,0.014065
0.182946,0.01523
0.185021,0.016945
0.186995,0.01822
0.188917,0.019418
0.190808,0.021085
0.193018,0.022268
0.19494,0.023563
0.196826,0.024851
0.198842,0.025752
0.200907,0.027203
0.202834,0.02854
0.204849,0.029551
0.20672,0.031001
0.208883,0.032485
0.210868,0.033551
0.212691,0.035095
0.214649,0.035841
0.216823,0.037138
0.218694,0.038796
0.220704,0.040546
0.222626,0.04168
0.224733,0.043232
0.226728,0.044132
0.228613,0.045425
0.230556,0.046884
0.232725,0.048037
0.234611,0.049546
0.236627,0.050803
0.238523,0.051942
0.240598,0.052959
0.242624,0.053934
0.244484,0.055329
0.246448,0.057077
0.248606,0.058206
0.250451,0.059712
0.252456,0.060884
0.254589,0.06223
0.256443,0.063942
0.258438,0.065027
0.260381,0.06624
0.262452,0.068204
0.264457,0.069373
0.266353,0.070666
0.268286,0.072398
0.270481,0.073457
0.272361,0.074908
0.274289,0.075985
0.276253,0.077036
0.278323,0.078665
0.280271,0.080491
0.282235,0.081692
0.284111,0.083263
0.286249,0.084824
0.288207,0.085967
0.290083,0.087597
0.292067,0.089158
0.294185,0.090471
0.296097,0.092038
0.298034,0.092934
0.299874,0.094224
0.30196,0.096337
0.303924,0.097847
0.305815,0.099541
0.307733,0.101838
0.309907,0.104007
0.311839,0.105521
0.313839,0.107207
0.315746,0.108028
0.317817,0.108704
0.319833,0.109699
0.321734,0.111044
0.323652,0.112847
0.325831,0.113948
0.327691,0.11529
0.329624,0.116842
0.331635,0.117937
0.333695,0.119631
0.335638,0.120916
0.337638,0.121999
0.33953,0.123508
0.341714,0.124909
0.343709,0.125996
0.345637,0.126707
0.347693,0.126977
0.349837,0.12718
0.351682,0.127705
0.353682,0.128605
0.355635,0.129816
0.357685,0.131778
0.359665,0.133042
0.361603,0.134252
0.363474,0.136015
0.365663,0.137572
0.367581,0.138913
0.369472,0.140719
0.371657,0.141822
0.373595,0.143118
0.375512,0.144939
0.377476,0.145871
0.379604,0.147187
0.381527,0.148666
0.383496,0.149657
0.385418,0.150906
0.387572,0.152373
0.389525,0.153475
0.391438,0.154836
0.393397,0.155769
0.395555,0.156998
0.397519,0.158542
0.399493,0.159302
0.401462,0.159996
0.403616,0.1608
0.405549,0.16145
0.407467,0.162268
0.409389,0.163384
0.411486,0.164838
0.413445,0.166386
0.415429,0.167956
0.417285,0.169429
0.419367,0.170224
0.421331,0.171349
0.423202,0.172906
0.425099,0.174986
0.427263,0.17725
0.42916,0.178762
0.431082,0.180822
0.433062,0.182389
0.435159,0.183978
0.437138,0.185497
0.439143,0.186584
0.441107,0.186798
0.443359,0.186575
0.445364,0.186689
0.447189,0.187077
0.449184,0.187825
0.451389,0.189124
0.453229,0.190767
0.455178,0.191512
0.457193,0.19264
0.459224,0.194381
0.461234,0.195676
0.463198,0.196776
0.465028,0.198272
0.467259,0.19916
0.469146,0.200363
0.471053,0.202119
0.473099,0.203306
0.475176,0.204758
0.477053,0.205651
0.479094,0.206626
0.480975,0.208023
0.483114,0.209882
0.485155,0.210894
0.48699,0.212027
0.488913,0.212697
0.491129,0.213897
0.49299,0.215526
0.494995,0.217305
0.497159,0.218497
0.49901,0.219394
0.501025,0.220219
0.502964,0.221425
0.505035,0.223378
0.507071,0.224281
0.508953,0.225527
0.510866,0.226745
0.513056,0.227793
0.514927,0.229189
0.516891,0.231065
0.518896,0.232149
0.520963,0.233736
0.522917,0.234481
0.524881,0.235581
0.526747,0.237148
0.528942,0.238625
0.53087,0.23986
0.532716,0.241394
0.534742,0.242296
0.536855,0.243698
0.538778,0.245432
0.540819,0.24637
0.54268,0.247661
0.54485,0.248389
0.546819,0.24942
0.54868,0.25087
0.550655,0.252024
0.552829,0.253333
0.554701,0.255084
0.55667,0.256098
0.558639,0.257253
0.560706,0.258966
0.56268,0.260051
0.564614,0.261226
0.566527,0.262835
0.568716,0.26421
0.570629,0.26551
0.572542,0.266645
0.574542,0.267612
0.576629,0.269122
0.578563,0.270384
0.580522,0.271429
0.582424,0.272896
0.584548,0.274678
0.586501,0.275814
0.588399,0.277373
0.590363,0.278921
0.592532,0.280229
0.594445,0.28169
0.596374,0.282508
0.598317,0.283626
0.600441,0.285319
0.602379,0.286854
0.604308,0.288092
0.606236,0.289546
0.608375,0.290922
0.610318,0.292305
0.612257,0.293807
0.614195,0.29497
0.616354,0.296224
0.618252,0.297546
0.620186,0.298514
0.622345,0.299706
0.624278,0.301248
0.626202,0.302737
0.628069,0.303797
0.630177,0.305257
0.63211,0.306594
0.634013,0.308307
0.635962,0.310606
0.638111,0.312484
0.640044,0.314153
0.641993,0.315332
0.643922,0.316473
0.646055,0.317947
0.648004,0.319034
0.649933,0.320406
0.651897,0.321629
0.654061,0.322883
0.655918,0.323844
0.657888,0.324666
0.659867,0.325791
0.66197,0.327482
0.663955,0.328737
0.665883,0.329878
0.667756,0.331084
0.66992,0.332052
0.671848,0.333353
0.673757,0.335119
0.675731,0.336753
0.677875,0.33821
0.679793,0.339765
0.681707,0.340725
0.683635,0.341845
0.685753,0.343466
0.687708,0.345241
0.689657,0.346829
0.691555,0.34822
0.693673,0.349322
0.695653,0.350467
0.697551,0.352098
0.699316,0.353536
0.701445,0.354631
0.703434,0.355931
0.70521,0.357836
0.707078,0.360593
0.709319,0.362666
0.711145,0.364356
0.713028,0.366744
0.715084,0.368954
0.717152,0.370522
0.71908,0.372675
0.721131,0.373688
0.723045,0.375112
0.72525,0.375978
0.727224,0.37666
0.729072,0.377144
0.731097,0.377931
0.733216,0.379201
0.735114,0.380675
0.73715,0.381612
0.739038,0.382905
0.741217,0.384106
0.743212,0.385154
0.745131,0.386208
0.747326,0.387019
0.749229,0.388095
0.751015,0.388646
0.752985,0.389544
0.755098,0.390998
0.756925,0.392948
0.758925,0.39577
0.760849,0.397517
0.762922,0.399601
0.764942,0.401594
0.766846,0.402934
0.768734,0.404429
0.770924,0.405477
0.772817,0.406857
0.774731,0.408743
0.776736,0.409894
0.778824,0.411404
0.780743,0.41285
0.782738,0.413883
0.784636,0.415335
0.78678,0.416879
0.78878,0.417947
0.790658,0.419369
0.792597,0.420127
0.794828,0.419973
0.796818,0.419502
0.798985,0.419392
0.800904,0.41959
0.802952,0.420187
0.805018,0.421128
0.806875,0.42247
0.808774,0.424212
0.810999,0.425318
0.812862,0.426826
0.814832,0.428581
0.816827,0.429668
0.818905,0.431329
0.820935,0.432155
0.82289,0.433298
0.824778,0.433845
0.826958,0.434813
0.828861,0.436061
0.830785,0.4379
0.832734,0.438966
0.834802,0.440534
0.836747,0.442416
0.838686,0.443625
0.840559,0.445197
0.842718,0.447137
0.844668,0.448439
0.846566,0.4501
0.848561,0.451467
0.850675,0.452828
0.852619,0.454198
0.854609,0.455165
0.856508,0.456509
0.858667,0.45747
0.860607,0.458534
0.862515,0.460104
0.86469,0.461296
0.866609,0.462591
0.868558,0.463956
0.870548,0.464989
0.872682,0.466309
0.874708,0.466939
0.876697,0.467104
0.878662,0.467568
0.880897,0.467729
0.882857,0.467924
0.884801,0.468421
0.886776,0.469282
0.88889,0.470597
0.890854,0.47133
0.892834,0.472353
0.894743,0.4735
0.896892,0.474383
0.898842,0.475481
0.900756,0.476992
0.90272,0.47815
0.904834,0.47943
0.906758,0.480882
0.908713,0.481932
0.910657,0.483274
0.912801,0.485099
0.914761,0.486089
0.91665,0.487273
0.918624,0.48806
0.920769,0.489356
0.922683,0.490945
0.924688,0.491918
0.926592,0.49309
0.928685,0.494049
0.93068,0.495049
0.932584,0.496447
0.934544,0.498288
0.936714,0.499403
0.938602,0.500702
0.940552,0.501522
0.942511,0.502666
0.94462,0.504426
0.94655,0.505861
0.948499,0.507037
0.950433,0.508525
0.952588,0.510201
0.954578,0.511385
0.956553,0.512295
0.958512,0.512824
0.960687,0.513578
0.962677,0.514173
0.964596,0.514601
0.966556,0.515318
0.9687,0.516489
0.970629,0.517845
0.972554,0.518775
0.974458,0.520023
0.976415,0.521531
0.978279,0.523097
0.980229,0.524571
0.982047,0.526461
0.984126,0.529312
0.986111,0.533273
0.987959,0.534965
0.990079,0.537556
0.992058,0.539701
0.993917,0.541267
0.995892,0.543396
0.998057,0.544657
0.999946,0.546354
1.001991,0.547436
1.003961,0.548246
1.00608,0.548773
1.008106,0.549637
1.010035,0.550624
1.011969,0.551196
1.014144,0.552203
1.016089,0.553546
1.018033,0.554674
1.019968,0.555687
1.022107,0.556894
1.024042,0.558136
1.025906,0.55951
1.027856,0.560627
1.03,0.561985
1.031884,0.563697
1.033879,0.565434
1.035859,0.566612
1.037948,0.568024
1.039943,0.568847
1.041928,0.570022
1.043848,0.570816
1.046043,0.571701
1.048007,0.57291
1.049932,0.573435
1.051922,0.574258
1.054031,0.575505
1.055956,0.576325
1.057931,0.577296
1.059815,0.578693
1.061985,0.580198
1.063934,0.581334
1.065839,0.582893
1.067834,0.583962
1.069913,0.585272
1.071817,0.586537
1.073817,0.587554
1.075732,0.5889
1.077862,0.590907
1.079851,0.591906
1.081756,0.593287
1.083691,0.594353
1.085845,0.595525
1.08776,0.597036
1.089705,0.598475
1.091664,0.599646
1.093799,0.601188
1.095724,0.602444
1.097633,0.603518
1.099538,0.604797
1.101667,0.606313
1.103607,0.607948
1.105537,0.609845
1.107502,0.611398
1.109616,0.612864
1.111556,0.614041
1.113571,0.615095
1.115691,0.616197
1.117616,0.616796
1.11955,0.617758
1.121455,0.619104
1.12359,0.621139
1.125534,0.622504
1.127424,0.623969
1.129364,0.62564
1.131529,0.626894
1.133388,0.628523
1.135348,0.629899
1.137343,0.631037
1.139413,0.63278
1.141368,0.6339
1.143302,0.635008
1.145192,0.636566
1.147372,0.638392
1.149302,0.639688
1.151201,0.64145
1.153166,0.642353
1.155301,0.643849
1.157191,0.645703
1.159081,0.646788
1.161046,0.648121
1.16315,0.649837
1.16506,0.651863
1.16706,0.653417
1.16899,0.654764
1.17112,0.656242
1.173135,0.65721
1.175035,0.658264
1.177,0.658937
1.17923,0.660094
1.18116,0.660658
1.18315,0.661321
1.18516,0.662061
1.187295,0.662479
1.18923,0.663164
1.191154,0.664177
1.193099,0.66534
1.195239,0.666808
1.197139,0.668387
1.199074,0.669493
1.201029,0.670645
1.203154,0.672406
1.205129,0.674125
1.207059,0.675245
1.208839,0.676179
1.210859,0.677147
1.212859,0.678494
1.214719,0.680329
1.216569,0.682777
1.218759,0.686718
1.220594,0.688225
1.222419,0.69033
1.224414,0.692595
1.226504,0.694227
