parameter,label,value
x_span,x_span,16.686953
z_span,z_span,14.643482
slot_width,槽口宽度代理值,14.002957
arc_radius_mean,圆弧半径中位数,7.491672
arc_radius_min,arc_radius_min,6.986378
arc_radius_max,arc_radius_max,7.999478
center_distance_mean,相邻圆心距离中位数,1.076689
arc_length_total,圆弧长度总和,33.186135
horizontal_line_length_total,水平线段长度总和,1.007106
slant_line_length_total,斜线线段长度总和,4.351462
line_length_total,line_length_total,5.358568
slant_angle_deg,斜线与水平夹角中位数,55.958764
herringbone_height,人字形线高度代理值,5.721125
