segment_id,kind,start_x,end_x,start_z,end_z,point_count,line_length,line_angle_deg,line_mse,slope_std,circle_center_x,circle_center_z,circle_radius,circle_mse,arc_angle_rad,arc_length
1,line,0.0,1.584975,-0.04957,0.441805,518,1.655852,16.824377,1e-05,0.079238,1.470055,-2.048738,2.388933,0.001821,0.680158,1.624852
2,line,1.584975,2.514629,0.441805,-0.018967,289,1.053095,-28.020212,3.2e-05,0.144986,4.006638,3.899173,4.180083,7.3e-05,0.247176,1.033217
3,arc,2.514629,3.941514,-0.018967,-0.476875,448,1.498389,-17.771837,0.000195,0.078333,5.151007,5.73225,6.32441,1e-06,0.237437,1.501646
4,arc,3.941514,5.551009,-0.476875,-0.564112,514,1.611943,-3.158336,0.000312,0.085272,5.049873,4.94414,5.52996,0.0,0.292406,1.616993
5,arc,5.551009,6.548826,-0.564112,-0.367208,324,1.017018,11.151084,5.9e-05,0.059025,5.058717,4.555698,5.141917,0.0,0.198062,1.01842
6,arc,6.548826,7.70533,-0.367208,0.164791,381,1.272023,24.607064,0.000213,0.097509,5.227719,4.029664,4.589352,0.0,0.27818,1.276668
7,arc,7.70533,9.269909,0.164791,1.918388,532,2.31135,47.397268,0.004786,0.366689,5.284798,3.89787,4.448326,0.0,0.534526,2.377747
8,arc,9.269909,10.344449,1.918388,3.065908,362,1.489455,43.827204,0.020234,1.002478,10.35457,2.029241,1.004812,0.000657,1.66288,1.670881
9,line,10.344449,11.251068,3.065908,3.331715,294,0.949607,17.305586,5e-06,0.075866,9.610421,7.008583,4.001653,6.7e-05,0.235628,0.942902
10,arc,11.251068,12.390208,3.331715,3.375133,365,1.153157,8.942457,0.00198,0.502951,11.970146,2.484842,1.054094,0.000482,1.144825,1.206753
11,arc,12.390208,14.178501,3.375133,1.399716,541,2.769231,-49.776381,0.090636,1.204079,13.97334,2.652451,1.375863,0.018066,2.161362,2.973739
12,arc,14.178501,15.256929,1.399716,1.854095,352,1.122131,16.043373,0.011705,1.166536,14.825749,1.38598,0.626694,0.0005,2.293926,1.43759
13,arc,15.256929,16.562987,1.854095,-4.627274,292,7.530388,-80.01221,0.617065,5.801665,6.571699,-3.075851,9.963816,0.006295,0.670357,6.679309
