x,z_corrected
0.0,-0.051295
0.001871,-0.050762
0.003917,-0.049917
0.005806,-0.048835
0.007812,-0.04757
0.009849,-0.046093
0.01192,-0.046205
0.013908,-0.045962
0.015834,-0.045525
0.018034,-0.045156
0.019868,-0.044822
0.021923,-0.044554
0.023807,-0.043836
0.025853,-0.0431
0.027933,-0.042681
0.029816,-0.041779
0.031905,-0.041419
0.033967,-0.040996
0.035813,-0.040088
0.037746,-0.039844
0.039946,-0.03927
0.041792,-0.038276
0.043786,-0.037857
0.045706,-0.037236
0.047765,-0.035998
0.049752,-0.035511
0.051672,-0.034703
0.053805,-0.033476
0.055774,-0.032985
0.05767,-0.032219
0.059651,-0.03198
0.061765,-0.031304
0.063667,-0.030759
0.065636,-0.030326
0.067756,-0.029461
0.06967,-0.028627
0.071652,-0.028164
0.073548,-0.027305
0.075668,-0.026835
0.077668,-0.026285
0.079539,-0.025364
0.081677,-0.025132
0.083665,-0.024585
0.08553,-0.023608
0.087499,-0.023309
0.089656,-0.022641
0.091546,-0.021747
0.093558,-0.021471
0.095654,-0.020659
0.097556,-0.020293
0.099525,-0.019871
0.101421,-0.019012
0.103584,-0.017896
0.105553,-0.01733
0.107449,-0.016838
0.109431,-0.016556
0.111539,-0.015822
0.113434,-0.015305
0.115428,-0.014876
0.117518,-0.014006
0.11945,-0.013225
0.121444,-0.012715
0.123358,-0.011906
0.12546,-0.011606
0.127417,-0.011106
0.129344,-0.010213
0.131476,-0.009265
0.133433,-0.008765
0.135335,-0.007935
0.137274,-0.007648
0.139425,-0.006997
0.141327,-0.006023
0.143272,-0.005535
0.145398,-0.004859
0.147319,-0.003833
0.149276,-0.003383
0.151184,-0.002695
0.153316,-0.001962
0.155261,-0.001377
0.157206,-0.000465
0.159351,8e-05
0.161259,0.000669
0.163167,0.001075
0.165137,0.001626
0.167239,0.002586
0.169208,0.00334
0.171141,0.003882
0.173,0.004419
0.175175,0.004814
0.177102,0.005621
0.178998,0.006898
0.181173,0.007352
0.183069,0.008164
0.184996,0.008941
0.186965,0.009463
0.189067,0.0105
0.191043,0.010984
0.192981,0.011599
0.195065,0.012148
0.197035,0.012547
0.198955,0.013268
0.200863,0.014257
0.202996,0.014714
0.204886,0.015527
0.206819,0.016665
0.208976,0.017399
0.21089,0.018426
0.212847,0.018894
0.214823,0.019459
0.216919,0.020056
0.218888,0.020303
0.220827,0.020875
0.222911,0.021577
0.22488,0.021975
0.226801,0.022661
0.228727,0.023615
0.230903,0.024135
0.232811,0.024945
0.234744,0.025278
0.236914,0.025843
0.238816,0.026755
0.240755,0.027008
0.242706,0.027593
0.244832,0.028566
0.246784,0.029151
0.24871,0.029727
0.250625,0.030265
0.252776,0.030836
0.254709,0.031583
0.256635,0.03233
0.258737,0.032913
0.260676,0.033566
0.262621,0.034363
0.26453,0.035302
0.266675,0.035838
0.268614,0.036521
0.270553,0.037379
0.272698,0.037902
0.274594,0.038511
0.276545,0.038874
0.278484,0.039503
0.280556,0.040578
0.282489,0.041047
0.284403,0.041769
0.286481,0.043101
0.288451,0.044059
0.290408,0.044906
0.292335,0.046036
0.294535,0.046285
0.29651,0.046032
0.298327,0.045992
0.300497,0.046325
0.302472,0.046997
0.304381,0.048211
0.306417,0.049063
0.308544,0.049123
0.31052,0.049169
0.312569,0.049025
0.314483,0.048804
0.31661,0.048944
0.31858,0.049436
0.320494,0.050291
0.322664,0.050759
0.324633,0.05134
0.326566,0.05153
0.328566,0.051809
0.330662,0.052053
0.332595,0.052233
0.334601,0.052741
0.336722,0.053403
0.338698,0.053561
0.340612,0.054069
0.342539,0.054374
0.344721,0.054894
0.346617,0.055752
0.348562,0.056017
0.350708,0.056643
0.352604,0.057573
0.354586,0.057931
0.356531,0.058613
0.358615,0.05923
0.360591,0.059627
0.362511,0.060313
0.364626,0.061231
0.366632,0.061689
0.368547,0.062409
0.370456,0.062557
0.372607,0.063017
0.374534,0.063867
0.376497,0.064763
0.378467,0.065313
0.380563,0.065672
0.382502,0.065962
0.384447,0.066534
0.386556,0.067569
0.388514,0.068206
0.390477,0.06881
0.392398,0.069327
0.394555,0.069705
0.396488,0.070315
0.398397,0.070817
0.400579,0.071304
0.40253,0.072048
0.404439,0.07235
0.406384,0.072753
0.40848,0.073445
0.410444,0.07434
0.412438,0.074923
0.414583,0.075335
0.416504,0.075447
0.418467,0.075847
0.420376,0.076461
0.422461,0.077031
0.424424,0.077547
0.426327,0.078358
0.428442,0.079646
0.430417,0.08018
0.432326,0.081041
0.43429,0.081631
0.436471,0.082252
0.438374,0.082556
0.440337,0.082774
0.442465,0.083424
0.444385,0.084028
0.446367,0.084424
0.448264,0.08515
0.450415,0.085662
0.452367,0.086222
0.454263,0.087048
0.456251,0.087367
0.458366,0.088142
0.460257,0.088632
0.462238,0.089064
0.464353,0.089973
0.466274,0.09079
0.468256,0.09122
0.470183,0.091981
0.472286,0.092451
0.47428,0.092911
0.476195,0.09372
0.478304,0.094188
0.480279,0.094708
0.482164,0.095609
0.484085,0.096134
0.486249,0.096735
0.488157,0.097763
0.490127,0.098512
0.492297,0.099135
0.494187,0.099396
0.496115,0.099651
0.498078,0.100253
0.500163,0.101342
0.502132,0.102
0.504072,0.102661
0.506162,0.103501
0.508138,0.103861
0.510065,0.104639
0.511999,0.105407
0.514156,0.10593
0.516071,0.106739
0.51801,0.10711
0.51995,0.107682
0.522071,0.108665
0.524028,0.109158
0.525962,0.109812
0.528095,0.110408
0.530046,0.110946
0.531949,0.111561
0.533889,0.112019
0.536028,0.112682
0.537931,0.113665
0.539907,0.114187
0.542046,0.114916
0.543967,0.115409
0.545919,0.115783
0.547834,0.116509
0.549967,0.117301
0.551937,0.117882
0.553858,0.118733
0.556004,0.118996
0.557949,0.11955
0.559852,0.120251
0.561816,0.120612
0.563943,0.12133
0.565852,0.12213
0.567816,0.122502
0.569925,0.12334
0.571852,0.124113
0.573804,0.124588
0.575719,0.125483
0.577852,0.126267
0.579785,0.126893
0.581707,0.127807
0.583652,0.128377
0.58578,0.129118
0.587725,0.129879
0.589671,0.130444
0.591792,0.131144
0.593737,0.13157
0.595653,0.132158
0.597574,0.132828
0.599719,0.133474
0.601647,0.134357
0.60358,0.135144
0.605701,0.135725
0.607599,0.136498
0.609532,0.137166
0.611484,0.137817
0.613593,0.139064
0.615532,0.13972
0.617472,0.140338
0.619593,0.141309
0.621551,0.14187
0.623496,0.142483
0.62543,0.14295
0.627569,0.143383
0.629515,0.144064
0.631454,0.144639
0.633582,0.145162
0.635557,0.145652
0.637509,0.14632
0.639437,0.146456
0.641612,0.146789
0.643522,0.147476
0.645431,0.147654
0.647389,0.148147
0.649516,0.149058
0.651462,0.150034
0.653407,0.150591
0.655541,0.151227
0.657498,0.151705
0.659462,0.152184
0.661365,0.152601
0.663475,0.152886
0.665445,0.153471
0.667354,0.154417
0.669463,0.155165
0.671397,0.155693
0.673276,0.156595
0.675203,0.157601
0.677313,0.158381
0.679216,0.159565
0.681198,0.160613
0.683265,0.161574
0.68515,0.162271
0.687126,0.162816
0.689024,0.163742
0.691145,0.165361
0.693169,0.165875
0.695018,0.166514
0.697092,0.166703
0.699116,0.167224
0.700971,0.168173
0.702965,0.169431
0.705171,0.170046
0.707074,0.170149
0.709153,0.170193
0.711256,0.169937
0.71319,0.170046
0.715262,0.170469
0.717027,0.170306
0.7191,0.170495
0.721142,0.171028
0.722901,0.172082
0.724847,0.173723
0.727095,0.174832
0.728884,0.176002
0.730902,0.176972
0.73306,0.177632
0.734963,0.178603
0.737006,0.178912
0.738837,0.179437
0.741006,0.179688
0.743,0.18025
0.744904,0.181163
0.747213,0.180837
0.74914,0.180494
0.751219,0.179916
0.753146,0.179664
0.755244,0.179743
0.757238,0.180137
0.759117,0.180906
0.761275,0.181657
0.763251,0.182225
0.765112,0.182958
0.767106,0.183276
0.769276,0.184006
0.77118,0.184661
0.773137,0.18499
0.775241,0.185659
0.777139,0.18651
0.779102,0.187045
0.781036,0.187822
0.783158,0.188999
0.785146,0.189486
0.78714,0.189952
0.789049,0.189861
0.791207,0.190108
0.793177,0.190674
0.795105,0.191087
0.797281,0.191405
0.799226,0.192019
0.801112,0.192149
0.80307,0.19255
0.805204,0.193325
0.807095,0.194375
0.809017,0.194817
