parameter,label,value
x_span,x_span,14.510405
z_span,z_span,11.394011
slot_width,槽口宽度代理值,11.685934
arc_radius_mean,圆弧半径中位数,4.554945
arc_radius_min,arc_radius_min,0.530013
arc_radius_max,arc_radius_max,42.302788
center_distance_mean,相邻圆心距离中位数,1.029573
arc_length_total,圆弧长度总和,25.603835
horizontal_line_length_total,水平线段长度总和,0.0
slant_line_length_total,斜线线段长度总和,0.904667
line_length_total,line_length_total,0.904667
slant_angle_deg,斜线与水平夹角中位数,17.463998
herringbone_height,人字形线高度代理值,4.042958
