x,z_corrected
0.0,0.165917
0.0,-0.784273
0.0,0.34863
0.0,-3.526567
0.0,-0.024125
0.0,-2.601208
0.008575,0.343343
0.0088,-3.528265
0.00884,-2.52352
0.008958,-0.021266
0.009124,-0.705577
0.009849,-0.444335
0.009965,-2.595468
0.017834,-3.530034
0.018072,-0.71067
0.018146,0.170744
0.019117,-2.517166
0.019469,-0.095799
0.020014,-2.590887
0.026332,0.33119
0.026832,0.173704
0.027229,-0.715705
0.028196,-0.016203
0.029206,-0.094141
0.029816,-0.440021
0.03514,0.325525
0.03592,-0.802771
0.036074,0.175875
0.03788,-0.013651
0.03805,-2.504789
0.039917,-2.579164
0.044123,0.319912
0.044369,-3.531479
0.045269,0.177251
0.045324,-0.725449
0.047753,-2.498413
0.049752,-0.433753
0.049783,-2.572922
0.0533,-3.5316
0.054062,-0.812414
0.054472,-0.730653
0.057481,-2.491712
0.058297,-0.08748
0.059851,-0.430181
0.061556,0.30881
0.063025,-0.816917
0.063428,0.180794
0.066564,-0.006496
0.068029,-0.086016
0.069668,-2.55993
0.070504,0.30294
0.072199,-0.821676
0.072404,0.181785
0.076092,-0.004534
0.076425,-2.478672
0.079288,0.297205
0.079601,-2.553377
0.079873,-3.533368
0.081393,0.18435
0.081784,-0.746113
0.086092,-2.472939
0.088046,0.291676
0.088813,-3.53442
0.089735,-2.54758
0.090027,-0.830209
0.090645,-0.750198
0.095667,-2.465939
0.096946,0.286651
0.097702,-3.535101
0.099196,-0.834793
0.099525,-0.418113
0.099802,-0.755158
0.104588,0.002765
0.105689,0.281018
0.106539,-3.535561
0.10813,-0.838947
0.108754,-0.761092
0.109509,-2.535044
0.114072,0.005006
0.114458,0.27524
0.115419,-3.536408
0.117064,-0.843717
0.117561,0.19465
0.11945,-0.411467
0.119492,-2.528287
0.123551,0.007582
0.124317,-3.536626
0.126232,-0.848408
0.126702,0.193859
0.127041,-0.769545
0.129538,-0.40835
0.133173,-3.537515
0.133255,0.010453
0.135201,-0.85301
0.135722,0.196921
0.136218,-0.070535
0.139425,-0.405239
0.140825,0.25852
0.142754,0.012263
0.143437,-2.432192
0.144856,0.199727
0.14591,-0.068309
0.149249,-2.509216
0.149819,0.252703
0.150961,-3.538825
0.153202,-2.426065
0.153973,0.201116
0.154276,-0.785915
0.158578,0.247196
0.159321,-2.502647
0.159775,-3.539344
0.162293,-0.867085
0.162649,-2.419265
0.163279,-0.789893
0.165448,-0.065843
0.168663,-3.540347
0.169208,-0.394902
0.171277,0.018476
0.172297,-2.413516
0.172326,0.199412
0.175151,-0.063361
0.177576,-3.540823
0.179024,-2.489483
0.180311,-0.875891
0.180756,0.020917
0.181461,0.201322
0.184879,-0.061766
0.18498,0.230618
0.189067,-0.387742
0.189107,-2.483199
0.190336,0.022601
0.190493,0.203206
0.191026,-2.39947
0.194573,-0.059348
0.195112,-3.543157
0.199042,-2.476904
0.199626,-0.809048
0.199688,0.204375
0.200592,-2.387927
0.202653,0.21987
0.204236,-0.056258
0.208541,-0.812922
0.208707,0.204871
0.208976,-0.380843
0.209305,0.027412
0.211353,0.214531
0.213955,-0.053934
0.216193,-0.892176
0.217731,-0.818549
0.21881,0.029838
0.219082,-0.377893
0.220307,0.209256
0.221863,-3.54619
0.225328,-0.895773
0.226624,-0.822286
0.22844,0.032716
0.228921,-0.374596
0.229026,0.204349
0.230761,-3.547403
0.233312,-0.04841
0.23574,-0.827322
0.23774,0.19893
0.237946,0.035433
0.238816,-0.371487
0.239118,-2.367581
0.243022,-0.045687
0.244879,-0.831408
0.245134,0.212243
0.247481,0.038836
0.24845,-3.546895
0.248606,-2.444559
0.252281,-0.90884
0.252696,-0.043918
0.253991,0.213679
0.255334,0.190056
0.257283,-3.5471
0.258643,-2.437629
0.258737,-0.365329
0.26258,-0.040792
0.262957,-0.84149
0.264093,0.18376
0.266796,0.036316
