code,meter_no,meter_name,level,child_count,parent_usage_m3,child_usage_m3,residual_m3,loss_volume_m3,loss_rate,child_codes,function_zone,caliber_mm
416X,3620300500,校医院南+,1,1,24145.4,2034.36,22111.04,22111.04,0.915745,41601X,办公服务区,100.0
40405T,3320100600,XXX第八学生宿舍,2,1,9416.71,1683.12,7733.59,7733.59,0.821262,4040501T,宿舍生活区,50.0
41601X,3290100100,XXX校医院,2,1,2034.36,420.63,1613.73,1613.73,0.793237,4160101T,办公服务区,50.0
4033501T,3320100300,XXX第三学生宿舍,3,1,11512.09,2963.81,8548.28,8548.28,0.742548,403350101T,宿舍生活区,80.0
40337X,3620301400,区域4+,2,4,109700.91,30212.47,79488.44,79488.44,0.724592,4033726T;4033725T;4033723T;4033720T,其他区域,150.0
4033502T,3320100400,XXX第四学生宿舍,3,2,18459.58,5804.05,12655.53,12655.53,0.685581,403350202T;403350201T,宿舍生活区,80.0
4033503T,3320100500,XXX第五学生宿舍,3,1,18745.84,5983.49,12762.35,12762.35,0.68081,403350301T,宿舍生活区,80.0
40134X,3000000001,区域2,2,6,16256.67,8087.28,8169.39,8169.39,0.502525,4013407X;4013406T;4013404T;4013403T;4013402T;4013401T,其他区域,150.0
40135X,3315400100,XXX国际纳米研究所,2,2,1075.85,661.53,414.32,414.32,0.385109,4013502T;4013501T,教学科研区,50.0
40335X,3620300400,区域3+,2,4,57152.87,50616.09,6536.78,6536.78,0.114374,4033506T;4033503T;4033502T;4033501T,其他区域,150.0
401X,3620300200,养殖队6721副表+,1,18,50620.96,49399.66,1221.3,1221.3,0.024126,40136T;40135X;40134X;40133X;40126T;40124T;40123T;40122T;40121T;40120T;40119T;40118T;40117T;40116T;40115T;40106T;40105T;4010401T,绿化试验区,100.0
40511X,3210100200,XXX成教院XXX分院,2,1,1641.71,1604.06,37.65,37.65,0.022933,4051101T,其他区域,50.0
405X,3620300100,XXX花圃+,1,9,47339.14,81012.0,-33672.86,0.0,0.0,40511X;40509T;40508T;40507T;40506T;40504T;40503T;40502T;40501T,绿化试验区,150.0
403X,3620300300,64397副表,1,13,185988.92,201853.83,-15864.91,0.0,0.0,40338T;40337X;40336T;40335X;40334T;40333T;40331T;40325T;40321T;40318T;40316T;40315T;40313T,其他区域,200.0
40133X,3000000000,区域1（西）,2,5,15883.15,19867.41,-3984.26,0.0,0.0,4013308T;4013307T;4013305T;4013304T;4013303T,其他区域,150.0
