function_zone,quarter,total_usage_m3,meter_count
公共设施区,一季度,2175.15,4
公共设施区,三季度,1977.96,4
公共设施区,二季度,1720.45,4
公共设施区,四季度,1992.2,4
其他区域,一季度,78183.54,31
其他区域,三季度,162632.77,31
其他区域,二季度,126364.45,31
其他区域,四季度,126637.85,31
办公服务区,一季度,6615.9,10
办公服务区,三季度,8563.73,10
办公服务区,二季度,6769.25,10
办公服务区,四季度,7782.31,10
宿舍生活区,一季度,27943.54,17
宿舍生活区,三季度,35645.06,17
宿舍生活区,二季度,35771.63,17
宿舍生活区,四季度,32762.51,17
教学科研区,一季度,6479.99,13
教学科研区,三季度,9494.39,13
教学科研区,二季度,10494.95,13
教学科研区,四季度,10430.11,13
绿化试验区,一季度,16664.85,11
绿化试验区,三季度,31037.0,11
绿化试验区,二季度,28548.16,11
绿化试验区,四季度,29833.12,11
食堂餐饮区,一季度,9044.08,5
食堂餐饮区,三季度,19043.9,5
食堂餐饮区,二季度,15850.55,5
食堂餐饮区,四季度,17216.88,5
