meter_no,meter_name,function_zone,record_count,total_usage_m3,mean_interval_usage_m3,max_interval_usage_m3,observed_days,night_usage_m3,night_mean_interval_m3,night_active_interval_share,一季度,三季度,二季度,四季度,night_usage_share
0,司法鉴定中心,办公服务区,35039,211.92,0.006048,0.3,365,22.84,0.003129,0.297438,54.77,46.31,60.67,50.17,0.107777
183671860,XXX8舍热泵,宿舍生活区,35039,1683.12,0.048036,1.44,365,471.78,0.064636,0.481847,422.79,372.46,422.56,465.31,0.280301
1836718625,XXX4舍热泵热水,宿舍生活区,34126,5745.42,0.168359,1.77,356,366.82,0.051665,0.23338,1437.65,1140.23,1567.25,1600.29,0.063846
1836718629,XXX5舍热泵热水,宿舍生活区,35039,5983.49,0.170767,1.71,365,3380.11,0.463092,0.619126,1531.41,1349.08,1457.9,1645.1,0.564906
1836718633,XXX3舍热泵热水,宿舍生活区,35039,2963.81,0.084586,1.96,365,911.66,0.124902,0.347034,758.39,633.76,731.04,840.62,0.307597
3000000000,区域1（西）,其他区域,35039,15883.15,0.453299,26.7,365,1369.54,0.187634,0.704617,2551.51,4641.11,3777.05,4913.48,0.086226
3000000001,区域2,其他区域,35039,16256.67,0.463959,164.0,365,920.09,0.126057,0.517057,2809.62,4479.87,4179.73,4787.45,0.056598
3030100100,XXX体育馆,其他区域,32619,2009.94,0.061619,41.3,341,296.63,0.043628,0.136785,312.13,476.59,678.76,542.46,0.147582
3030100101,体育馆网球场值班室,其他区域,26104,25.17,0.000964,0.15,282,0.02,4e-06,0.00036,0.28,14.86,6.44,3.59,0.000795
3030100102,物业,办公服务区,25003,282.41,0.011295,0.6,282,4.03,0.000727,0.029757,6.13,94.69,96.0,85.59,0.01427
3160100100,XXX种子楼,其他区域,35039,1094.66,0.031241,1.9,365,74.77,0.010244,0.223866,377.52,292.23,216.34,208.57,0.068304
3160200300,XXX第一食堂,食堂餐饮区,35039,3022.78,0.086269,1.9,365,113.79,0.01559,0.200849,0.0,762.1,38.54,2222.14,0.037644
3160300300,XXX植物园,绿化试验区,35039,74.4,0.002123,1.1,365,2.93,0.000401,0.040142,12.47,8.96,20.89,32.08,0.039382
3161100100,XXX毒物研究所,教学科研区,30799,229.71,0.007458,0.5,321,46.57,0.007255,0.04658,18.98,201.58,9.15,0.0,0.202734
3170100600,XXX西大楼,教学科研区,35039,10443.19,0.298045,4.7,365,289.37,0.039645,0.203864,1361.98,3172.87,3190.6,2717.74,0.027709
3170200100,XXX中心水池,办公服务区,35039,27.2,0.000776,3.9,365,0.0,0.0,0.0,0.0,0.3,24.6,2.3,0.0
3180700100,XXX污水处理,公共设施区,34126,1167.85,0.034222,2.1,356,160.14,0.022555,0.260141,297.1,369.6,136.79,364.36,0.137124
3200200100,XXXK楼,其他区域,35039,733.19,0.020925,0.8,365,118.11,0.016182,0.331826,169.5,246.68,179.26,137.75,0.161091
3210100100,XXX干训楼,其他区域,35039,12387.07,0.353522,5.3,365,695.2,0.095246,0.563776,1580.96,3980.18,3778.76,3047.17,0.056123
3210100200,XXX成教院XXX分院,其他区域,35039,1641.71,0.046854,0.9,365,136.77,0.018738,0.19989,404.13,412.32,453.68,371.58,0.083309
3280100100,XXX图书馆,教学科研区,35039,2970.31,0.084772,25.3,365,277.52,0.038022,0.263872,480.53,518.04,778.39,1193.35,0.093431
3290100100,XXX校医院,办公服务区,35039,2034.36,0.05806,1.6,365,85.86,0.011763,0.172215,449.14,504.34,498.71,582.17,0.042205
3290100300,XXXT馆后平房,其他区域,35039,2278.5,0.065028,0.8,365,320.93,0.043969,0.364296,288.61,779.62,526.78,683.49,0.140851
3312800100,XXXS宾馆,食堂餐饮区,33211,18026.17,0.542777,27.09,347,1941.68,0.28063,0.756468,2764.89,6141.01,4985.37,4134.9,0.107715
3313200200,XXXS馆,其他区域,35039,36937.0,1.054168,3.58,365,7553.64,1.034887,0.642691,146.18,4809.06,363.2,31618.56,0.204501
3313800500,XXXL馆,其他区域,35039,1929.4,0.055064,0.6,365,244.56,0.033506,0.351555,241.4,647.48,469.73,570.79,0.126754
3315400100,XXX国际纳米研究所,教学科研区,35039,1075.85,0.030704,1.5,365,87.78,0.012026,0.267708,230.12,257.09,299.42,289.22,0.081591
3315400200,XXXM馆,其他区域,35039,173.36,0.004948,0.7,365,7.72,0.001058,0.055624,0.5,2.55,0.9,169.41,0.044532
3320100100,XXX第一学生宿舍,宿舍生活区,35039,15233.09,0.434747,101.5,365,2151.21,0.294727,0.94739,2454.86,4315.04,4330.32,4132.87,0.14122
3320100200,XXX第二学生宿舍,宿舍生活区,35039,10203.36,0.2912,5.2,365,2066.19,0.283079,0.747363,2348.24,3454.78,3344.08,1056.26,0.202501
3320100300,XXX第三学生宿舍,宿舍生活区,35039,11512.09,0.328551,2.9,365,1801.55,0.246821,0.620222,2475.19,2926.73,3033.49,3076.68,0.156492
3320100400,XXX第四学生宿舍,宿舍生活区,35039,18459.58,0.52683,5.3,365,1925.33,0.26378,0.522263,4089.85,4621.28,4822.12,4926.33,0.1043
3320100500,XXX第五学生宿舍,宿舍生活区,35039,18745.84,0.534999,3.25,365,4587.77,0.628548,0.974791,4200.22,4816.6,4931.78,4797.24,0.244735
3320100600,XXX第八学生宿舍,宿舍生活区,35039,9416.71,0.268749,3.4,365,1336.76,0.183143,0.466365,1840.2,2603.94,2371.79,2600.78,0.141956
3320100700,XXX第七学生宿舍,宿舍生活区,35039,7388.59,0.210868,2.5,365,1242.43,0.170219,0.433621,1614.57,2007.15,1987.54,1779.33,0.168155
3320100800,XXX第九学生宿舍,宿舍生活区,35039,6687.41,0.190856,1.3,365,1280.86,0.175484,0.863406,1392.15,1859.87,1703.24,1732.15,0.191533
3320100900,留学生楼（新）,宿舍生活区,35039,13258.0,0.378378,4.6,365,2201.61,0.301632,0.994246,2999.44,3659.19,3595.54,3003.83,0.166059
3360300100,新留学生楼,宿舍生活区,33759,121.12,0.003588,24.06,352,1.69,0.000241,0.023077,17.58,53.1,0.0,50.44,0.013953
3363000100,离退休活动室,其他区域,35039,1520.57,0.043397,29.8,365,382.07,0.052346,0.431703,56.58,88.32,1267.38,108.29,0.251268
3370100100,XXXL楼,其他区域,35039,2393.87,0.06832,13.7,365,212.71,0.029142,0.348815,354.41,791.96,635.85,611.65,0.088856
3370200100,XXXK酒店,食堂餐饮区,35039,19638.8,0.560484,4.0,365,1736.53,0.237913,0.763803,2837.8,5597.02,5645.93,5558.05,0.088423
3370300100,XXXK,其他区域,35039,2553.64,0.07288,0.8,365,274.42,0.037597,0.338951,365.35,872.55,635.9,679.84,0.107462
3390100200,XXX航空航天,其他区域,35039,901.12,0.025718,261.2,365,34.17,0.004681,0.052747,337.85,0.9,557.57,4.8,0.037919
3390100300,XXX锅炉房,公共设施区,35039,4355.82,0.124313,2.2,365,303.65,0.041602,0.328127,1300.6,1031.63,901.41,1122.18,0.069711
3390100400,XXX第五食堂,食堂餐饮区,35039,1843.25,0.052606,0.7,365,46.27,0.006339,0.114125,292.59,646.93,430.63,473.1,0.025102
3390100500,XXX第二食堂,食堂餐饮区,35039,18624.41,0.531534,3.2,365,1152.27,0.157867,0.6368,3148.8,5896.84,4750.08,4828.69,0.061869
3400500100,XXX教学大楼总表,教学科研区,35039,5305.39,0.151414,4.9,365,291.98,0.040003,0.267297,657.54,1484.95,1569.31,1593.59,0.055035
3421200300,XXX田径场厕所,公共设施区,35039,1604.06,0.045779,0.9,365,92.44,0.012665,0.135909,400.19,407.53,425.0,371.34,0.057629
3421300100,XXX中心大楼泵房,教学科研区,35039,5807.41,0.165741,1.5,365,391.74,0.05367,0.434032,1195.04,1544.66,1574.21,1493.5,0.067455
3421300200,XXX大楼厕所东,教学科研区,35039,1118.39,0.031918,0.6,365,37.89,0.005191,0.283189,169.07,336.01,297.25,316.06,0.033879
3421300300,XXX大楼厕所西,教学科研区,35039,5184.47,0.147963,2.6,365,211.07,0.028918,0.460063,1093.03,902.15,1559.69,1629.6,0.040712
3421400100,浴室,宿舍生活区,35039,3140.07,0.089616,2.7,365,175.14,0.023995,0.497191,91.78,1331.3,1048.3,668.69,0.055776
3421900100,XXX科学楼,教学科研区,35039,3094.16,0.088306,1.0,365,789.21,0.108126,0.765036,718.63,767.8,815.96,791.77,0.255064
3422000100,XXX后勤楼,办公服务区,35039,569.77,0.016261,1.7,365,40.06,0.005488,0.136183,90.53,190.48,171.21,117.55,0.070309
3422200100,XXX东大楼,教学科研区,35039,833.8,0.023796,3.6,365,77.36,0.010599,0.159063,354.27,139.41,219.83,120.29,0.09278
3450200100,XXX游泳池,其他区域,35039,22929.48,0.654399,95.57,365,4908.54,0.672495,0.279901,354.19,19391.19,2865.01,319.09,0.214071
3480100100,XXX老医务室楼,其他区域,35039,2782.02,0.079398,7.52,365,134.61,0.018442,0.414988,475.9,773.13,785.6,747.39,0.048386
3480200100,XXX老五楼,其他区域,35039,6228.06,0.177747,1.8,365,649.53,0.088989,0.486779,2057.8,781.07,1848.5,1540.69,0.104291
3480300100,XXX老六楼,其他区域,27056,2315.17,0.08557,418.6,283,165.53,0.029354,0.611633,418.6,666.84,703.4,526.33,0.071498
3480400100,老七楼,其他区域,35039,1898.58,0.054185,0.5,365,270.05,0.036998,0.403754,548.79,479.74,502.35,367.7,0.142238
