meter_no,meter_name,function_zone,night_usage_m3,night_usage_share,night_mean_interval_m3,night_active_interval_share
3620300300,64397副表,其他区域,26346.35,0.141655,3.638999,0.998895
3620301400,区域4+,其他区域,20714.07,0.188823,2.882559,0.974534
1836718629,XXX5舍热泵热水,宿舍生活区,3380.11,0.564906,0.463092,0.619126
3320100500,XXX第五学生宿舍,宿舍生活区,4587.77,0.244735,0.628548,0.974791
1836718633,XXX3舍热泵热水,宿舍生活区,911.66,0.307597,0.124902,0.347034
183671860,XXX8舍热泵,宿舍生活区,471.78,0.280301,0.064636,0.481847
3313200200,XXXS馆,其他区域,7553.64,0.204501,1.034887,0.642691
3620300400,区域3+,其他区域,8393.44,0.146859,1.160918,0.940249
3620301700,教育超市+,其他区域,413.41,0.207327,0.357003,0.449914
3320100200,XXX第二学生宿舍,宿舍生活区,2066.19,0.202501,0.283079,0.747363
3450200100,XXX游泳池,其他区域,4908.54,0.214071,0.672495,0.279901
3320100300,XXX第三学生宿舍,宿舍生活区,1801.55,0.156492,0.246821,0.620222
3620300500,校医院南+,办公服务区,2448.61,0.101411,0.33644,0.520747
3320100100,XXX第一学生宿舍,宿舍生活区,2151.21,0.14122,0.294727,0.94739
3320100600,XXX第八学生宿舍,宿舍生活区,1336.76,0.141956,0.183143,0.466365
3620301300,高配房+,其他区域,410.24,0.265644,0.057449,0.374597
3161100100,XXX毒物研究所,教学科研区,46.57,0.202734,0.007255,0.04658
3421900100,XXX科学楼,教学科研区,789.21,0.255064,0.108126,0.765036
3363000100,离退休活动室,其他区域,382.07,0.251268,0.052346,0.431703
3320100400,XXX第四学生宿舍,宿舍生活区,1925.33,0.1043,0.26378,0.522263
3290100300,XXXT馆后平房,其他区域,320.93,0.140851,0.043969,0.364296
3320100800,XXX第九学生宿舍,宿舍生活区,1280.86,0.191533,0.175484,0.863406
3320100900,留学生楼（新）,宿舍生活区,2201.61,0.166059,0.301632,0.994246
3620301500,茶园+,其他区域,5.89,0.100461,0.000818,0.031385
3320100700,XXX第七学生宿舍,宿舍生活区,1242.43,0.168155,0.170219,0.433621
3620300200,养殖队6721副表+,绿化试验区,3865.65,0.076365,0.539067,0.947706
3620302800,农业试验站大棚+,绿化试验区,369.0,0.183121,0.059401,0.707502
3290100100,XXX校医院,办公服务区,85.86,0.042205,0.011763,0.172215
1836718625,XXX4舍热泵热水,宿舍生活区,366.82,0.063846,0.051665,0.23338
3280100100,XXX图书馆,教学科研区,277.52,0.093431,0.038022,0.263872
3480400100,老七楼,其他区域,270.05,0.142238,0.036998,0.403754
3200200100,XXXK楼,其他区域,118.11,0.161091,0.016182,0.331826
3312800100,XXXS宾馆,食堂餐饮区,1941.68,0.107715,0.28063,0.756468
3000000001,区域2,其他区域,920.09,0.056598,0.126057,0.517057
3480100100,XXX老医务室楼,其他区域,134.61,0.048386,0.018442,0.414988
3030100100,XXX体育馆,其他区域,296.63,0.147582,0.043628,0.136785
3422000100,XXX后勤楼,办公服务区,40.06,0.070309,0.005488,0.136183
3160100100,XXX种子楼,其他区域,74.77,0.068304,0.010244,0.223866
3620300100,XXX花圃+,绿化试验区,2527.55,0.053392,0.355893,0.418192
3180700100,XXX污水处理,公共设施区,160.14,0.137124,0.022555,0.260141
3520300100,东大门温室,绿化试验区,537.15,0.127371,0.073592,0.673791
3315400100,XXX国际纳米研究所,教学科研区,87.78,0.081591,0.012026,0.267708
3370200100,XXXK酒店,食堂餐饮区,1736.53,0.088423,0.237913,0.763803
3620302500,校管中心种子楼东+,办公服务区,57.55,0.060943,0.008223,0.179597
3620303100,车队+,办公服务区,1.12,0.002663,0.000167,0.005207
3313800500,XXXL馆,其他区域,244.56,0.126754,0.033506,0.351555
3000000000,区域1（西）,其他区域,1369.54,0.086226,0.187634,0.704617
3480200100,XXX老五楼,其他区域,649.53,0.104291,0.088989,0.486779
