meter_no,meter_name,function_zone,leak_score,estimated_annual_reducible_loss_m3,expected_annual_saving_yuan,repair_cost_yuan,net_benefit_yuan,benefit_cost_ratio,selected
3620301400,区域4+,其他区域,2.760654,21266.001345,95697.006052,12450.0,83247.006052,7.686507,True
3620300300,64397副表,其他区域,2.834522,9964.16575,44838.745877,15250.0,29588.745877,2.940246,True
3320100500,XXX第五学生宿舍,宿舍生活区,1.279073,4181.870726,18818.418269,8350.0,10468.418269,2.253703,True
3620300500,校医院南+,办公服务区,0.627643,4058.816086,18264.672385,8750.0,9514.672385,2.087391,True
3313200200,XXXS馆,其他区域,0.965217,3487.734671,15694.806019,7900.0,7794.806019,1.986684,True
3620300400,区域3+,其他区域,0.934963,3853.09504,17338.927681,12450.0,4888.927681,1.392685,True
1836718629,XXX5舍热泵热水,宿舍生活区,2.591852,2580.043491,11610.19571,6850.0,4760.19571,1.694919,True
3320100200,XXX第二学生宿舍,宿舍生活区,0.875234,2068.680988,9309.064448,6400.0,2909.064448,1.454541,True
3320100400,XXX第四学生宿舍,宿舍生活区,0.423752,2447.281357,11012.766105,8350.0,2662.766105,1.318894,True
3450200100,XXX游泳池,其他区域,0.736834,2307.723184,10384.754327,7900.0,2484.754327,1.314526,True
3320100600,XXX第八学生宿舍,宿舍生活区,0.599468,1686.529936,7589.384712,5950.0,1639.384712,1.275527,True
3320100100,XXX第一学生宿舍,宿舍生活区,0.622895,2481.659632,11167.468345,9650.0,1517.468345,1.157251,True
3320100300,XXX第三学生宿舍,宿舍生活区,0.660711,2023.331266,9104.990695,8350.0,754.990695,1.090418,True
3620302800,农业试验站大棚+,绿化试验区,0.146542,162.266485,730.199181,3225.0,-2494.800819,0.226418,False
3620301700,教育超市+,其他区域,0.906824,410.528658,1847.378962,4450.0,-2602.621038,0.415141,False
1836718633,XXX3舍热泵热水,宿舍生活区,1.243913,812.010808,3654.048636,6850.0,-3195.951364,0.533438,False
3620301300,高配房+,其他区域,0.536425,207.196511,932.3843,4450.0,-3517.6157,0.209525,False
3320100700,XXX第七学生宿舍,宿舍生活区,0.165879,523.104599,2353.970694,5950.0,-3596.029306,0.395625,False
3320100900,留学生楼（新）,宿舍生活区,0.25826,920.590111,4142.655501,7900.0,-3757.344499,0.524387,False
3480100100,XXX老医务室楼,其他区域,-0.016272,304.968371,1372.357669,5750.0,-4377.642331,0.238671,False
3363000100,离退休活动室,其他区域,0.451815,189.801235,854.105557,5300.0,-4445.894443,0.161152,False
3290100300,XXXT馆后平房,其他区域,0.274078,288.427767,1297.924954,5750.0,-4452.075046,0.225726,False
3421900100,XXX科学楼,教学科研区,0.52442,393.855085,1772.347882,6400.0,-4627.652118,0.276929,False
3290100100,XXX校医院,办公服务区,0.073483,286.201012,1287.904555,5950.0,-4662.095445,0.216455,False
3312800100,XXXS宾馆,食堂餐饮区,-0.001015,568.058245,2556.262101,7450.0,-4893.737899,0.343122,False
3320100800,XXX第九学生宿舍,宿舍生活区,0.272932,575.08165,2587.867423,7900.0,-5312.132577,0.327578,False
3200200100,XXXK楼,其他区域,0.015002,48.542585,218.441634,5950.0,-5731.558366,0.036713,False
3480400100,老七楼,其他区域,0.020784,122.294563,550.325531,6400.0,-5849.674469,0.085988,False
1836718625,XXX4舍热泵热水,宿舍生活区,0.060797,610.623453,2747.805539,8800.0,-6052.194461,0.312251,False
3620301500,茶园+,其他区域,0.174517,7.626578,34.319601,6200.0,-6165.680399,0.005535,False
3620300200,养殖队6721副表+,绿化试验区,0.159459,563.688435,2536.597956,8750.0,-6213.402044,0.289897,False
3161100100,XXX毒物研究所,教学科研区,0.526752,38.318072,172.431322,6400.0,-6227.568678,0.026942,False
183671860,XXX8舍热泵,宿舍生活区,1.129742,452.799591,2037.598158,8350.0,-6312.401842,0.244024,False
3280100100,XXX图书馆,教学科研区,0.056687,284.447839,1280.015274,8350.0,-7069.984726,0.153295,False
3000000001,区域2,其他区域,-0.004504,1195.439309,5379.476889,12450.0,-7070.523111,0.432086,False
