node_id,actuator_stroke_m
A0,0.061701
B1,0.103897
C1,0.089274
D1,0.038201
E1,0.021469
A1,0.065902
A3,0.109391
B2,0.144266
B3,0.128888
C2,0.11991
C3,0.070096
D2,0.021335
D3,-0.002075
E2,-0.01432
E3,0.028674
A2,0.077036
A5,0.120574
A6,0.15017
B4,0.178681
B5,0.165094
B6,0.155272
C4,0.150902
C5,0.10513
C6,0.057085
D4,0.012168
D5,-0.017915
D6,-0.036996
E4,-0.0435
E5,-0.003832
E6,0.04352
A4,0.094226
A8,0.136325
A9,0.160089
A10,0.183751
B7,0.202444
B8,0.193373
B9,0.185115
B10,0.179933
C7,0.179003
C8,0.140326
C9,0.095715
C10,0.05113
D7,0.011238
D8,-0.025107
D9,-0.050991
D10,-0.064397
E7,-0.064393
E8,-0.029505
E9,0.014829
E10,0.064995
A7,0.116207
A12,0.155472
A13,0.173199
A14,0.191336
A15,0.205427
B11,0.209858
B12,0.208849
B13,0.205114
B14,0.201449
B15,0.199642
C11,0.200166
C12,0.172575
C13,0.134532
C14,0.092807
C15,0.052863
D11,0.018699
D12,-0.023221
D13,-0.05564
D14,-0.076113
D15,-0.083068
E11,-0.07598
E12,-0.046946
E13,-0.007038
E14,0.040691
E15,0.091867
A11,0.140953
A17,0.175191
A18,0.187312
A19,0.199694
A20,0.208451
A21,0.208739
B16,0.194618
B17,0.20517
B18,0.209215
B19,0.210026
B20,0.209689
B21,0.209545
C16,0.209884
C17,0.197118
C18,0.16948
C19,0.133838
C20,0.096299
C21,0.061901
D16,0.033992
D17,-0.012314
D18,-0.050549
D19,-0.077689
D20,-0.091733
D21,-0.091607
E16,-0.077545
E17,-0.054998
E18,-0.020743
E19,0.022888
E20,0.072012
E21,0.121588
A16,0.166113
A23,0.193255
A24,0.200087
A25,0.206763
A26,0.210016
A27,0.205399
A28,0.187387
B22,0.149351
B23,0.175816
B24,0.191439
B25,0.199838
B26,0.203944
B27,0.205397
B28,0.20499
C22,0.202635
C23,0.209417
C24,0.196068
C25,0.170226
C26,0.138362
C27,0.106169
C28,0.077648
D22,0.056154
D23,0.006852
D24,-0.035991
D25,-0.068947
D26,-0.089888
D27,-0.0969
D28,-0.089888
E22,-0.069097
E23,-0.053319
E24,-0.025251
E25,0.012834
E26,0.058285
E27,0.106286
E28,0.151893
A22,0.188638
A30,0.20614
A31,0.208534
A32,0.210032
A33,0.207839
A34,0.19789
A35,0.175279
A36,0.13367
B29,0.065421
B30,0.11298
B31,0.144523
B32,0.1644
B33,0.176135
B34,0.181934
B35,0.183179
B36,0.180145
C29,0.172141
C30,0.2039
C31,0.209375
C32,0.197168
C33,0.174691
C34,0.147709
C35,0.121294
C36,0.09909
D29,0.083707
D30,0.033336
D31,-0.012835
D32,-0.050811
D33,-0.077643
D34,-0.091666
D35,-0.091719
D36,-0.077908
E29,-0.051071
E30,-0.042052
E31,-0.020686
E32,0.011399
E33,0.051633
E34,0.096325
E35,0.140886
E36,0.179323
A29,0.204654
A38,0.209673
A39,0.208744
A40,0.205577
A41,0.197875
A42,0.181928
A43,0.153356
A44,0.106142
A45,0.033158
B37,-0.066649
B38,0.001558
B39,0.055272
B40,0.091936
B41,0.115709
B42,0.129621
B43,0.135318
B44,0.133815
B45,0.124882
C37,0.111251
C38,0.172107
C39,0.202893
C40,0.209774
C41,0.200969
C42,0.18304
C43,0.161888
C44,0.141686
C45,0.125812
D37,0.114653
D38,0.066672
D39,0.018888
D40,-0.022867
D41,-0.055065
D42,-0.075496
D43,-0.082391
D44,-0.075427
D45,-0.055155
E37,-0.02436
E38,-0.020458
E39,-0.006035
E40,0.019427
E41,0.053736
E42,0.094139
E43,0.135698
E44,0.173569
E45,0.200877
A37,0.209966
A47,0.198687
A48,0.195095
A49,0.188607
A50,0.176281
A51,0.154701
A52,0.12001
A53,0.066658
A54,-0.011905
A55,-0.115682
B48,-0.085772
B49,-0.026715
B50,0.014285
B51,0.040273
B52,0.05429
B53,0.057091
B54,0.049712
B55,0.036396
C46,0.011687
C47,0.108881
C48,0.168064
C49,0.199931
C50,0.209898
C51,0.205542
C52,0.193124
C53,0.178085
C54,0.164125
C55,0.152488
D46,0.14616
D47,0.101914
D48,0.056608
D49,0.012959
D50,-0.023221
D51,-0.049019
D52,-0.06239
D53,-0.062246
D54,-0.048884
D55,-0.024749
E46,0.009555
E47,0.007953
E48,0.017359
E49,0.036054
E50,0.063826
E51,0.098528
E52,0.136053
E53,0.171285
E54,0.198362
E55,0.209993
A46,0.199361
A57,0.167689
A58,0.163531
A59,0.153527
A60,0.137891
A61,0.11128
A62,0.070763
A63,0.011654
A64,-0.073303
B61,-0.096342
B62,-0.070019
B63,-0.058059
B64,-0.061177
B65,-0.072032
B66,-0.096479
C57,0.004654
C58,0.099718
C59,0.159374
C60,0.193892
C61,0.208098
C62,0.209255
C63,0.202788
C64,0.193776
C65,0.184586
C66,0.177914
D56,0.175243
D57,0.137742
D58,0.095629
D59,0.054244
D60,0.015951
D61,-0.013776
D62,-0.032792
D63,-0.039299
D64,-0.032624
D65,-0.01536
D66,0.01248
E56,0.048628
E57,0.042532
E58,0.046429
E59,0.059924
E60,0.081079
E61,0.10958
E62,0.141663
E63,0.17291
E64,0.19794
E65,0.209718
E66,0.202193
A56,0.166819
A68,0.110718
A69,0.107998
A70,0.097189
A71,0.076951
A72,0.04641
A73,0.000758
A74,-0.064442
C69,-0.011877
C70,0.082981
C71,0.144683
C72,0.183181
C73,0.20256
C74,0.2095
C75,0.20913
C76,0.20525
C77,0.201049
C78,0.198218
D67,0.197881
D68,0.170372
D69,0.134507
D70,0.096
D71,0.059795
D72,0.027802
D73,0.004761
D74,-0.007249
D75,-0.007404
D76,0.003184
D77,0.02429
D78,0.054177
E67,0.090371
E68,0.080938
E69,0.080163
E70,0.088165
E71,0.104141
E72,0.126135
E73,0.152125
E74,0.178273
E75,0.199658
E76,0.20977
E77,0.203206
E78,0.171686
A67,0.10559
A80,0.018798
A81,0.020198
A82,0.010692
A83,-0.010928
A84,-0.044321
A85,-0.094042
C82,-0.040292
C83,0.056512
C84,0.122215
C85,0.165773
C86,0.190775
C87,0.203456
C88,0.208706
C89,0.209851
C90,0.209561
C91,0.209299
D79,0.209467
D80,0.196001
D81,0.169621
D82,0.136934
D83,0.103448
D84,0.072739
D85,0.047329
D86,0.031088
D87,0.02534
D88,0.030035
D89,0.044556
D90,0.067959
D91,0.098102
E79,0.131416
E80,0.120741
E81,0.116544
E82,0.119903
E83,0.130311
E84,0.146113
E85,0.16591
E86,0.186356
E87,0.202922
E88,0.210002
E89,0.202198
E90,0.171765
E91,0.110179
A79,0.007766
A93,-0.114465
A94,-0.107523
A95,-0.113398
C96,-0.081786
C97,0.019091
C98,0.089415
C99,0.13836
C100,0.169341
C101,0.187433
C102,0.197677
C103,0.202973
C104,0.205311
C105,0.205776
D92,0.204527
D93,0.209139
D94,0.196405
D95,0.172958
D96,0.144861
D97,0.116718
D98,0.092285
D99,0.073444
D100,0.063455
D101,0.062878
D102,0.071363
D103,0.088403
D104,0.112124
D105,0.139778
E92,0.168139
E93,0.15761
E94,0.151918
E95,0.151799
E96,0.157446
E97,0.167809
E98,0.181373
E99,0.195794
E100,0.206959
E101,0.209735
E102,0.199029
E103,0.168003
E104,0.108031
E105,0.010771
C112,-0.033063
C113,0.042845
C114,0.097794
C115,0.133471
C116,0.157029
C117,0.171478
C118,0.179601
C119,0.182824
C120,0.182045
D106,0.177099
D107,0.204532
D108,0.209367
D109,0.19914
D110,0.17987
D111,0.1572
D112,0.134922
D113,0.116656
D114,0.103988
D115,0.099423
D116,0.102778
D117,0.113734
D118,0.13112
D119,0.152789
D120,0.175752
E106,0.19591
E107,0.187884
E108,0.182249
E109,0.180234
E110,0.182413
E111,0.188143
E112,0.196248
E113,0.20448
E114,0.20976
E115,0.207474
E116,0.19276
E117,0.159504
E118,0.099197
E119,0.00422
C128,-0.103282
C129,-0.02143
C130,0.037739
C131,0.079098
C132,0.107012
C133,0.124492
C134,0.133723
C135,0.136095
C136,0.131699
D121,0.120061
D122,0.175904
D123,0.20309
D124,0.209824
D125,0.203321
D126,0.189233
D127,0.172244
D128,0.156161
D129,0.143523
D130,0.136475
D131,0.135922
D132,0.141632
D133,0.153171
D134,0.168822
D135,0.185873
D136,0.200896
E121,0.209504
E122,0.206601
E123,0.203241
E124,0.201241
E125,0.201362
E126,0.203561
E127,0.206945
E128,0.209681
E129,0.209065
E130,0.20133
E131,0.181797
E132,0.14464
E133,0.082759
E134,-0.012047
C147,-0.067809
C148,-0.020007
C149,0.012325
C150,0.032234
C151,0.040348
C152,0.038248
C153,0.025895
D137,0.02519
D138,0.099806
D139,0.160747
D140,0.194378
D141,0.208334
D142,0.208939
D143,0.202156
D144,0.192468
D145,0.182752
D146,0.175594
D147,0.172857
D148,0.174803
D149,0.18114
D150,0.190549
D151,0.200513
D152,0.208254
D153,0.20927
E137,0.202776
E138,0.205899
E139,0.208897
E140,0.209791
E141,0.209944
E142,0.209826
E143,0.208922
E144,0.205935
E145,0.198421
E146,0.182126
E147,0.153912
E148,0.107747
E149,0.037074
E150,-0.067726
C168,-0.111316
C169,-0.107867
C170,-0.11836
C171,-0.111957
D154,-0.117088
D155,-0.009585
D156,0.068195
D157,0.13656
D158,0.177923
D159,0.199843
D160,0.208719
D161,0.209548
D162,0.20655
D163,0.202532
D164,0.200057
D165,0.199987
D166,0.202204
D167,0.205987
D168,0.209316
D169,0.209362
D170,0.202364
D171,0.190427
E154,0.168681
E155,0.178428
E156,0.183512
E157,0.191221
E158,0.194704
E159,0.194749
E160,0.191595
E161,0.184187
E162,0.170732
E163,0.146766
E164,0.108346
E165,0.052629
E166,-0.028071
D174,-0.060172
D175,0.021985
D176,0.099136
D177,0.149517
D178,0.180373
D179,0.197744
D180,0.205731
D181,0.209146
D182,0.209815
D183,0.209917
D184,0.209846
D185,0.209163
D186,0.206607
D187,0.199328
D188,0.184214
D189,0.166994
D190,0.139868
E172,0.099288
E173,0.117999
E174,0.129244
E175,0.134327
E176,0.14508
E177,0.148425
E178,0.145596
E179,0.136287
E180,0.118264
E181,0.087149
E182,0.040382
E183,-0.026963
E184,-0.118568
D195,-0.043281
D196,0.043465
D197,0.103578
D198,0.143847
D199,0.169534
D200,0.1846
D201,0.192747
D202,0.196288
D203,0.196695
D204,0.193168
D205,0.185525
D206,0.171788
D207,0.148909
D208,0.127096
D209,0.094938
D210,0.049093
E191,-0.01466
E192,0.016081
E193,0.035952
E194,0.046572
E195,0.048712
E196,0.05927
E197,0.060081
E198,0.051152
E199,0.031629
E200,-0.005338
E201,-0.059735
D217,-0.035333
D218,0.035367
D219,0.084677
D220,0.115883
D221,0.136395
D222,0.14776
D223,0.151855
D224,0.150036
D225,0.139156
D226,0.120004
D227,0.089634
D228,0.063619
D229,0.026965
D230,-0.024466
