node_id,x_m,y_m,z_m,target_axis_t_m,axis_error_m
A0,0.0,0.0,-300.338299,-293.872026,-0.086067
B1,6.105688,8.404092,-300.116365,-291.562568,-0.143837
C1,9.879763,-3.210046,-300.13098,-292.40337,-0.123934
D1,0.0,-10.389679,-300.182021,-295.02751,-0.053487
E1,-9.881994,-3.210771,-300.198744,-295.808091,-0.030135
A1,-6.10646,8.405156,-300.154338,-293.656583,-0.091862
A3,0.0,16.811876,-299.81968,-291.234699,-0.15128
B2,12.202537,16.79593,-299.537179,-288.910037,-0.197973
B3,15.987338,5.19477,-299.800214,-289.991188,-0.177509
C2,19.745715,-6.415438,-299.561477,-290.578254,-0.165466
C3,9.882693,-13.601825,-299.858914,-293.439015,-0.09764
D2,0.0,-20.768525,-299.659816,-295.814469,-0.029947
D3,-9.885068,-13.605094,-299.930972,-296.856002,0.002923
E2,-19.754542,-6.418306,-299.695385,-297.380536,0.020201
E3,-15.992673,5.196504,-299.900271,-295.476726,-0.040205
A2,-12.205269,16.799691,-299.604249,-293.073316,-0.107179
A5,-6.105448,25.225871,-299.155777,-290.538971,-0.166362
A6,6.104847,25.223385,-299.126292,-288.466311,-0.205767
B4,18.283418,25.165023,-298.60558,-285.927368,-0.242735
B5,22.100747,13.599522,-299.111424,-287.233444,-0.225277
B6,25.874319,1.988971,-299.121209,-288.062067,-0.212468
C4,29.58593,-9.612169,-298.63321,-288.405428,-0.206728
C5,19.76748,-16.819112,-299.171164,-291.490196,-0.145509
C6,9.88972,-24.001438,-299.219029,-294.106603,-0.079689
D4,0.0,-31.122739,-298.771198,-296.229079,-0.017102
D5,-9.89219,-24.007432,-299.293748,-297.533262,0.025285
D6,-19.776835,-16.827072,-299.312758,-298.320047,0.052346
E4,-29.605086,-9.618393,-298.826565,-298.581817,0.061598
E5,-25.88803,1.990025,-299.279718,-296.933348,0.005398
E6,-22.109696,13.605029,-299.232543,-294.774229,-0.060884
A4,-18.288562,25.172102,-298.689581,-292.125192,-0.13069
A8,-12.183668,33.594747,-298.129644,-289.483787,-0.187435
A9,0.0,33.620074,-298.351718,-287.666373,-0.218767
A10,12.181744,33.589441,-298.082555,-285.376291,-0.249152
B7,24.341885,33.504406,-297.327392,-282.628403,-0.271895
B8,28.179649,21.964852,-298.073001,-284.15595,-0.261097
B9,31.971086,10.388594,-298.326849,-285.213734,-0.250861
B10,35.709698,-1.205278,-298.086346,-285.794804,-0.244324
C7,39.389115,-12.798369,-297.350609,-285.895426,-0.243145
C8,29.602565,-20.016645,-298.125671,-289.197595,-0.192751
C9,19.7651,-27.204329,-298.415686,-292.039263,-0.132718
C10,9.892116,-34.349153,-298.214234,-294.401713,-0.071444
D7,0.0,-41.43845,-297.516769,-296.269382,-0.015798
D8,-9.894627,-34.357871,-298.289928,-297.832394,0.035469
D9,-19.774756,-27.217619,-298.56147,-298.880274,0.072274
D10,-29.622749,-20.030293,-298.32894,-299.406081,0.091427
E7,-39.421048,-12.808745,-297.591678,-299.40636,0.091421
E8,-35.734609,-1.206118,-298.294295,-298.014279,0.041706
E9,-31.989221,10.394487,-298.496064,-296.109734,-0.020835
E10,-28.191699,21.974245,-298.200467,-293.705154,-0.090613
A7,-24.348877,33.51403,-297.412804,-290.816337,-0.160484
A12,-18.285232,42.032235,-296.72515,-288.049462,-0.212734
A13,-6.104678,42.084722,-297.199947,-286.484907,-0.235736
A14,6.104309,42.082179,-297.181993,-284.440296,-0.258601
A15,18.282189,42.025242,-296.675781,-281.935819,-0.275233
B11,30.371967,41.803776,-295.709574,-279.029372,-0.278281
B12,34.317725,30.373868,-296.672399,-280.727183,-0.278625
