catalyst_id,target,sample_count,temperature_min_c,temperature_max_c,observed_min,observed_max,best_observed_temperature_c,best_observed_value,r2
A1,conversion,5,250.0,350.0,2.067169,36.801017,350.0,36.801017,0.979748
A1,c4_selectivity,5,250.0,350.0,34.05,49.7,325.0,49.7,0.915957
A1,c4_yield,5,250.0,350.0,0.703871,17.37376,350.0,17.37376,0.986464
A10,conversion,5,250.0,400.0,0.319964,28.594391,400.0,28.594391,0.994009
A10,c4_selectivity,5,250.0,400.0,1.65,10.29,400.0,10.29,0.978469
A10,c4_yield,5,250.0,400.0,0.007007,2.942363,400.0,2.942363,0.957396
A11,conversion,5,250.0,400.0,0.227692,32.593498,400.0,32.593498,0.987127
A11,c4_selectivity,5,250.0,400.0,0.1,7.93,400.0,7.93,0.999444
A11,c4_yield,5,250.0,400.0,0.000228,2.584664,400.0,2.584664,0.968699
A12,conversion,5,250.0,400.0,1.441709,44.534967,400.0,44.534967,0.999083
A12,c4_selectivity,5,250.0,400.0,6.17,36.3,400.0,36.3,0.999258
A12,c4_yield,5,250.0,400.0,0.088953,16.166193,400.0,16.166193,0.990725
A13,conversion,5,250.0,400.0,1.346948,40.047154,400.0,40.047154,0.996508
A13,c4_selectivity,5,250.0,400.0,5.19,27.91,400.0,27.91,0.981657
A13,c4_yield,5,250.0,400.0,0.069907,11.177161,400.0,11.177161,0.995323
A14,conversion,5,250.0,400.0,2.492689,53.615257,400.0,53.615257,0.997162
A14,c4_selectivity,5,250.0,400.0,1.89,22.3,400.0,22.3,0.999463
A14,c4_yield,5,250.0,400.0,0.047112,11.956202,400.0,11.956202,0.983305
A2,conversion,5,250.0,350.0,4.602997,67.879296,350.0,67.879296,0.99108
A2,c4_selectivity,5,250.0,350.0,17.28,39.1,350.0,39.1,0.980284
A2,c4_yield,5,250.0,350.0,0.831762,26.540805,350.0,26.540805,0.996312
A3,conversion,7,250.0,450.0,9.669373,86.409703,450.0,86.409703,0.96632
A3,c4_selectivity,7,250.0,450.0,5.5,53.43,400.0,53.43,0.955075
A3,c4_yield,7,250.0,450.0,0.531816,44.72806,400.0,44.72806,0.912965
A4,conversion,6,250.0,400.0,4.019391,88.439344,400.0,88.439344,0.995911
A4,c4_selectivity,6,250.0,400.0,8.62,41.02,400.0,41.02,0.976519
A4,c4_yield,6,250.0,400.0,0.386665,36.277819,400.0,36.277819,0.998878
A5,conversion,6,250.0,400.0,12.424011,76.019832,400.0,76.019832,0.994027
A5,c4_selectivity,6,250.0,400.0,1.96,38.23,400.0,38.23,0.990547
A5,c4_yield,6,250.0,400.0,0.289829,29.062382,400.0,29.062382,0.979764
A6,conversion,5,250.0,400.0,12.780991,83.347616,400.0,83.347616,0.986032
A6,c4_selectivity,5,250.0,400.0,3.3,37.33,400.0,37.33,0.945403
A6,c4_yield,5,250.0,400.0,0.44185,31.113665,400.0,31.113665,0.970672
A7,conversion,5,250.0,400.0,19.656291,76.027416,400.0,76.027416,0.999708
A7,c4_selectivity,5,250.0,400.0,5.75,33.25,400.0,33.25,0.999651
A7,c4_yield,5,250.0,400.0,1.130237,25.279116,400.0,25.279116,0.999229
A8,conversion,5,250.0,400.0,6.265737,56.11639,400.0,56.11639,0.999039
A8,c4_selectivity,5,250.0,400.0,5.63,41.42,400.0,41.42,0.999526
A8,c4_yield,5,250.0,400.0,0.352761,23.243409,400.0,23.243409,0.997287
A9,conversion,5,250.0,400.0,2.053162,40.797163,400.0,40.797163,0.990262
A9,c4_selectivity,5,250.0,400.0,5.4,42.04,400.0,42.04,0.994887
A9,c4_yield,5,250.0,400.0,0.110871,17.151127,400.0,17.151127,0.985845
B1,conversion,5,250.0,400.0,1.408182,43.595444,400.0,43.595444,0.998876
B1,c4_selectivity,5,250.0,400.0,6.32,41.08,400.0,41.08,0.997177
B1,c4_yield,5,250.0,400.0,0.088997,17.909009,400.0,17.909009,0.991882
B2,conversion,5,250.0,400.0,2.763024,45.135239,400.0,45.135239,0.99129
B2,c4_selectivity,5,250.0,400.0,3.26,38.7,400.0,38.7,0.997736
B2,c4_yield,5,250.0,400.0,0.090075,17.467338,400.0,17.467338,0.981741
B3,conversion,6,250.0,400.0,0.394774,21.10013,400.0,21.10013,0.991475
B3,c4_selectivity,6,250.0,400.0,2.85,21.21,400.0,21.21,0.976297
B3,c4_yield,6,250.0,400.0,0.011251,4.475338,400.0,4.475338,0.979144
B4,conversion,6,250.0,400.0,0.543984,33.489596,400.0,33.489596,0.987028
B4,c4_selectivity,6,250.0,400.0,5.05,21.45,400.0,21.45,0.973684
B4,c4_yield,6,250.0,400.0,0.036012,7.183518,400.0,7.183518,0.976551
B5,conversion,6,250.0,400.0,2.121247,44.981882,400.0,44.981882,0.99144
B5,c4_selectivity,6,250.0,400.0,4.3,25.83,400.0,25.83,0.998222
B5,c4_yield,6,250.0,400.0,0.091214,11.61882,400.0,11.61882,0.980424
B6,conversion,6,250.0,400.0,2.768169,63.245238,400.0,63.245238,0.990249
B6,c4_selectivity,6,250.0,400.0,4.5,30.48,400.0,30.48,0.97093
B6,c4_yield,6,250.0,400.0,0.124568,19.277149,400.0,19.277149,0.994836
B7,conversion,6,250.0,400.0,4.4,69.4,400.0,69.4,0.996598
B7,c4_selectivity,6,250.0,400.0,4.08,38.17,400.0,38.17,0.997144
B7,c4_yield,6,250.0,400.0,0.17952,26.48998,400.0,26.48998,0.991446
