time,state
0.0,4.0
2.0,9.103321
4.0,14.118656
6.0,19.047522
8.0,23.891409
10.0,28.651782
12.0,33.330083
14.0,37.927902
16.0,42.446795
18.0,46.888045
20.0,51.252917
22.0,55.542663
24.0,59.75852
26.0,63.90171
28.0,67.97344
30.0,71.974904
32.0,75.907281
34.0,79.771733
36.0,83.569412
38.0,87.30145
40.0,90.968969
42.0,94.573073
44.0,98.114854
46.0,101.595389
48.0,105.015738
50.0,108.376949
52.0,111.680054
54.0,114.926072
56.0,118.116006
58.0,121.250843
60.0,124.33156
62.0,127.359115
64.0,130.334452
66.0,133.258503
68.0,136.132183
70.0,138.956394
72.0,141.732021
74.0,144.459937
76.0,147.141
78.0,149.776051
80.0,152.365919
