catalyst_id,catalyst_combination,temperature_c,predicted_c4_yield_percent,co_wt_percent,co_sio2_mg,hap_mg,ethanol_flow_ml_min,loading_mode_b
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250.0,0.676189,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,251.0,0.725294,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,252.0,0.776714,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,253.0,0.83045,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,254.0,0.886501,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,255.0,0.944868,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,256.0,1.00555,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,257.0,1.068548,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,258.0,1.133862,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,259.0,1.201491,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,260.0,1.271436,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,261.0,1.343696,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,262.0,1.418272,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,263.0,1.495163,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,264.0,1.57437,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,265.0,1.655892,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,266.0,1.73973,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,267.0,1.825884,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,268.0,1.914353,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,269.0,2.005138,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,270.0,2.098238,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,271.0,2.193653,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,272.0,2.291385,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,273.0,2.391432,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,274.0,2.493794,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275.0,2.598472,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,276.0,2.705465,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,277.0,2.814774,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,278.0,2.926399,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,279.0,3.040339,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,280.0,3.156595,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,281.0,3.275166,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,282.0,3.396053,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,283.0,3.519255,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,284.0,3.644773,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,285.0,3.772606,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,286.0,3.902755,1.0,200.0,200.0,1.68,0.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,287.0,4.03522,1.0,200.0,200.0,1.68,0.0
