section,week,supplier_count_used,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3,demand_satisfaction_ratio,weighted_loss_rate_pct,cost_proxy,A_supply_m3,B_supply_m3,C_supply_m3,supplier_id,material,importance_score,rank,total_supplied_m3,total_product_equivalent_m3,robust_weekly_supply_m3,robust_weekly_product_m3,fulfillment_ratio,reliability_score,stability_score,active_week_ratio,unit_raw_cost_index,raw_per_product_m3,transporter,transport_volume_m3,loss_rate_pct
weekly_summary,1,46,20859.261475,18595.754995,18595.691845,28228.2,1.001,0.00034,22883.246386,6014.631679,5782.607162,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,2,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,3,46,20859.485909,18595.962412,18595.691845,28228.2,1.001,0.001455,22883.493264,6014.631679,5782.814579,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,4,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,5,46,20874.885478,18609.572366,18595.603625,28228.199291,1.001,0.075062,22900.432789,6014.631679,5796.424533,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,6,46,20863.795165,18599.94651,18595.691689,28228.199764,1.001,0.022875,22888.233445,6014.631679,5786.798677,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,7,46,20861.709317,18597.860208,18595.66989,28228.2,1.001,0.011777,22885.939013,6014.631679,5784.712375,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,8,46,20859.363355,18595.849149,18595.691845,28228.2,1.001,0.000846,22883.358454,6014.631679,5782.701316,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,9,46,20863.154287,18599.230006,18595.674616,28228.199974,1.001,0.019116,22887.528479,6014.631679,5786.082173,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,10,46,20882.688179,18616.085172,18595.396115,28228.199786,1.001,0.111135,22909.015761,6014.631679,5802.937339,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,11,46,20866.568285,18602.118784,18595.563947,28228.199986,1.001,0.035237,22891.283877,6014.631679,5788.970951,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,12,46,20869.682901,18604.966088,18595.554418,28228.199791,1.001,0.050587,22894.709956,6014.631679,5791.818255,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,13,46,20860.429978,18596.763167,18595.681816,28228.2,1.001,0.005815,22884.53174,6014.631679,5783.615334,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,14,46,20862.779554,18598.986789,18595.688942,28228.199913,1.001,0.017731,22887.116273,6014.631679,5785.838956,6798.516154,,,,,,,,,,,,,,,,,
weekly_summary,15,46,20867.112379,18602.531882,18595.53459,28228.199997,1.001,0.037615,22891.882381,6014.631679,5789.384049,6798.516154,,,,,,,,,,,,,,,,,
