week,supplier_id,material,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3
1,S229,A,1596.725321,1574.55,1574.55,2624.25
1,S275,A,706.948695,708.75,708.75,1181.25
1,S329,A,675.27408,676.0,676.0,1126.666667
1,S282,A,989.798965,994.55,994.55,1657.583333
1,S352,A,527.18789,525.6,525.6,876.0
1,S143,A,495.142814,433.45,433.45,722.416667
1,S266,A,23.750737,27.55,27.55,45.916667
1,S123,A,26.528139,28.0,28.0,46.666667
1,S348,A,628.094603,347.372745,347.372745,578.954575
1,S189,A,2.399833,2.453642,2.453642,4.089403
1,S307,A,488.095937,374.25,374.25,623.75
1,S395,A,296.835735,213.521959,213.521959,355.869932
1,S005,A,74.725408,79.0,79.0,131.666667
1,S007,A,28.595529,29.583333,29.583333,49.305555
1,S361,C,1512.567462,1488.2,1488.2,2066.944444
1,S268,C,539.041443,540.775,540.775,751.076389
1,S306,C,545.295073,547.1,547.1,759.861111
1,S194,C,425.162924,425.1,425.1,590.416667
1,S151,C,1110.458721,810.408333,810.408333,1125.567129
1,S356,C,786.928389,773.25,773.25,1073.958333
1,S247,C,238.576384,241.55,241.55,335.486111
1,S365,C,170.666639,173.4625,173.4625,240.920139
1,S294,C,78.373394,81.0,81.0,112.5
1,S284,C,189.645905,194.154167,194.154167,269.658565
1,S218,C,80.064204,84.1,84.1,116.805556
1,S244,C,87.150078,84.1,84.1,116.805556
1,S080,C,119.245193,121.5,121.5,168.75
1,S067,C,0.830128,1.062747,1.062747,1.476038
1,S314,C,12.910175,7.0,7.0,9.722222
1,S003,C,54.511915,50.155977,50.155977,69.661079
1,S213,C,0.764826,1.006135,1.006135,1.39741
1,S076,C,1.481481,2.0,2.0,2.777778
1,S374,C,965.407461,977.541667,977.541667,1357.69676
1,S037,C,260.434251,195.049628,195.049628,270.902261
1,S108,B,1131.020578,1003.958333,1003.958333,1521.148989
1,S340,B,832.879318,830.1,830.1,1257.727273
1,S131,B,685.542439,676.35,676.35,1024.772727
1,S140,B,2046.758476,1285.0,1285.0,1946.969697
1,S308,B,776.15851,570.825,570.825,864.886364
1,S330,B,720.750257,569.383333,569.383333,862.70202
1,S031,B,176.704701,179.55,179.55,272.045455
1,S346,B,105.262039,99.0,98.997105,149.995613
1,S040,B,134.833392,132.9375,132.923409,201.399104
1,S139,B,509.683582,435.456833,435.410674,659.713143
1,S367,B,0.048446,0.046158,0.046154,0.06993
1,S364,B,5e-06,5e-06,5e-06,7e-06
2,S229,A,1596.725321,1574.55,1574.55,2624.25
2,S275,A,706.948695,708.75,708.75,1181.25
2,S329,A,675.27408,676.0,676.0,1126.666667
2,S282,A,989.798965,994.55,994.55,1657.583333
2,S352,A,527.18789,525.6,525.6,876.0
2,S143,A,495.142814,433.45,433.45,722.416667
2,S266,A,23.750737,27.55,27.55,45.916667
2,S123,A,26.528139,28.0,28.0,46.666667
2,S348,A,628.094603,347.372745,347.372745,578.954575
2,S189,A,2.399833,2.453642,2.453642,4.089403
2,S307,A,488.095937,374.25,374.25,623.75
2,S395,A,296.835735,213.521959,213.521959,355.869932
2,S005,A,74.725408,79.0,79.0,131.666667
2,S007,A,28.595529,29.583333,29.583333,49.305555
2,S361,C,1512.567462,1488.2,1488.2,2066.944444
2,S268,C,539.041443,540.775,540.775,751.076389
2,S306,C,545.295073,547.1,547.1,759.861111
2,S194,C,425.162924,425.1,425.1,590.416667
2,S151,C,1110.458721,810.408333,810.408333,1125.567129
2,S356,C,786.928389,773.25,773.25,1073.958333
2,S247,C,238.576384,241.55,241.55,335.486111
2,S365,C,170.666639,173.4625,173.4625,240.920139
2,S294,C,78.373394,81.0,81.0,112.5
2,S284,C,189.645905,194.154167,194.154167,269.658565
2,S218,C,80.064204,84.1,84.1,116.805556
2,S244,C,87.150078,84.1,84.1,116.805556
2,S080,C,119.245193,121.5,121.5,168.75
2,S067,C,0.830128,1.062747,1.062747,1.476038
2,S314,C,12.910175,7.0,7.0,9.722222
2,S003,C,54.511915,50.155977,50.155977,69.661079
2,S213,C,0.764826,1.006135,1.006135,1.39741
2,S076,C,1.481481,2.0,2.0,2.777778
2,S374,C,965.407461,977.541667,977.541667,1357.69676
2,S037,C,260.434251,195.049628,195.049628,270.902261
2,S108,B,1131.020578,1003.958333,1003.958333,1521.148989
2,S340,B,832.879318,830.1,830.1,1257.727273
2,S131,B,685.542439,676.35,676.35,1024.772727
2,S140,B,2046.758476,1285.0,1285.0,1946.969697
2,S308,B,776.15851,570.825,570.825,864.886364
2,S330,B,720.750257,569.383333,569.383333,862.70202
2,S031,B,176.704701,179.55,179.55,272.045455
2,S346,B,105.262039,99.0,99.0,150.0
2,S040,B,134.833392,132.9375,132.9375,201.420455
2,S139,B,509.663699,435.439846,435.439846,659.757342
3,S229,A,1596.725321,1574.55,1574.55,2624.25
3,S275,A,706.948695,708.75,708.75,1181.25
3,S329,A,675.27408,676.0,676.0,1126.666667
3,S282,A,989.798965,994.55,994.55,1657.583333
3,S352,A,527.18789,525.6,525.6,876.0
3,S143,A,495.142814,433.45,433.45,722.416667
3,S266,A,23.750737,27.55,27.55,45.916667
3,S123,A,26.528139,28.0,28.0,46.666667
3,S348,A,628.094603,347.372745,347.372745,578.954575
3,S189,A,2.399833,2.453642,2.453642,4.089403
3,S307,A,488.095937,374.25,374.25,623.75
3,S395,A,296.835735,213.521959,213.521959,355.869932
3,S005,A,74.725408,79.0,79.0,131.666667
3,S007,A,28.595529,29.583333,29.583333,49.305555
3,S361,C,1512.567462,1488.2,1488.2,2066.944444
3,S268,C,539.041443,540.775,540.775,751.076389
3,S306,C,545.295073,547.1,547.1,759.861111
3,S194,C,425.162924,425.1,425.1,590.416667
3,S151,C,1110.458721,810.408333,810.408333,1125.567129
3,S356,C,786.928389,773.25,773.25,1073.958333
3,S247,C,238.576384,241.55,241.55,335.486111
3,S365,C,170.666639,173.4625,173.4625,240.920139
3,S294,C,78.373394,81.0,81.0,112.5
3,S284,C,189.645905,194.154167,194.154167,269.658565
3,S218,C,80.064204,84.1,84.1,116.805556
3,S244,C,87.150078,84.1,84.1,116.805556
3,S080,C,119.245193,121.5,121.5,168.75
3,S067,C,0.830128,1.062747,1.062747,1.476038
3,S314,C,12.910175,7.0,7.0,9.722222
3,S003,C,54.511915,50.155977,50.155977,69.661079
3,S213,C,0.764826,1.006135,1.006135,1.39741
3,S076,C,1.481481,2.0,2.0,2.777778
3,S374,C,965.407461,977.541667,977.541667,1357.69676
3,S037,C,260.434251,195.049628,195.049628,270.902261
3,S108,B,1131.020578,1003.958333,1003.958333,1521.148989
3,S340,B,832.879318,830.1,830.1,1257.727273
3,S131,B,685.542439,676.35,676.35,1024.772727
3,S140,B,2046.758476,1285.0,1285.0,1946.969697
3,S308,B,776.15851,570.825,570.825,864.886364
3,S330,B,720.750257,569.383333,569.383333,862.70202
3,S031,B,176.704701,179.55,179.55,272.045455
3,S346,B,105.262039,99.0,98.987599,149.981211
3,S040,B,134.833392,132.9375,132.877146,201.32901
3,S139,B,509.748855,435.5126,435.314878,659.567996
3,S367,B,0.207521,0.197723,0.197633,0.299444
3,S364,B,9.1e-05,9e-05,9e-05,0.000136
4,S229,A,1596.725321,1574.55,1574.55,2624.25
4,S275,A,706.948695,708.75,708.75,1181.25
4,S329,A,675.27408,676.0,676.0,1126.666667
4,S282,A,989.798965,994.55,994.55,1657.583333
4,S352,A,527.18789,525.6,525.6,876.0
4,S143,A,495.142814,433.45,433.45,722.416667
4,S266,A,23.750737,27.55,27.55,45.916667
4,S123,A,26.528139,28.0,28.0,46.666667
4,S348,A,628.094603,347.372745,347.372745,578.954575
4,S189,A,2.399833,2.453642,2.453642,4.089403
4,S307,A,488.095937,374.25,374.25,623.75
4,S395,A,296.835735,213.521959,213.521959,355.869932
4,S005,A,74.725408,79.0,79.0,131.666667
4,S007,A,28.595529,29.583333,29.583333,49.305555
4,S361,C,1512.567462,1488.2,1488.2,2066.944444
4,S268,C,539.041443,540.775,540.775,751.076389
4,S306,C,545.295073,547.1,547.1,759.861111
4,S194,C,425.162924,425.1,425.1,590.416667
4,S151,C,1110.458721,810.408333,810.408333,1125.567129
4,S356,C,786.928389,773.25,773.25,1073.958333
4,S247,C,238.576384,241.55,241.55,335.486111
4,S365,C,170.666639,173.4625,173.4625,240.920139
4,S294,C,78.373394,81.0,81.0,112.5
4,S284,C,189.645905,194.154167,194.154167,269.658565
4,S218,C,80.064204,84.1,84.1,116.805556
4,S244,C,87.150078,84.1,84.1,116.805556
4,S080,C,119.245193,121.5,121.5,168.75
4,S067,C,0.830128,1.062747,1.062747,1.476038
4,S314,C,12.910175,7.0,7.0,9.722222
4,S003,C,54.511915,50.155977,50.155977,69.661079
4,S213,C,0.764826,1.006135,1.006135,1.39741
4,S076,C,1.481481,2.0,2.0,2.777778
4,S374,C,965.407461,977.541667,977.541667,1357.69676
4,S037,C,260.434251,195.049628,195.049628,270.902261
4,S108,B,1131.020578,1003.958333,1003.958333,1521.148989
4,S340,B,832.879318,830.1,830.1,1257.727273
4,S131,B,685.542439,676.35,676.35,1024.772727
4,S140,B,2046.758476,1285.0,1285.0,1946.969697
4,S308,B,776.15851,570.825,570.825,864.886364
4,S330,B,720.750257,569.383333,569.383333,862.70202
4,S031,B,176.704701,179.55,179.55,272.045455
4,S346,B,105.262039,99.0,99.0,150.0
4,S040,B,134.833392,132.9375,132.9375,201.420455
4,S139,B,509.663699,435.439846,435.439846,659.757342
5,S229,A,1596.725321,1574.55,1574.55,2624.25
5,S275,A,706.948695,708.75,708.75,1181.25
5,S329,A,675.27408,676.0,676.0,1126.666667
5,S282,A,989.798965,994.55,994.55,1657.583333
5,S352,A,527.18789,525.6,525.6,876.0
5,S143,A,495.142814,433.45,433.45,722.416667
5,S266,A,23.750737,27.55,27.55,45.916667
5,S123,A,26.528139,28.0,28.0,46.666667
5,S348,A,628.094603,347.372745,347.372745,578.954575
5,S189,A,2.399833,2.453642,2.453642,4.089403
5,S307,A,488.095937,374.25,374.25,623.75
5,S395,A,296.835735,213.521959,213.521959,355.869932
5,S005,A,74.725408,79.0,79.0,131.666667
5,S007,A,28.595529,29.583333,29.583333,49.305555
5,S361,C,1512.567462,1488.2,1488.2,2066.944444
5,S268,C,539.041443,540.775,540.775,751.076389
5,S306,C,545.295073,547.1,547.1,759.861111
5,S194,C,425.162924,425.1,425.1,590.416667
5,S151,C,1110.458721,810.408333,810.408333,1125.567129
5,S356,C,786.928389,773.25,773.25,1073.958333
5,S247,C,238.576384,241.55,241.55,335.486111
5,S365,C,170.666639,173.4625,173.4625,240.920139
5,S294,C,78.373394,81.0,81.0,112.5
5,S284,C,189.645905,194.154167,194.154167,269.658565
5,S218,C,80.064204,84.1,84.1,116.805556
5,S244,C,87.150078,84.1,84.1,116.805556
5,S080,C,119.245193,121.5,121.5,168.75
5,S067,C,0.830128,1.062747,1.062747,1.476038
5,S314,C,12.910175,7.0,7.0,9.722222
5,S003,C,54.511915,50.155977,50.155977,69.661079
5,S213,C,0.764826,1.006135,1.006135,1.39741
5,S076,C,1.481481,2.0,2.0,2.777778
5,S374,C,965.407461,977.541667,976.74123,1356.585041
5,S037,C,260.434251,195.049628,194.797039,270.551443
5,S108,B,1131.020578,1003.958333,1002.658207,1519.179101
5,S340,B,832.879318,830.1,829.02502,1256.098516
5,S131,B,685.542439,676.35,675.474127,1023.445647
5,S140,B,2046.758476,1285.0,1283.335925,1944.448371
5,S308,B,776.15851,570.825,570.085782,863.766336
5,S330,B,720.750257,569.383333,568.645982,861.584821
5,S031,B,176.704701,179.55,179.317483,271.693156
5,S346,B,105.262039,99.0,98.629406,149.438494
5,S040,B,134.833392,132.9375,131.585659,199.37221
5,S139,B,520.562822,444.751696,440.229016,667.013661
5,S367,B,4.746795,4.52268,4.476689,6.782862
5,S364,B,0.046418,0.045991,0.045523,0.068975
6,S229,A,1596.725321,1574.55,1574.55,2624.25
6,S275,A,706.948695,708.75,708.75,1181.25
6,S329,A,675.27408,676.0,676.0,1126.666667
6,S282,A,989.798965,994.55,994.55,1657.583333
6,S352,A,527.18789,525.6,525.6,876.0
6,S143,A,495.142814,433.45,433.45,722.416667
6,S266,A,23.750737,27.55,27.55,45.916667
6,S123,A,26.528139,28.0,28.0,46.666667
6,S348,A,628.094603,347.372745,347.372745,578.954575
6,S189,A,2.399833,2.453642,2.453642,4.089403
6,S307,A,488.095937,374.25,374.25,623.75
6,S395,A,296.835735,213.521959,213.521959,355.869932
6,S005,A,74.725408,79.0,79.0,131.666667
6,S007,A,28.595529,29.583333,29.583333,49.305555
6,S361,C,1512.567462,1488.2,1488.2,2066.944444
6,S268,C,539.041443,540.775,540.775,751.076389
6,S306,C,545.295073,547.1,547.1,759.861111
6,S194,C,425.162924,425.1,425.1,590.416667
6,S151,C,1110.458721,810.408333,810.408333,1125.567129
6,S356,C,786.928389,773.25,773.25,1073.958333
6,S247,C,238.576384,241.55,241.55,335.486111
6,S365,C,170.666639,173.4625,173.4625,240.920139
6,S294,C,78.373394,81.0,81.0,112.5
6,S284,C,189.645905,194.154167,194.154167,269.658565
6,S218,C,80.064204,84.1,84.1,116.805556
6,S244,C,87.150078,84.1,84.1,116.805556
6,S080,C,119.245193,121.5,121.5,168.75
6,S067,C,0.830128,1.062747,1.062747,1.476038
6,S314,C,12.910175,7.0,7.0,9.722222
