week,supplier_count_used,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3,demand_satisfaction_ratio,weighted_loss_rate_pct,cost_proxy,A_supply_m3,B_supply_m3,C_supply_m3
1,46,20859.261475,18595.754995,18595.691845,28228.2,1.001,0.00034,22883.246386,6014.631679,5782.607162,6798.516154
2,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154
3,46,20859.485909,18595.962412,18595.691845,28228.2,1.001,0.001455,22883.493264,6014.631679,5782.814579,6798.516154
4,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154
5,46,20874.885478,18609.572366,18595.603625,28228.199291,1.001,0.075062,22900.432789,6014.631679,5796.424533,6798.516154
6,46,20863.795165,18599.94651,18595.691689,28228.199764,1.001,0.022875,22888.233445,6014.631679,5786.798677,6798.516154
7,46,20861.709317,18597.860208,18595.66989,28228.2,1.001,0.011777,22885.939013,6014.631679,5784.712375,6798.516154
8,46,20859.363355,18595.849149,18595.691845,28228.2,1.001,0.000846,22883.358454,6014.631679,5782.701316,6798.516154
9,46,20863.154287,18599.230006,18595.674616,28228.199974,1.001,0.019116,22887.528479,6014.631679,5786.082173,6798.516154
10,46,20882.688179,18616.085172,18595.396115,28228.199786,1.001,0.111135,22909.015761,6014.631679,5802.937339,6798.516154
11,46,20866.568285,18602.118784,18595.563947,28228.199986,1.001,0.035237,22891.283877,6014.631679,5788.970951,6798.516154
12,46,20869.682901,18604.966088,18595.554418,28228.199791,1.001,0.050587,22894.709956,6014.631679,5791.818255,6798.516154
13,46,20860.429978,18596.763167,18595.681816,28228.2,1.001,0.005815,22884.53174,6014.631679,5783.615334,6798.516154
14,46,20862.779554,18598.986789,18595.688942,28228.199913,1.001,0.017731,22887.116273,6014.631679,5785.838956,6798.516154
15,46,20867.112379,18602.531882,18595.53459,28228.199997,1.001,0.037615,22891.882381,6014.631679,5789.384049,6798.516154
16,46,20879.218552,18613.03912,18595.455816,28228.19991,1.001,0.094468,22905.199171,6014.631679,5799.891287,6798.516154
17,46,20881.821598,18615.110397,18595.291604,28228.199996,1.001,0.106466,22908.062522,6014.631679,5801.962564,6798.516154
18,46,20859.622791,18596.068558,18595.688999,28228.2,1.001,0.002041,22883.643834,6014.631679,5782.920725,6798.516154
19,46,20864.119871,18600.055259,18595.633071,28228.199974,1.001,0.023775,22888.590622,6014.631679,5786.907426,6798.516154
20,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154
21,46,20864.742456,18600.507026,18595.648001,28228.199997,1.001,0.026123,22889.275465,6014.631679,5787.359193,6798.516154
22,45,20859.200232,18595.698398,18595.691845,28228.2,1.001,3.5e-05,22883.17902,6014.631679,5782.550565,6798.516154
23,46,20860.0289,18596.464265,18595.691844,28228.199999,1.001,0.004154,22884.090554,6014.631679,5783.316432,6798.516154
24,44,20859.193142,18595.691845,18595.691845,28228.2,1.001,0.0,22883.17122,6014.631679,5782.544012,6798.516154
