week,supplier_id,material,transporter,transport_volume_m3,loss_rate_pct,expected_received_m3
1,S229,A,T3,1574.55,0.0,1574.55
1,S275,A,T3,708.75,0.0,708.75
1,S329,A,T3,676.0,0.0,676.0
1,S282,A,T3,994.55,0.0,994.55
1,S352,A,T3,525.6,0.0,525.6
1,S143,A,T3,433.45,0.0,433.45
1,S266,A,T3,27.55,0.0,27.55
1,S123,A,T3,28.0,0.0,28.0
1,S348,A,T3,347.372745,0.0,347.372745
1,S189,A,T3,2.453642,0.0,2.453642
1,S307,A,T3,374.25,0.0,374.25
1,S395,A,T3,213.521959,0.0,213.521959
1,S005,A,T3,79.0,0.0,79.0
1,S007,A,T3,14.951654,0.0,14.951654
1,S007,A,T4,14.631679,0.0,14.631679
1,S108,B,T4,1003.958333,0.0,1003.958333
1,S340,B,T4,830.1,0.0,830.1
1,S131,B,T4,676.35,0.0,676.35
1,S140,B,T4,1285.0,0.0,1285.0
1,S308,B,T4,570.825,0.0,570.825
1,S330,B,T4,569.383333,0.0,569.383333
1,S031,B,T4,179.55,0.0,179.55
1,S346,B,T4,99.0,0.0,99.0
1,S040,B,T4,132.9375,0.0,132.9375
1,S139,B,T4,638.264155,0.0,638.264155
1,S139,B,T5,17.360845,0.0,17.360845
1,S367,B,T5,148.2,0.0,148.2
1,S364,B,T5,121.020833,0.0,121.020833
1,S361,C,T5,1488.2,0.0,1488.2
1,S268,C,T5,540.775,0.0,540.775
1,S306,C,T5,547.1,0.0,547.1
1,S194,C,T5,425.1,0.0,425.1
1,S151,C,T5,810.408333,0.0,810.408333
1,S356,C,T5,773.25,0.0,773.25
1,S247,C,T5,241.55,0.0,241.55
1,S365,C,T5,173.4625,0.0,173.4625
1,S294,C,T5,81.0,0.0,81.0
1,S284,C,T5,194.154167,0.0,194.154167
1,S218,C,T5,84.1,0.0,84.1
1,S244,C,T5,84.1,0.0,84.1
1,S080,C,T5,121.5,0.0,121.5
1,S067,C,T5,1.062747,0.0,1.062747
1,S314,C,T5,7.0,0.0,7.0
1,S003,C,T5,50.155977,0.0,50.155977
1,S213,C,T5,1.006135,0.0,1.006135
1,S076,C,T5,2.0,0.0,2.0
1,S374,C,T5,87.493463,0.0,87.493463
