week,supplier_count_used,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3,demand_satisfaction_ratio,weighted_loss_rate_pct,cost_proxy,A_supply_m3,B_supply_m3,C_supply_m3
1,46,20799.600541,18551.258819,18551.200385,28228.199991,1.001,0.000315,22877.119153,6014.631679,6271.949999,6264.677141
2,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714
3,46,20799.85666,18551.450637,18551.200278,28228.199842,1.001,0.00135,22877.375272,6014.631679,6271.949999,6264.868959
4,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714
5,46,20814.857326,18564.687491,18551.175184,28228.11813,1.000997,0.072785,22892.375938,6014.631679,6271.949999,6278.105813
6,46,20804.742055,18555.109505,18551.172668,28228.161495,1.000999,0.021217,22882.260667,6014.631679,6271.949999,6268.527827
7,46,20801.764868,18553.38072,18551.208727,28228.199853,1.001,0.011707,22879.28348,6014.631679,6271.949999,6266.799042
8,46,20799.716825,18551.345908,18551.200353,28228.199947,1.001,0.000785,22877.235437,6014.631679,6271.949999,6264.76423
9,46,20803.543651,18554.604692,18551.200582,28228.191073,1.001,0.018346,22881.062263,6014.631679,6271.949999,6268.023014
10,46,20821.246293,18571.765414,18551.376845,28228.161697,1.000999,0.109783,22898.764905,6014.631679,6271.949999,6285.183736
11,46,20806.531196,18557.73789,18551.305322,28228.193921,1.001,0.034662,22884.049808,6014.631679,6271.949999,6271.156212
12,46,20809.941917,18560.400742,18551.291225,28228.163885,1.000999,0.04908,22887.460529,6014.631679,6271.949999,6273.819064
13,46,20800.64665,18552.271121,18551.204185,28228.199914,1.001,0.005751,22878.165262,6014.631679,6271.949999,6265.689443
14,46,20803.517879,18554.257608,18551.187208,28228.18017,1.000999,0.016548,22881.036491,6014.631679,6271.949999,6267.67593
15,46,20806.965795,18558.402969,18551.480476,28228.197862,1.001,0.037301,22884.484407,6014.631679,6271.949999,6271.821291
16,46,20817.866481,18568.693437,18551.335631,28228.178302,1.000999,0.093479,22895.385093,6014.631679,6271.949999,6282.111759
17,46,20820.376652,18571.906855,18552.181252,28228.197059,1.001,0.106212,22897.895264,6014.631679,6271.949999,6285.325177
18,46,20799.931327,18551.571496,18551.20146,28228.199964,1.001,0.001995,22877.449939,6014.631679,6271.949999,6264.989818
19,46,20804.44491,18555.514049,18551.242856,28228.19103,1.001,0.023018,22881.963522,6014.631679,6271.949999,6268.932371
20,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714
21,46,20804.598443,18556.002302,18551.215686,28228.197831,1.001,0.025796,22882.117055,6014.631679,6271.949999,6269.420624
22,46,20799.530623,18551.206455,18551.200391,28228.2,1.001,3.3e-05,22877.049235,6014.631679,6271.949999,6264.624777
23,46,20800.475614,18551.914196,18551.199467,28228.198716,1.001,0.003853,22877.994226,6014.631679,6271.949999,6265.332518
24,45,20799.522528,18551.200392,18551.200392,28228.2,1.001,0.0,22877.04114,6014.631679,6271.949999,6264.618714
