week,supplier_id,material,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3
1,S229,A,1596.725321,1574.55,1574.55,2624.25
1,S275,A,706.948695,708.75,708.75,1181.25
1,S329,A,675.27408,676.0,676.0,1126.666667
1,S282,A,989.798965,994.55,994.55,1657.583333
1,S352,A,527.18789,525.6,525.6,876.0
1,S143,A,495.142814,433.45,433.45,722.416667
1,S266,A,23.750737,27.55,27.55,45.916667
1,S123,A,26.528139,28.0,28.0,46.666667
1,S348,A,628.094603,347.372745,347.372745,578.954575
1,S189,A,2.399833,2.453642,2.453642,4.089403
1,S307,A,488.095937,374.25,374.25,623.75
1,S395,A,296.835735,213.521959,213.521959,355.869932
1,S005,A,74.725408,79.0,79.0,131.666667
1,S007,A,28.595529,29.583333,29.583333,49.305555
1,S114,A,61.027872,45.744723,45.744723,76.241205
1,S046,A,1.126904,1.0,1.0,1.666667
1,S269,A,2.857143,1.0,1.0,1.666667
1,S211,A,0.895063,0.313272,0.313272,0.52212
1,S295,A,0.476191,0.166667,0.166667,0.277778
1,S291,A,61.104918,36.229167,36.229167,60.381945
1,S150,A,21.5,7.525,7.525,12.541667
1,S066,A,4.850519,2.0,2.0,3.333333
1,S273,A,158.14877,139.55,139.55,232.583333
1,S221,A,1.505102,2.0,2.0,3.333333
1,S064,A,5.714286,2.0,2.0,3.333333
1,S078,A,31.364471,26.46349,26.46349,44.105817
1,S299,A,0.595237,0.208333,0.208333,0.347222
1,S152,A,2.721106,3.0,3.0,5.0
1,S237,A,1.542683,2.0,2.0,3.333333
1,S115,A,3.974871,2.0,2.0,3.333333
1,S292,A,47.500583,39.333333,39.333333,65.555555
1,S157,A,5.714286,2.0,2.0,3.333333
1,S075,A,1.68718,2.0,2.0,3.333333
1,S304,A,0.809659,0.369318,0.369318,0.61553
1,S165,A,0.708617,0.248016,0.248016,0.41336
1,S154,A,187.498159,140.0,140.0,233.333333
1,S106,A,0.034347,0.043356,0.043356,0.07226
1,S053,A,0.040322,0.051747,0.051747,0.086245
1,S203,A,0.09838,0.104167,0.104167,0.173612
1,S318,A,3.150589,3.645833,3.645833,6.076388
1,S065,A,0.690477,0.604167,0.604167,1.006945
1,S219,A,0.342857,0.12,0.12,0.2
1,S016,A,0.046568,0.045343,0.045343,0.075572
1,S021,A,0.119049,0.041667,0.041667,0.069445
1,S178,A,0.888803,1.1875,1.1875,1.979167
1,S337,A,0.041667,0.041667,0.041667,0.069445
1,S265,A,2.276029,0.79661,0.79661,1.327683
1,S296,A,0.084596,0.078283,0.078283,0.130472
1,S128,A,0.051471,0.05433,0.05433,0.09055
1,S014,A,0.041666,0.036458,0.036458,0.060763
1,S274,A,0.193722,0.083333,0.083333,0.138888
1,S027,A,0.085391,0.083333,0.083333,0.138888
1,S052,A,0.105,0.09,0.09,0.15
1,S132,A,0.14881,0.125,0.125,0.208333
1,S122,A,0.046371,0.049059,0.049059,0.081765
1,S087,A,0.066358,0.049383,0.049383,0.082305
1,S309,A,0.122354,0.042824,0.042824,0.071373
1,S035,A,1.198485,0.763636,0.763636,1.272727
1,S312,A,0.173176,0.10026,0.10026,0.1671
1,S102,A,0.311906,0.109167,0.109167,0.181945
1,S002,A,1.697802,1.5,1.5,2.5
1,S049,A,0.116228,0.083333,0.083333,0.138888
1,S091,A,0.287672,0.166667,0.166667,0.277778
1,S255,A,0.055556,0.041667,0.041667,0.069445
1,S116,A,0.096666,0.083333,0.083333,0.138888
1,S056,A,0.067402,0.034314,0.034314,0.05719
1,S381,A,0.306548,0.299107,0.299107,0.498512
1,S196,A,0.061459,0.041667,0.041667,0.069445
1,S217,A,0.809952,0.583333,0.583333,0.972222
1,S038,A,0.178031,0.068182,0.068182,0.113637
1,S332,A,0.347826,0.276268,0.276268,0.460447
1,S317,A,0.476191,0.166667,0.166667,0.277778
1,S341,A,0.178571,0.0625,0.0625,0.104167
1,S145,A,0.267857,0.09375,0.09375,0.15625
1,S205,A,0.238094,0.083333,0.083333,0.138888
1,S278,A,0.14194,0.049679,0.049679,0.082798
1,S082,A,0.07716,0.044753,0.044753,0.074588
1,S243,A,0.171957,0.083333,0.083333,0.138888
1,S109,A,0.112783,0.039474,0.039474,0.06579
1,S242,A,0.178571,0.0625,0.0625,0.104167
1,S159,A,0.112145,0.095301,0.095301,0.158835
1,S163,A,0.652174,0.228261,0.228261,0.380435
1,S083,A,0.119049,0.041667,0.041667,0.069445
1,S187,A,0.135135,0.0625,0.0625,0.104167
1,S396,A,0.090477,0.031667,0.031667,0.052778
1,S185,A,0.29762,0.104167,0.104167,0.173612
1,S184,A,0.178571,0.0625,0.0625,0.104167
1,S043,A,0.128969,0.045139,0.045139,0.075232
1,S302,A,0.280951,0.098333,0.098333,0.163888
1,S130,A,0.357143,0.125,0.125,0.208333
1,S158,A,0.11012,0.038542,0.038542,0.064237
1,S198,A,0.146103,0.051136,0.051136,0.085227
1,S226,A,0.305147,0.245098,0.245098,0.408497
1,S096,A,0.155186,0.054315,0.054315,0.090525
1,S101,A,0.133334,0.046667,0.046667,0.077778
1,S354,A,0.147514,0.05163,0.05163,0.08605
1,S071,A,1.538394,0.895833,0.895833,1.493055
1,S148,A,0.390211,0.136574,0.136574,0.227623
1,S372,A,0.178571,0.0625,0.0625,0.104167
1,S394,A,1.714286,0.6,0.6,1.0
1,S051,A,0.11508,0.040278,0.040278,0.06713
1,S144,A,1.265626,0.5625,0.5625,0.9375
1,S104,A,2.142857,0.75,0.75,1.25
1,S119,A,0.575397,0.201389,0.201389,0.335648
1,S108,B,1131.020578,1003.958333,1003.958333,1521.148989
1,S340,B,832.879318,830.1,830.1,1257.727273
1,S131,B,685.542439,676.35,676.35,1024.772727
1,S140,B,2046.758476,1285.0,1285.0,1946.969697
1,S308,B,776.15851,570.825,570.825,864.886364
1,S330,B,720.750257,569.383333,569.383333,862.70202
1,S031,B,176.704701,179.55,179.55,272.045455
1,S346,B,105.262039,99.0,99.0,150.0
1,S040,B,134.833392,132.9375,132.9375,201.420455
1,S139,B,767.380997,655.625,655.625,993.371212
1,S367,B,155.543847,148.2,148.2,224.545455
1,S364,B,122.144193,121.020833,121.020833,183.364898
1,S055,B,133.979126,100.170833,100.170833,151.773989
1,S397,B,0.192308,0.166667,0.166667,0.252526
1,S180,B,0.244391,0.208333,0.208333,0.315656
1,S098,B,1.612591,2.0,2.0,3.030303
1,S366,B,0.241071,0.1875,0.1875,0.284091
1,S338,B,179.8682,141.875,141.875,214.962121
1,S224,B,1.13426,0.416667,0.416667,0.631314
1,S260,B,2.857143,1.0,1.0,1.515152
1,S176,B,0.357143,0.125,0.125,0.189394
1,S138,B,4.428571,1.55,1.55,2.348485
1,S214,B,0.357143,0.125,0.125,0.189394
1,S092,B,1.61809,2.0,2.0,3.030303
1,S392,B,2.461165,3.0,3.0,4.545455
1,S175,B,1.486339,2.0,2.0,3.030303
1,S360,B,2.138271,2.0,2.0,3.030303
1,S174,B,1.481481,2.0,2.0,3.030303
1,S172,B,1.041992,1.27474,1.27474,1.931424
1,S216,B,2.689411,3.0,3.0,4.545455
1,S256,B,1.456979,1.601118,1.601118,2.425936
1,S202,B,5.714286,2.0,2.0,3.030303
1,S258,B,2.975845,2.0,2.0,3.030303
1,S088,B,2.701177,2.0,2.0,3.030303
1,S324,B,1.599057,2.0,2.0,3.030303
1,S169,B,1.896519,2.55,2.55,3.863636
1,S376,B,4.184354,2.0,2.0,3.030303
1,S141,B,2.076429,2.55,2.55,3.863636
1,S310,B,1.630542,2.0,2.0,3.030303
1,S191,B,5.714286,2.0,2.0,3.030303
1,S197,B,3.316387,2.0,2.0,3.030303
1,S388,B,1.54762,0.541667,0.541667,0.820708
1,S146,B,3.728797,1.648915,1.648915,2.498356
1,S333,B,5.714286,2.0,2.0,3.030303
1,S054,B,1.843657,1.522861,1.522861,2.307365
1,S036,B,0.382653,0.47449,0.47449,0.718924
1,S069,B,0.666072,0.301786,0.301786,0.457252
1,S353,B,0.09038,0.104167,0.104167,0.157829
1,S050,B,0.080493,0.104167,0.104167,0.157829
1,S280,B,1.713491,0.599722,0.599722,0.90867
1,S233,B,0.807749,0.65424,0.65424,0.991273
1,S193,B,0.07,0.084167,0.084167,0.127526
1,S117,B,1.680329,0.588115,0.588115,0.891083
1,S386,B,0.055894,0.060467,0.060467,0.091617
1,S316,B,0.063406,0.0625,0.0625,0.094697
1,S286,B,0.041667,0.046528,0.046528,0.070497
1,S259,B,0.109723,0.046528,0.046528,0.070497
1,S230,B,0.178571,0.0625,0.0625,0.094697
1,S024,B,0.157929,0.083333,0.083333,0.126262
1,S389,B,0.238094,0.083333,0.083333,0.126262
1,S399,B,0.178571,0.0625,0.0625,0.094697
1,S322,B,0.267241,0.097701,0.097701,0.148032
1,S261,B,0.357143,0.125,0.125,0.189394
1,S120,B,0.057292,0.042969,0.042969,0.065105
1,S321,B,0.340909,0.375,0.375,0.568182
1,S249,B,0.29762,0.104167,0.104167,0.157829
1,S401,B,0.13752,0.048132,0.048132,0.072927
1,S048,B,0.074519,0.052083,0.052083,0.078914
1,S018,B,0.075941,0.044355,0.044355,0.067205
1,S311,B,0.124809,0.043683,0.043683,0.066186
1,S029,B,0.178571,0.0625,0.0625,0.094697
1,S235,B,0.413978,0.254032,0.254032,0.384897
1,S319,B,0.253457,0.08871,0.08871,0.134409
1,S134,B,0.147391,0.051587,0.051587,0.078162
1,S047,B,0.140306,0.049107,0.049107,0.074405
1,S248,B,0.136906,0.047917,0.047917,0.072602
1,S057,B,0.343749,0.142045,0.142045,0.21522
1,S004,B,0.11544,0.040404,0.040404,0.061218
1,S001,B,0.233334,0.081667,0.081667,0.123738
1,S385,B,0.394346,0.138021,0.138021,0.209123
1,S028,B,0.640351,0.464912,0.464912,0.704412
1,S166,B,0.119049,0.041667,0.041667,0.063132
1,S200,B,0.178571,0.0625,0.0625,0.094697
1,S118,B,0.238094,0.083333,0.083333,0.126262
1,S125,B,0.182291,0.063802,0.063802,0.09667
1,S045,B,0.092263,0.032292,0.032292,0.048927
1,S276,B,0.162909,0.057018,0.057018,0.086391
1,S371,B,0.267857,0.09375,0.09375,0.142045
1,S137,B,0.103383,0.036184,0.036184,0.054824
1,S335,B,0.165343,0.05787,0.05787,0.087682
1,S105,B,0.1475,0.1,0.1,0.151515
1,S179,B,0.131803,0.046131,0.046131,0.069895
1,S240,B,1.190476,0.583333,0.583333,0.883838
1,S077,B,1.385417,0.666667,0.666667,1.010102
1,S153,B,2.403846,0.841346,0.841346,1.274767
1,S361,C,1512.567462,1488.2,1488.2,2066.944444
1,S268,C,539.041443,540.775,540.775,751.076389
1,S306,C,545.295073,547.1,547.1,759.861111
1,S194,C,425.162924,425.1,425.1,590.416667
1,S151,C,1110.458721,810.408333,810.408333,1125.567129
1,S356,C,786.928389,773.25,773.25,1073.958333
1,S247,C,238.576384,241.55,241.55,335.486111
1,S365,C,170.666639,173.4625,173.456302,240.91153
1,S294,C,78.373394,81.0,80.991414,112.488075
1,S284,C,189.645905,194.154167,194.133587,269.629981
1,S218,C,80.064204,84.1,84.091085,116.793174
1,S244,C,87.150078,84.1,84.091085,116.793174
1,S080,C,119.245193,121.5,121.487121,168.732112
1,S067,C,0.830128,1.062747,1.062634,1.475881
1,S314,C,12.910175,7.0,6.999258,9.721192
1,S003,C,54.511915,50.155977,50.15066,69.653695
1,S213,C,0.764826,1.006135,1.006028,1.397262
1,S076,C,1.481481,2.0,1.999788,2.777483
1,S374,C,965.407461,977.541667,977.438048,1357.552844
1,S037,C,260.434251,195.049628,195.028953,270.873545
1,S239,C,1.882183,1.54454,1.544376,2.144967
1,S339,C,0.416666,0.145833,0.145818,0.202524
1,S362,C,0.338164,0.384662,0.384621,0.534196
1,S086,C,147.25552,87.708333,87.699036,121.804217
1,S025,C,1.648,2.0,1.999788,2.777483
1,S351,C,0.153716,0.173423,0.173405,0.24084
1,S113,C,1.182705,1.46412,1.463965,2.033284
1,S110,C,1.99061,2.0,1.999788,2.777483
1,S263,C,2.210773,2.0,1.999788,2.777483
1,S186,C,5.714286,2.0,1.999788,2.777483
1,S059,C,0.476191,0.166667,0.166649,0.231457
1,S129,C,11.602707,7.354167,7.353387,10.213038
1,S074,C,103.385559,41.340887,41.336505,57.411812
1,S270,C,0.294181,0.297414,0.297382,0.413031
1,S234,C,0.714286,0.25,0.249973,0.347185
1,S245,C,2.289473,1.534265,1.534102,2.130698
1,S126,C,242.279944,87.069597,87.060368,120.917177
1,S210,C,248.551777,112.729167,112.717218,156.551691
1,S267,C,0.9447,0.330645,0.33061,0.45918
1,S253,C,0.708946,0.888174,0.88808,1.233444
1,S149,C,1.003902,1.229167,1.229037,1.706995
1,S331,C,0.833334,0.291667,0.291636,0.40505
1,S023,C,16.788846,5.876096,5.875473,8.160379
1,S342,C,0.327381,0.416667,0.416623,0.578643
1,S301,C,0.056452,0.059812,0.059806,0.083063
1,S070,C,0.149038,0.073718,0.07371,0.102375
1,S133,C,0.053697,0.0625,0.062493,0.086796
1,S349,C,0.086957,0.076087,0.076079,0.105665
1,S236,C,0.041666,0.036458,0.036454,0.050631
1,S379,C,0.126736,0.144097,0.144082,0.200114
1,S359,C,0.116793,0.054293,0.054287,0.075399
1,S060,C,0.370833,0.358333,0.358295,0.497632
1,S279,C,0.178571,0.0625,0.062493,0.086796
