supplier_id,material,importance_score,rank,total_supplied_m3,total_product_equivalent_m3,robust_weekly_supply_m3,robust_weekly_product_m3,fulfillment_ratio,reliability_score,stability_score,active_week_ratio,unit_raw_cost_index,raw_per_product_m3
S229,A,0.96091,1,354887.0,591478.333333,1574.55,2624.25,0.986112,0.987771,0.759783,1.0,1.2,0.6
S361,C,0.881942,2,328080.0,455666.666667,1488.2,2066.944444,0.98389,0.985577,0.772785,1.0,1.0,0.72
S275,A,0.78167,3,158553.0,264255.0,708.75,1181.25,1.002548,0.990384,0.851445,1.0,1.2,0.6
S329,A,0.778287,4,156518.0,260863.333333,676.0,1126.666667,1.001075,0.988349,0.845668,1.0,1.2,0.6
S282,A,0.760721,5,169340.0,282233.333333,994.55,1657.583333,1.0048,0.98706,0.646402,1.0,1.2,0.6
S268,C,0.736047,6,129786.0,180258.333333,540.775,751.076389,1.003216,0.986994,0.884324,1.0,1.0,0.72
S306,C,0.723157,7,126096.0,175133.333333,547.1,759.861111,1.00331,0.986533,0.819379,1.0,1.0,0.72
S194,C,0.710634,8,101365.0,140784.722222,425.1,590.416667,0.999852,0.982048,0.878882,1.0,1.0,0.72
S151,C,0.698317,9,194498.0,270136.111111,810.408333,1125.56713,0.729796,0.969135,0.307971,1.0,1.0,0.72
S356,C,0.691707,10,130307.0,180981.944444,773.25,1073.958333,0.982618,0.975105,0.605686,1.0,1.0,0.72
S352,A,0.689214,11,89031.0,148385.0,525.6,876.0,0.996988,0.973663,0.720072,1.0,1.2,0.6
S108,B,0.676809,12,240950.0,365075.757576,1003.958333,1521.14899,0.887657,0.972646,0.450851,1.0,1.1,0.66
S340,B,0.673004,13,171426.0,259736.363636,830.1,1257.727273,0.996663,0.986672,0.817689,1.0,1.1,0.66
S247,C,0.672102,14,56698.0,78747.222222,241.55,335.486111,1.012464,0.975898,0.876997,1.0,1.0,0.72
S143,A,0.645633,15,82787.0,137978.333333,433.45,722.416667,0.875404,0.921907,0.556847,1.0,1.2,0.6
S131,B,0.636575,16,137512.0,208351.515152,676.35,1024.772727,0.986591,0.974765,0.797395,1.0,1.1,0.66
S365,C,0.635223,17,41631.0,57820.833333,173.4625,240.920139,1.016382,0.966458,0.729429,1.0,1.0,0.72
S140,B,0.631799,18,302047.0,457646.969697,1285.0,1946.969697,0.627822,0.757031,0.232427,0.9125,1.1,0.66
S294,C,0.625237,19,18842.0,26169.444444,81.0,112.5,1.033514,0.925888,0.855343,1.0,1.0,0.72
S284,C,0.610839,20,46597.0,64718.055556,194.154167,269.658565,1.023772,0.962468,0.546311,1.0,1.0,0.72
S308,B,0.588374,21,136998.0,207572.727273,570.825,864.886364,0.735449,0.955099,0.511902,1.0,1.1,0.66
S330,B,0.582389,22,136652.0,207048.484848,569.383333,862.70202,0.789987,0.96442,0.458539,1.0,1.1,0.66
S218,C,0.578605,23,15483.0,21504.166667,84.1,116.805556,1.050407,0.878792,0.641364,1.0,1.0,0.72
S266,A,0.578585,24,6519.0,10865.0,27.55,45.916667,1.159964,0.753391,0.892207,1.0,1.2,0.6
S244,C,0.578359,25,16406.0,22786.111111,84.1,116.805556,0.965002,0.866167,0.655704,1.0,1.0,0.72
S080,C,0.570533,26,19237.0,26718.055556,121.5,168.75,1.018909,0.867411,0.585946,1.0,1.0,0.72
S123,A,0.560418,27,6449.0,10748.333333,28.0,46.666667,1.055483,0.780809,0.725856,1.0,1.2,0.6
S031,B,0.553958,28,41207.0,62434.848485,179.55,272.045455,1.016102,0.962402,0.842889,1.0,1.1,0.66
