week,supplier_id,material,transporter,transport_volume_m3,loss_rate_pct,expected_received_m3
1,S229,A,T3,1574.55,0.0,1574.55
1,S275,A,T3,708.75,0.0,708.75
1,S329,A,T3,676.0,0.0,676.0
1,S282,A,T3,994.55,0.0,994.55
1,S352,A,T3,525.6,0.0,525.6
1,S143,A,T3,433.45,0.0,433.45
1,S266,A,T3,27.55,0.0,27.55
1,S123,A,T3,28.0,0.0,28.0
1,S348,A,T3,347.372745,0.0,347.372745
1,S189,A,T3,2.453642,0.0,2.453642
1,S307,A,T3,374.25,0.0,374.25
1,S395,A,T3,213.521959,0.0,213.521959
1,S005,A,T3,79.0,0.0,79.0
1,S007,A,T3,14.951654,0.0,14.951654
1,S007,A,T4,14.631679,0.0,14.631679
1,S114,A,T4,45.744723,0.0,45.744723
1,S046,A,T4,1.0,0.0,1.0
1,S269,A,T4,1.0,0.0,1.0
1,S211,A,T4,0.313272,0.0,0.313272
1,S295,A,T4,0.166667,0.0,0.166667
1,S291,A,T4,36.229167,0.0,36.229167
1,S150,A,T4,7.525,0.0,7.525
1,S066,A,T4,2.0,0.0,2.0
1,S273,A,T4,139.55,0.0,139.55
1,S221,A,T4,2.0,0.0,2.0
1,S064,A,T4,2.0,0.0,2.0
1,S078,A,T4,26.46349,0.0,26.46349
1,S299,A,T4,0.208333,0.0,0.208333
1,S152,A,T4,3.0,0.0,3.0
1,S237,A,T4,2.0,0.0,2.0
1,S115,A,T4,2.0,0.0,2.0
1,S292,A,T4,39.333333,0.0,39.333333
1,S157,A,T4,2.0,0.0,2.0
1,S075,A,T4,2.0,0.0,2.0
1,S304,A,T4,0.369318,0.0,0.369318
1,S165,A,T4,0.248016,0.0,0.248016
1,S154,A,T4,140.0,0.0,140.0
1,S106,A,T4,0.043356,0.0,0.043356
1,S053,A,T4,0.051747,0.0,0.051747
1,S203,A,T4,0.104167,0.0,0.104167
1,S318,A,T4,3.645833,0.0,3.645833
1,S065,A,T4,0.604167,0.0,0.604167
1,S219,A,T4,0.12,0.0,0.12
1,S016,A,T4,0.045343,0.0,0.045343
1,S021,A,T4,0.041667,0.0,0.041667
1,S178,A,T4,1.1875,0.0,1.1875
1,S337,A,T4,0.041667,0.0,0.041667
