week,supplier_count_used,order_volume_m3,expected_supply_m3,expected_received_m3,product_equivalent_m3,demand_satisfaction_ratio,weighted_loss_rate_pct,cost_proxy,A_supply_m3,B_supply_m3,C_supply_m3
1,285,23233.720564,20223.280417,20223.044749,30719.200748,1.089333,0.001165,25477.633601,6486.624978,6572.002728,7164.652711
2,285,23233.720564,20223.280417,20223.280417,30719.528064,1.089345,0.0,25477.633601,6486.624978,6572.002728,7164.652711
3,285,23233.720564,20223.280417,20222.271048,30718.126162,1.089295,0.004991,25477.633601,6486.624978,6572.002728,7164.652711
4,285,23233.720564,20223.280417,20223.280417,30719.528064,1.089345,0.0,25477.633601,6486.624978,6572.002728,7164.652711
5,285,23233.720564,20223.280417,20192.901878,30677.162553,1.087843,0.150216,25477.633601,6486.624978,6572.002728,7164.652711
6,285,23233.720564,20223.280417,20207.512912,30697.628752,1.088568,0.077967,25477.633601,6486.624978,6572.002728,7164.652711
7,285,23233.720564,20223.280417,20220.420425,30715.512546,1.089203,0.014142,25477.633601,6486.624978,6572.002728,7164.652711
8,285,23233.720564,20223.280417,20222.693471,30718.712861,1.089316,0.002902,25477.633601,6486.624978,6572.002728,7164.652711
9,285,23233.720564,20223.280417,20214.219496,30706.909501,1.088898,0.044804,25477.633601,6486.624978,6572.002728,7164.652711
10,285,23233.720564,20223.280417,20191.694576,30675.113793,1.08777,0.156186,25477.633601,6486.624978,6572.002728,7164.652711
11,285,23233.720564,20223.280417,20212.259279,30703.993956,1.088794,0.054497,25477.633601,6486.624978,6572.002728,7164.652711
12,285,23233.720564,20223.280417,20202.896576,30690.973304,1.088332,0.100794,25477.633601,6486.624978,6572.002728,7164.652711
13,285,23233.720564,20223.280417,20221.672074,30717.274472,1.089265,0.007953,25477.633601,6486.624978,6572.002728,7164.652711
14,285,23233.720564,20223.280417,20211.723036,30703.470532,1.088776,0.057149,25477.633601,6486.624978,6572.002728,7164.652711
15,285,23233.720564,20223.280417,20213.535957,30705.521483,1.088848,0.048184,25477.633601,6486.624978,6572.002728,7164.652711
16,285,23233.720564,20223.280417,20197.509036,30683.294311,1.08806,0.127434,25477.633601,6486.624978,6572.002728,7164.652711
17,285,23233.720564,20223.280417,20199.992801,30685.576633,1.088141,0.115153,25477.633601,6486.624978,6572.002728,7164.652711
18,285,23233.720564,20223.280417,20222.552635,30718.511642,1.089309,0.003599,25477.633601,6486.624978,6572.002728,7164.652711
19,285,23233.720564,20223.280417,20213.355496,30705.638628,1.088852,0.049077,25477.633601,6486.624978,6572.002728,7164.652711
20,285,23233.720564,20223.280417,20223.280417,30719.528064,1.089345,0.0,25477.633601,6486.624978,6572.002728,7164.652711
21,285,23233.720564,20223.280417,20215.78114,30709.02592,1.088973,0.037082,25477.633601,6486.624978,6572.002728,7164.652711
22,285,23233.720564,20223.280417,20223.255961,30719.494097,1.089344,0.000121,25477.633601,6486.624978,6572.002728,7164.652711
23,285,23233.720564,20223.280417,20220.401269,30715.529247,1.089203,0.014237,25477.633601,6486.624978,6572.002728,7164.652711
24,285,23233.720564,20223.280417,20223.280417,30719.528064,1.089345,0.0,25477.633601,6486.624978,6572.002728,7164.652711
