point_id,x,y,distance_to_fit_center
1,6.363158,-0.75356,8.017493
2,6.24719,0.220649,7.95821
3,6.006484,1.34841,7.937152
4,5.665857,2.3216,7.929929
5,5.187369,3.172554,7.875375
6,4.689665,4.130834,7.990786
7,3.970119,4.835496,7.91106
8,3.168369,5.570285,7.932504
9,2.394173,6.197991,8.022306
10,1.422329,6.585578,7.934222
11,0.340535,7.005044,7.986052
12,-0.675676,7.187705,7.975823
13,-1.62577,7.222575,7.950478
14,-2.641565,7.181481,7.970713
15,-3.750947,6.94196,7.951224
16,-4.765281,6.655285,8.011801
17,-5.598168,6.177044,7.951838
18,-6.477956,5.639113,7.987864
19,-7.232683,4.856686,7.893383
20,-7.938526,4.197296,7.984276
21,-8.465738,3.269911,7.897967
22,-9.107403,2.288569,8.040375
23,-9.241244,1.387138,7.87623
24,-9.475914,0.202665,7.876776
25,-9.668838,-0.759374,8.014606
26,-9.454152,-1.757546,7.867531
27,-9.385863,-2.787923,8.001315
28,-9.039482,-3.810018,8.002546
29,-8.525608,-4.795899,7.985234
30,-7.999569,-5.493107,7.935374
31,-7.294818,-6.392249,7.993803
32,-6.513373,-6.986122,7.923168
33,-5.600044,-7.68198,7.995551
34,-4.676497,-8.093559,7.961616
35,-3.725105,-8.51666,8.05939
36,-2.637574,-8.636933,7.969968
37,-1.663722,-8.637303,7.909456
38,-0.475633,-8.56648,7.926747
39,0.433958,-8.362051,7.914656
40,1.39241,-8.120899,7.996221
41,2.266691,-7.54864,7.867481
42,3.183215,-7.031499,7.945908
43,3.987573,-6.336944,7.955663
44,4.681099,-5.496808,7.9297
45,5.271229,-4.677344,7.972537
46,5.709141,-3.806287,7.981036
47,6.027684,-2.816541,7.960868
48,6.313084,-1.73308,8.030542
