round,sender,receiver,message_origin,receiver_has_after_round,section,N,K_min,total_transmissions
1,1,2,1,"2, plus message 1",,,,
1,2,3,2,"3, plus message 2",,,,
1,3,4,3,"4, plus message 3",,,,
1,4,5,4,"5, plus message 4",,,,
1,5,6,5,"6, plus message 5",,,,
1,6,7,6,"7, plus message 6",,,,
1,7,8,7,"8, plus message 7",,,,
1,8,9,8,"9, plus message 8",,,,
1,9,1,9,"1, plus message 9",,,,
2,1,3,1,"3, plus message 1",,,,
2,2,4,2,"4, plus message 2",,,,
2,3,5,3,"5, plus message 3",,,,
2,4,6,4,"6, plus message 4",,,,
2,5,7,5,"7, plus message 5",,,,
2,6,8,6,"8, plus message 6",,,,
2,7,9,7,"9, plus message 7",,,,
2,8,1,8,"1, plus message 8",,,,
2,9,2,9,"2, plus message 9",,,,
3,1,4,1,"4, plus message 1",,,,
3,2,5,2,"5, plus message 2",,,,
3,3,6,3,"6, plus message 3",,,,
3,4,7,4,"7, plus message 4",,,,
3,5,8,5,"8, plus message 5",,,,
3,6,9,6,"9, plus message 6",,,,
3,7,1,7,"1, plus message 7",,,,
3,8,2,8,"2, plus message 8",,,,
3,9,3,9,"3, plus message 9",,,,
4,1,5,1,"5, plus message 1",,,,
4,2,6,2,"6, plus message 2",,,,
4,3,7,3,"7, plus message 3",,,,
4,4,8,4,"8, plus message 4",,,,
4,5,9,5,"9, plus message 5",,,,
4,6,1,6,"1, plus message 6",,,,
4,7,2,7,"2, plus message 7",,,,
4,8,3,8,"3, plus message 8",,,,
4,9,4,9,"4, plus message 9",,,,
5,1,6,1,"6, plus message 1",,,,
5,2,7,2,"7, plus message 2",,,,
5,3,8,3,"8, plus message 3",,,,
5,4,9,4,"9, plus message 4",,,,
5,5,1,5,"1, plus message 5",,,,
5,6,2,6,"2, plus message 6",,,,
5,7,3,7,"3, plus message 7",,,,
5,8,4,8,"4, plus message 8",,,,
5,9,5,9,"5, plus message 9",,,,
6,1,7,1,"7, plus message 1",,,,
6,2,8,2,"8, plus message 2",,,,
6,3,9,3,"9, plus message 3",,,,
6,4,1,4,"1, plus message 4",,,,
6,5,2,5,"2, plus message 5",,,,
6,6,3,6,"3, plus message 6",,,,
6,7,4,7,"4, plus message 7",,,,
6,8,5,8,"5, plus message 8",,,,
6,9,6,9,"6, plus message 9",,,,
7,1,8,1,"8, plus message 1",,,,
7,2,9,2,"9, plus message 2",,,,
7,3,1,3,"1, plus message 3",,,,
7,4,2,4,"2, plus message 4",,,,
7,5,3,5,"3, plus message 5",,,,
7,6,4,6,"4, plus message 6",,,,
7,7,5,7,"5, plus message 7",,,,
7,8,6,8,"6, plus message 8",,,,
7,9,7,9,"7, plus message 9",,,,
8,1,9,1,"9, plus message 1",,,,
8,2,1,2,"1, plus message 2",,,,
8,3,2,3,"2, plus message 3",,,,
8,4,3,4,"3, plus message 4",,,,
8,5,4,5,"4, plus message 5",,,,
8,6,5,6,"5, plus message 6",,,,
8,7,6,7,"6, plus message 7",,,,
8,8,7,8,"7, plus message 8",,,,
8,9,8,9,"8, plus message 9",,,,
,,,,,K_min_relation,5,4,20
,,,,,K_min_relation,6,5,30
,,,,,K_min_relation,7,6,42
,,,,,K_min_relation,8,7,56
,,,,,K_min_relation,9,8,72
,,,,,K_min_relation,10,9,90
,,,,,K_min_relation,11,10,110
,,,,,K_min_relation,12,11,132
,,,,,K_min_relation,13,12,156
,,,,,K_min_relation,14,13,182
,,,,,K_min_relation,15,14,210
,,,,,K_min_relation,16,15,240
,,,,,K_min_relation,17,16,272
,,,,,K_min_relation,18,17,306
,,,,,K_min_relation,19,18,342
,,,,,K_min_relation,20,19,380
