round,sender,receiver,message_origin,team,repeat_index,slot_index,section,K,threshold,required_repeats,N_max
1,1a,1,1a,1,1,1,,,,,
1,1b,1,1b,1,2,2,,,,,
1,2a,1,2a,2,1,1,,,,,
1,2b,1,2b,2,2,2,,,,,
1,3a,1,3a,3,1,1,,,,,
1,3b,1,3b,3,2,2,,,,,
1,4a,1,4a,4,1,1,,,,,
1,4b,1,4b,4,2,2,,,,,
1,5a,1,5a,5,1,1,,,,,
1,5b,1,5b,5,2,2,,,,,
1,6a,1,6a,6,1,1,,,,,
1,6b,1,6b,6,2,2,,,,,
1,7a,1,7a,7,1,1,,,,,
1,7b,1,7b,7,2,2,,,,,
2,1a,2,1a,1,1,3,,,,,
2,1b,2,1b,1,2,4,,,,,
2,2a,2,2a,2,1,3,,,,,
2,2b,2,2b,2,2,4,,,,,
2,3a,2,3a,3,1,3,,,,,
2,3b,2,3b,3,2,4,,,,,
2,4a,2,4a,4,1,3,,,,,
2,4b,2,4b,4,2,4,,,,,
2,5a,2,5a,5,1,3,,,,,
2,5b,2,5b,5,2,4,,,,,
2,6a,2,6a,6,1,3,,,,,
2,6b,2,6b,6,2,4,,,,,
2,7a,2,7a,7,1,3,,,,,
2,7b,2,7b,7,2,4,,,,,
3,1a,3,1a,1,1,5,,,,,
3,1b,3,1b,1,2,6,,,,,
3,2a,3,2a,2,1,5,,,,,
3,2b,3,2b,2,2,6,,,,,
3,3a,3,3a,3,1,5,,,,,
3,3b,3,3b,3,2,6,,,,,
3,4a,3,4a,4,1,5,,,,,
3,4b,3,4b,4,2,6,,,,,
3,5a,3,5a,5,1,5,,,,,
3,5b,3,5b,5,2,6,,,,,
3,6a,3,6a,6,1,5,,,,,
3,6b,3,6b,6,2,6,,,,,
3,7a,3,7a,7,1,5,,,,,
3,7b,3,7b,7,2,6,,,,,
4,1a,4,1a,1,1,7,,,,,
4,1b,4,1b,1,2,8,,,,,
4,2a,4,2a,2,1,7,,,,,
4,2b,4,2b,2,2,8,,,,,
4,3a,4,3a,3,1,7,,,,,
4,3b,4,3b,3,2,8,,,,,
4,4a,4,4a,4,1,7,,,,,
4,4b,4,4b,4,2,8,,,,,
4,5a,4,5a,5,1,7,,,,,
4,5b,4,5b,5,2,8,,,,,
4,6a,4,6a,6,1,7,,,,,
4,6b,4,6b,6,2,8,,,,,
4,7a,4,7a,7,1,7,,,,,
4,7b,4,7b,7,2,8,,,,,
5,1a,5,1a,1,1,9,,,,,
5,1b,5,1b,1,2,10,,,,,
5,2a,5,2a,2,1,9,,,,,
5,2b,5,2b,2,2,10,,,,,
5,3a,5,3a,3,1,9,,,,,
5,3b,5,3b,3,2,10,,,,,
5,4a,5,4a,4,1,9,,,,,
5,4b,5,4b,4,2,10,,,,,
5,5a,5,5a,5,1,9,,,,,
5,5b,5,5b,5,2,10,,,,,
5,6a,5,6a,6,1,9,,,,,
5,6b,5,6b,6,2,10,,,,,
5,7a,5,7a,7,1,9,,,,,
5,7b,5,7b,7,2,10,,,,,
6,1a,6,1a,1,1,11,,,,,
6,1b,6,1b,1,2,12,,,,,
6,2a,6,2a,2,1,11,,,,,
6,2b,6,2b,2,2,12,,,,,
6,3a,6,3a,3,1,11,,,,,
6,3b,6,3b,3,2,12,,,,,
6,4a,6,4a,4,1,11,,,,,
6,4b,6,4b,4,2,12,,,,,
6,5a,6,5a,5,1,11,,,,,
6,5b,6,5b,5,2,12,,,,,
6,6a,6,6a,6,1,11,,,,,
6,6b,6,6b,6,2,12,,,,,
6,7a,6,7a,7,1,11,,,,,
6,7b,6,7b,7,2,12,,,,,
7,1a,7,1a,1,1,13,,,,,
7,1b,7,1b,1,2,14,,,,,
7,2a,7,2a,2,1,13,,,,,
7,2b,7,2b,2,2,14,,,,,
7,3a,7,3a,3,1,13,,,,,
7,3b,7,3b,3,2,14,,,,,
7,4a,7,4a,4,1,13,,,,,
7,4b,7,4b,4,2,14,,,,,
7,5a,7,5a,5,1,13,,,,,
7,5b,7,5b,5,2,14,,,,,
7,6a,7,6a,6,1,13,,,,,
7,6b,7,6b,6,2,14,,,,,
7,7a,7,7a,7,1,13,,,,,
7,7b,7,7b,7,2,14,,,,,
,,,,,,,Nmax_relation,5,0.9,2,5
,,,,,,,Nmax_relation,6,0.9,2,6
,,,,,,,Nmax_relation,7,0.9,2,7
,,,,,,,Nmax_relation,8,0.9,2,8
,,,,,,,Nmax_relation,9,0.9,2,9
,,,,,,,Nmax_relation,10,0.9,2,10
,,,,,,,Nmax_relation,11,0.9,2,11
,,,,,,,Nmax_relation,12,0.9,2,12
,,,,,,,Nmax_relation,13,0.9,2,13
,,,,,,,Nmax_relation,14,0.9,2,14
,,,,,,,Nmax_relation,15,0.9,2,15
