section,round,sender,receiver,message_origin,receiver_has_after_round,team,repeat_index,slot_index
table1_main,1,1,2,1,"2, plus message 1",,,
table1_main,1,2,3,2,"3, plus message 2",,,
table1_main,1,3,4,3,"4, plus message 3",,,
table1_main,1,4,5,4,"5, plus message 4",,,
table1_main,1,5,1,5,"1, plus message 5",,,
table1_main,2,1,3,1,"3, plus message 1",,,
table1_main,2,2,4,2,"4, plus message 2",,,
table1_main,2,3,5,3,"5, plus message 3",,,
table1_main,2,4,1,4,"1, plus message 4",,,
table1_main,2,5,2,5,"2, plus message 5",,,
table1_main,3,1,4,1,"4, plus message 1",,,
table1_main,3,2,5,2,"5, plus message 2",,,
table1_main,3,3,1,3,"1, plus message 3",,,
table1_main,3,4,2,4,"2, plus message 4",,,
table1_main,3,5,3,5,"3, plus message 5",,,
table1_main,4,1,5,1,"5, plus message 1",,,
table1_main,4,2,1,2,"1, plus message 2",,,
table1_main,4,3,2,3,"2, plus message 3",,,
table1_main,4,4,3,4,"3, plus message 4",,,
table1_main,4,5,4,5,"4, plus message 5",,,
table2_sub,1,1a,1,1a,,1,1,1
table2_sub,1,1b,1,1b,,1,2,2
table2_sub,1,2a,1,2a,,2,1,1
table2_sub,1,2b,1,2b,,2,2,2
table2_sub,1,3a,1,3a,,3,1,1
table2_sub,1,3b,1,3b,,3,2,2
table2_sub,1,4a,1,4a,,4,1,1
table2_sub,1,4b,1,4b,,4,2,2
table2_sub,1,5a,1,5a,,5,1,1
table2_sub,1,5b,1,5b,,5,2,2
table2_sub,2,1a,1,1a,,1,3,3
table2_sub,2,1b,2,1b,,1,1,4
table2_sub,2,2a,1,2a,,2,3,3
table2_sub,2,2b,2,2b,,2,1,4
table2_sub,2,3a,1,3a,,3,3,3
table2_sub,2,3b,2,3b,,3,1,4
table2_sub,2,4a,1,4a,,4,3,3
table2_sub,2,4b,2,4b,,4,1,4
table2_sub,2,5a,1,5a,,5,3,3
table2_sub,2,5b,2,5b,,5,1,4
table2_sub,3,1a,2,1a,,1,2,5
table2_sub,3,1b,2,1b,,1,3,6
table2_sub,3,2a,2,2a,,2,2,5
table2_sub,3,2b,2,2b,,2,3,6
table2_sub,3,3a,2,3a,,3,2,5
table2_sub,3,3b,2,3b,,3,3,6
table2_sub,3,4a,2,4a,,4,2,5
table2_sub,3,4b,2,4b,,4,3,6
table2_sub,3,5a,2,5a,,5,2,5
table2_sub,3,5b,2,5b,,5,3,6
table2_sub,4,1a,3,1a,,1,1,7
table2_sub,4,1b,3,1b,,1,2,8
table2_sub,4,2a,3,2a,,2,1,7
table2_sub,4,2b,3,2b,,2,2,8
table2_sub,4,3a,3,3a,,3,1,7
table2_sub,4,3b,3,3b,,3,2,8
table2_sub,4,4a,3,4a,,4,1,7
table2_sub,4,4b,3,4b,,4,2,8
table2_sub,4,5a,3,5a,,5,1,7
table2_sub,4,5b,3,5b,,5,2,8
table2_sub,5,1a,3,1a,,1,3,9
table2_sub,5,1b,4,1b,,1,1,10
table2_sub,5,2a,3,2a,,2,3,9
table2_sub,5,2b,4,2b,,2,1,10
table2_sub,5,3a,3,3a,,3,3,9
table2_sub,5,3b,4,3b,,3,1,10
table2_sub,5,4a,3,4a,,4,3,9
table2_sub,5,4b,4,4b,,4,1,10
table2_sub,5,5a,3,5a,,5,3,9
table2_sub,5,5b,4,5b,,5,1,10
table2_sub,6,1a,4,1a,,1,2,11
table2_sub,6,1b,4,1b,,1,3,12
table2_sub,6,2a,4,2a,,2,2,11
table2_sub,6,2b,4,2b,,2,3,12
table2_sub,6,3a,4,3a,,3,2,11
table2_sub,6,3b,4,3b,,3,3,12
table2_sub,6,4a,4,4a,,4,2,11
table2_sub,6,4b,4,4b,,4,3,12
table2_sub,6,5a,4,5a,,5,2,11
table2_sub,6,5b,4,5b,,5,3,12
table2_sub,7,1a,5,1a,,1,1,13
table2_sub,7,1b,5,1b,,1,2,14
table2_sub,7,2a,5,2a,,2,1,13
table2_sub,7,2b,5,2b,,2,2,14
table2_sub,7,3a,5,3a,,3,1,13
table2_sub,7,3b,5,3b,,3,2,14
table2_sub,7,4a,5,4a,,4,1,13
table2_sub,7,4b,5,4b,,4,2,14
table2_sub,7,5a,5,5a,,5,1,13
table2_sub,7,5b,5,5b,,5,2,14
table2_sub,8,1a,5,1a,,1,3,15
table2_sub,8,2a,5,2a,,2,3,15
table2_sub,8,3a,5,3a,,3,3,15
table2_sub,8,4a,5,4a,,4,3,15
table2_sub,8,5a,5,5a,,5,3,15
