option,score,rank
1,0.0,40
2,0.999915,39
3,0.999915,38
4,0.999915,37
5,0.999916,36
6,0.999918,35
7,0.999918,34
8,0.999918,33
9,0.999918,32
10,0.999918,31
11,0.999918,30
12,0.999931,29
13,0.999931,28
14,0.999934,27
15,0.999934,26
16,0.999934,25
17,0.999937,24
18,0.999937,23
19,0.999937,22
20,0.999937,21
21,0.999937,20
22,0.999937,19
23,0.999937,18
24,0.999937,17
25,0.999937,16
26,0.999937,15
27,0.999937,14
28,0.999949,13
29,0.99999,12
30,0.99999,11
31,0.99999,10
32,0.99999,9
33,0.999997,2
34,0.999991,8
35,0.999991,7
36,0.999991,5
37,0.999991,6
38,0.999991,4
39,0.999991,3
40,1.0,1
