x,observed_y,predicted_y,residual
0.0,1.0,205.422359,-204.422359
310.0,311.0,333.744434,-22.744434
314.0,315.0,337.417246,-22.417246
211.0,212.0,259.217962,-47.217962
193.0,194.0,249.049775,-55.049775
328.0,329.0,350.676782,-21.676782
337.0,338.0,359.533197,-21.533197
158.0,159.0,232.257294,-73.257294
235.0,236.0,274.394318,-38.394318
201.0,202.0,253.440495,-51.440495
340.0,341.0,362.543148,-21.543148
215.0,216.0,261.61888,-45.61888
203.0,204.0,254.570293,-50.570293
154.0,155.0,230.588678,-75.588678
312.0,313.0,335.574416,-22.574416
342.0,343.0,364.565842,-21.565842
300.0,301.0,324.787233,-23.787233
191.0,192.0,247.984213,-55.984213
308.0,309.0,331.927299,-22.927299
207.0,208.0,256.868433,-48.868433
189.0,190.0,246.931499,-56.931499
195.0,196.0,250.128184,-54.128184
170.0,484.0,237.571481,246.428519
213.0,214.0,260.411997,-46.411997
303.0,304.0,327.440669,-23.440669
168.0,169.0,236.653664,-67.653664
209.0,210.0,258.036773,-48.036773
197.0,198.0,251.21944,-53.21944
217.0,218.0,262.83861,-44.83861
183.0,184.0,243.850442,-59.850442
219.0,220.0,264.071188,-44.071188
221.0,222.0,265.316614,-43.316614
181.0,182.0,242.849117,-60.849117
223.0,224.0,266.574886,-42.574886
171.0,172.0,238.035206,-66.035206
225.0,226.0,267.846006,-41.846006
227.0,228.0,269.129974,-41.129974
229.0,230.0,270.426788,-40.426788
316.0,317.0,339.272923,-22.272923
318.0,319.0,341.141448,-22.141448
335.0,336.0,357.542622,-21.542622
233.0,234.0,273.05896,-39.05896
231.0,232.0,271.736451,-39.736451
322.0,323.0,344.91704,-21.91704
164.0,165.0,234.856574,-69.856574
320.0,321.0,343.02282,-22.02282
239.0,240.0,277.103574,-37.103574
333.0,334.0,355.564894,-21.564894
241.0,242.0,278.477473,-36.477473
243.0,244.0,279.86422,-35.86422
245.0,246.0,281.263814,-35.263814
302.0,465.0,326.552978,138.447022
160.0,161.0,233.110873,-72.110873
331.0,332.0,353.600014,-21.600014
247.0,248.0,282.676256,-34.676256
249.0,250.0,284.101545,-34.101545
253.0,254.0,286.990665,-32.990665
255.0,256.0,288.454496,-32.454496
257.0,258.0,289.931175,-31.931175
259.0,260.0,291.420701,-31.420701
261.0,262.0,292.923074,-30.923074
173.0,174.0,238.972294,-64.972294
263.0,264.0,294.438295,-30.438295
265.0,266.0,295.966363,-29.966363
267.0,466.0,297.507279,168.492721
268.0,269.0,298.282555,-29.282555
270.0,271.0,299.842741,-28.842741
272.0,273.0,301.415776,-28.415776
166.0,167.0,235.748695,-68.748695
185.0,186.0,244.864613,-58.864613
279.0,280.0,307.022569,-27.022569
324.0,325.0,346.824106,-21.824106
276.0,508.0,304.600386,203.399614
281.0,282.0,308.653416,-26.653416
283.0,284.0,310.297111,-26.297111
326.0,327.0,348.744021,-21.744021
285.0,286.0,311.953654,-25.953654
287.0,288.0,313.623043,-25.623043
175.0,176.0,239.922229,-63.922229
177.0,178.0,240.885011,-62.885011
179.0,180.0,241.86064,-61.86064
293.0,471.0,318.708297,152.291703
339.0,485.0,361.536619,123.463381
289.0,290.0,315.305281,-25.305281
291.0,292.0,317.000365,-25.000365
187.0,188.0,245.891633,-57.891633
237.0,238.0,275.742522,-37.742522
295.0,296.0,320.429077,-24.429077
297.0,298.0,322.162704,-24.162704
299.0,454.0,323.909178,130.090822
251.0,252.0,285.539681,-33.539681
277.0,491.0,305.404569,185.595431
278.0,482.0,306.211963,175.788037
274.0,275.0,303.001657,-28.001657
306.0,307.0,330.123011,-23.123011
199.0,200.0,252.323544,-52.323544
205.0,206.0,255.712939,-49.712939
330.0,483.0,352.622392,130.377608
162.0,163.0,233.9773,-70.9773
294.0,452.0,319.567081,132.432919
305.0,453.0,329.225685,123.774315
447.0,448.0,488.79984,-40.79984
446.0,512.0,487.449642,24.550358
443.0,444.0,483.418322,-39.418322
445.0,513.0,486.102657,26.897343
440.0,511.0,479.415907,31.584093
8.0,9.0,204.853979,-195.853979
32.0,490.0,204.382188,285.617812
31.0,475.0,204.364909,270.635091
12.0,13.0,204.646873,-191.646873
21.0,22.0,204.368778,-182.368778
6.0,7.0,204.976803,-197.976803
23.0,24.0,204.342309,-180.342309
25.0,506.0,204.328688,301.671312
28.0,29.0,204.332345,-175.332345
26.0,27.0,204.326695,-177.326695
30.0,517.0,204.350843,312.649157
2.0,3.0,205.260993,-202.260993
17.0,18.0,204.460257,-186.460257
20.0,474.0,204.38683,269.61317
14.0,15.0,204.562591,-189.562591
16.0,516.0,204.491156,311.508844
19.0,507.0,204.408094,302.591906
33.0,34.0,204.402678,-170.402678
10.0,11.0,204.744002,-193.744002
428.0,515.0,463.695318,51.304682
429.0,494.0,464.987702,29.012298
430.0,431.0,466.283298,-35.283298
432.0,433.0,468.884125,-35.884125
434.0,435.0,471.497799,-36.497799
424.0,425.0,458.557901,-33.557901
436.0,495.0,474.124321,20.875679
438.0,514.0,476.763691,37.236309
437.0,510.0,475.4424,34.5576
439.0,509.0,478.088193,30.911807
406.0,407.0,436.075471,-29.075471
404.0,405.0,433.64166,-28.64166
359.0,480.0,382.277452,97.722548
371.0,455.0,395.338627,59.661373
409.0,410.0,439.750276,-29.750276
367.0,368.0,390.933512,-22.933512
358.0,492.0,381.209898,110.790102
348.0,456.0,370.711007,85.288993
351.0,472.0,373.82695,98.17305
352.0,353.0,374.872021,-21.872021
372.0,373.0,396.447935,-23.447935
374.0,375.0,398.676188,-23.676188
408.0,478.0,438.522129,39.477871
376.0,377.0,400.917287,-23.917287
378.0,496.0,403.171234,92.828766
379.0,380.0,404.303026,-24.303026
383.0,497.0,408.862309,88.137691
349.0,350.0,371.746443,-21.746443
384.0,385.0,410.01016,-25.01016
386.0,387.0,412.315496,-25.315496
344.0,345.0,366.601383,-21.601383
420.0,421.0,453.471873,-32.471873
422.0,423.0,456.008463,-33.008463
416.0,417.0,448.437236,-31.437236
411.0,412.0,442.216205,-30.216205
388.0,389.0,414.63368,-25.63368
390.0,391.0,416.964712,-25.964712
392.0,393.0,419.308591,-26.308591
394.0,395.0,421.665317,-26.665317
396.0,397.0,424.034891,-27.034891
398.0,399.0,426.417312,-27.417312
414.0,415.0,445.939188,-30.939188
400.0,401.0,428.81258,-27.81258
363.0,364.0,386.579787,-22.579787
354.0,355.0,376.971799,-21.971799
356.0,357.0,379.084425,-22.084425
403.0,493.0,432.429572,60.570428
413.0,473.0,444.694982,28.305018
402.0,479.0,431.220696,47.779304
365.0,366.0,388.750226,-22.750226
418.0,419.0,450.948131,-31.948131
361.0,362.0,384.422196,-22.422196
360.0,481.0,383.348218,97.651782
