batch_ewes,interval_days,base_ewes,rams,annual_output,max_pens,mean_pens,utilization,feasible_112_pens
14,10,321,7,1008.0,85.0,84.80274,0.757167,True
21,10,481,10,1512.0,125.0,124.70411,1.11343,False
28,10,642,13,2016.0,167.0,166.605479,1.487549,False
35,10,802,17,2520.0,208.0,207.605479,1.85362,False
42,10,962,20,3024.0,249.0,248.506849,2.218811,False
49,10,1123,23,3528.0,290.0,289.408219,2.584002,False
56,10,1283,26,4032.0,332.0,331.309589,2.958121,False
63,10,1443,29,4536.0,373.0,372.210959,3.323312,False
70,10,1603,33,5040.0,415.0,414.112329,3.697432,False
77,10,1764,36,5544.0,457.0,456.013699,4.071551,False
84,10,1924,39,6048.0,497.0,495.915068,4.427813,False
91,10,2084,42,6552.0,539.0,537.915068,4.802813,False
98,10,2245,45,7056.0,580.0,578.816438,5.168004,False
105,10,2405,49,7560.0,621.0,619.717808,5.533195,False
112,10,2565,52,8064.0,662.0,660.619178,5.898386,False
119,10,2726,55,8568.0,705.0,703.520548,6.281433,False
126,10,2886,58,9072.0,745.0,743.421918,6.637696,False
133,10,3046,61,9576.0,787.0,785.323288,7.011815,False
140,10,3206,65,10080.0,829.0,827.224658,7.385934,False
147,10,3367,68,10584.0,869.0,867.224658,7.743077,False
154,10,3527,71,11088.0,911.0,909.126027,8.117197,False
161,10,3687,74,11592.0,952.0,950.027397,8.482387,False
168,10,3848,77,12096.0,993.0,990.928767,8.847578,False
175,10,4008,81,12600.0,1035.0,1032.830137,9.221698,False
182,10,4168,84,13104.0,1077.0,1074.731507,9.595817,False
189,10,4329,87,13608.0,1117.0,1114.632877,9.952079,False
196,10,4489,90,14112.0,1159.0,1156.534247,10.326199,False
203,10,4649,93,14616.0,1200.0,1197.534247,10.69227,False
210,10,4809,97,15120.0,1241.0,1238.435616,11.057461,False
217,10,4970,100,15624.0,1283.0,1280.336986,11.43158,False
224,10,5130,103,16128.0,1324.0,1321.238356,11.796771,False
231,10,5290,106,16632.0,1366.0,1363.139726,12.17089,False
238,10,5451,110,17136.0,1407.0,1404.041096,12.536081,False
245,10,5611,113,17640.0,1449.0,1445.942466,12.910201,False
252,10,5771,116,18144.0,1489.0,1485.843836,13.266463,False
259,10,5932,119,18648.0,1531.0,1527.843836,13.641463,False
266,10,6092,122,19152.0,1572.0,1568.745205,14.006654,False
273,10,6252,126,19656.0,1613.0,1609.646575,14.371844,False
280,10,6412,129,20160.0,1655.0,1651.547945,14.745964,False
14,11,292,6,924.0,77.0,76.005479,0.67862,True
21,11,438,9,1386.0,116.0,113.909589,1.01705,False
28,11,583,12,1848.0,153.0,150.638356,1.344985,False
35,11,729,15,2310.0,193.0,189.276712,1.689971,False
42,11,875,18,2772.0,230.0,225.819178,2.016243,False
49,11,1021,21,3234.0,269.0,264.09589,2.357999,False
56,11,1166,24,3696.0,306.0,300.638356,2.684271,False
63,11,1312,27,4158.0,346.0,339.276712,3.029256,False
70,11,1458,30,4620.0,383.0,376.005479,3.357192,False
77,11,1603,33,5082.0,422.0,414.547945,3.701321,False
84,11,1749,35,5544.0,459.0,450.638356,4.023557,False
91,11,1895,38,6006.0,499.0,489.276712,4.368542,False
98,11,2041,41,6468.0,536.0,526.457534,4.700514,False
105,11,2186,44,6930.0,575.0,563.909589,5.034907,False
112,11,2332,47,7392.0,612.0,600.638356,5.362842,False
119,11,2478,50,7854.0,652.0,639.915068,5.713527,False
126,11,2624,53,8316.0,689.0,675.819178,6.0341,False
133,11,2769,56,8778.0,728.0,714.547945,6.379892,False
140,11,2915,59,9240.0,765.0,751.276712,6.707828,False
147,11,3061,62,9702.0,805.0,789.276712,7.047114,False
154,11,3206,65,10164.0,842.0,826.457534,7.379085,False
161,11,3352,68,10626.0,881.0,864.547945,7.719178,False
168,11,3498,70,11088.0,918.0,900.638356,8.041414,False
175,11,3644,73,11550.0,957.0,938.915068,8.38317,False
182,11,3789,76,12012.0,995.0,976.457534,8.718371,False
189,11,3935,79,12474.0,1033.0,1013.734247,9.051199,False
196,11,4081,82,12936.0,1071.0,1051.090411,9.384736,False
203,11,4227,85,13398.0,1110.0,1089.10137,9.724119,False
210,11,4372,88,13860.0,1148.0,1126.457534,10.057657,False
217,11,4518,91,14322.0,1186.0,1163.734247,10.390484,False
224,11,4664,94,14784.0,1224.0,1201.276712,10.725685,False
231,11,4809,97,15246.0,1263.0,1238.915068,11.061742,False
238,11,4955,100,15708.0,1301.0,1276.457534,11.396942,False
245,11,5101,103,16170.0,1339.0,1314.372603,11.73547,False
252,11,5247,105,16632.0,1377.0,1351.090411,12.063307,False
259,11,5392,108,17094.0,1416.0,1389.10137,12.402691,False
266,11,5538,111,17556.0,1454.0,1426.909589,12.740264,False
273,11,5684,114,18018.0,1492.0,1463.734247,13.069056,False
280,11,5830,117,18480.0,1530.0,1501.276712,13.404256,False
14,12,268,6,840.0,71.0,69.509589,0.620621,True
21,12,401,9,1260.0,107.0,105.09863,0.938381,True
28,12,535,11,1680.0,141.0,138.353425,1.235298,False
35,12,668,14,2100.0,176.0,173.852055,1.55225,False
42,12,802,17,2520.0,211.0,207.19726,1.849976,False
49,12,936,19,2940.0,246.0,242.032877,2.161008,False
56,12,1069,22,3360.0,280.0,275.950685,2.463845,False
63,12,1203,25,3780.0,316.0,310.876712,2.775685,False
70,12,1336,27,4200.0,350.0,344.794521,3.078523,False
77,12,1470,30,4620.0,386.0,380.049315,3.393297,False
84,12,1603,33,5040.0,420.0,413.638356,3.6932,False
91,12,1737,35,5460.0,455.0,448.473973,4.004232,False
98,12,1871,38,5880.0,490.0,482.147945,4.304892,False
105,12,2004,41,6300.0,526.0,517.654795,4.621918,False
112,12,2138,43,6720.0,559.0,550.572603,4.915827,False
119,12,2271,46,7140.0,596.0,586.827397,5.23953,False
126,12,2405,49,7560.0,629.0,619.416438,5.530504,False
133,12,2539,51,7980.0,666.0,655.008219,5.848288,False
140,12,2672,54,8400.0,699.0,688.589041,6.148116,False
147,12,2806,57,8820.0,735.0,723.432877,6.459222,False
154,12,2939,59,9240.0,769.0,757.432877,6.762794,False
161,12,3073,62,9660.0,805.0,792.605479,7.076835,False
168,12,3206,65,10080.0,839.0,826.194521,7.376737,False
175,12,3340,67,10500.0,875.0,861.449315,7.691512,False
182,12,3474,70,10920.0,909.0,894.70411,7.98843,False
189,12,3607,73,11340.0,945.0,930.293151,8.306189,False
196,12,3741,75,11760.0,979.0,963.547945,8.603107,False
203,12,3874,78,12180.0,1014.0,999.046575,8.920059,False
210,12,4008,81,12600.0,1049.0,1032.391781,9.217784,False
