day,mating_pens,pregnant_pens,lactating_pens,fattening_pens,resting_pens,ram_pens,total_pens
730,4.0,35.0,10.0,56.0,4.0,2.0,111.0
731,4.0,35.0,10.0,56.0,4.0,2.0,111.0
732,4.0,35.0,10.0,56.0,4.0,2.0,111.0
733,4.0,35.0,10.0,56.0,4.0,2.0,111.0
734,4.0,32.0,14.0,56.0,2.0,2.0,110.0
735,2.0,35.0,14.0,56.0,2.0,2.0,111.0
736,2.0,35.0,14.0,56.0,2.0,2.0,111.0
737,2.0,35.0,14.0,56.0,2.0,2.0,111.0
738,2.0,35.0,14.0,56.0,2.0,2.0,111.0
739,2.0,35.0,14.0,56.0,2.0,2.0,111.0
740,2.0,35.0,14.0,56.0,2.0,2.0,111.0
741,2.0,35.0,14.0,56.0,2.0,2.0,111.0
742,2.0,35.0,14.0,56.0,2.0,2.0,111.0
743,2.0,35.0,14.0,56.0,2.0,2.0,111.0
744,2.0,35.0,10.0,56.0,4.0,2.0,109.0
745,4.0,35.0,10.0,56.0,4.0,2.0,111.0
746,4.0,35.0,10.0,56.0,4.0,2.0,111.0
747,4.0,35.0,10.0,56.0,4.0,2.0,111.0
748,4.0,35.0,10.0,56.0,4.0,2.0,111.0
749,4.0,32.0,14.0,56.0,2.0,2.0,110.0
750,2.0,35.0,14.0,56.0,2.0,2.0,111.0
751,2.0,35.0,14.0,56.0,2.0,2.0,111.0
752,2.0,35.0,14.0,56.0,2.0,2.0,111.0
753,2.0,35.0,14.0,56.0,2.0,2.0,111.0
754,2.0,35.0,14.0,56.0,2.0,2.0,111.0
755,2.0,35.0,14.0,56.0,2.0,2.0,111.0
756,2.0,35.0,14.0,56.0,2.0,2.0,111.0
757,2.0,35.0,14.0,56.0,2.0,2.0,111.0
758,2.0,35.0,14.0,56.0,2.0,2.0,111.0
759,2.0,35.0,10.0,56.0,4.0,2.0,109.0
760,4.0,35.0,10.0,56.0,4.0,2.0,111.0
761,4.0,35.0,10.0,56.0,4.0,2.0,111.0
762,4.0,35.0,10.0,56.0,4.0,2.0,111.0
763,4.0,35.0,10.0,56.0,4.0,2.0,111.0
764,4.0,32.0,14.0,56.0,2.0,2.0,110.0
765,2.0,35.0,14.0,56.0,2.0,2.0,111.0
766,2.0,35.0,14.0,56.0,2.0,2.0,111.0
767,2.0,35.0,14.0,56.0,2.0,2.0,111.0
768,2.0,35.0,14.0,56.0,2.0,2.0,111.0
769,2.0,35.0,14.0,56.0,2.0,2.0,111.0
770,2.0,35.0,14.0,56.0,2.0,2.0,111.0
771,2.0,35.0,14.0,56.0,2.0,2.0,111.0
772,2.0,35.0,14.0,56.0,2.0,2.0,111.0
773,2.0,35.0,14.0,56.0,2.0,2.0,111.0
774,2.0,35.0,10.0,56.0,4.0,2.0,109.0
775,4.0,35.0,10.0,56.0,4.0,2.0,111.0
776,4.0,35.0,10.0,56.0,4.0,2.0,111.0
777,4.0,35.0,10.0,56.0,4.0,2.0,111.0
778,4.0,35.0,10.0,56.0,4.0,2.0,111.0
779,4.0,32.0,14.0,56.0,2.0,2.0,110.0
780,2.0,35.0,14.0,56.0,2.0,2.0,111.0
781,2.0,35.0,14.0,56.0,2.0,2.0,111.0
782,2.0,35.0,14.0,56.0,2.0,2.0,111.0
783,2.0,35.0,14.0,56.0,2.0,2.0,111.0
784,2.0,35.0,14.0,56.0,2.0,2.0,111.0
785,2.0,35.0,14.0,56.0,2.0,2.0,111.0
786,2.0,35.0,14.0,56.0,2.0,2.0,111.0
787,2.0,35.0,14.0,56.0,2.0,2.0,111.0
788,2.0,35.0,14.0,56.0,2.0,2.0,111.0
789,2.0,35.0,10.0,56.0,4.0,2.0,109.0
790,4.0,35.0,10.0,56.0,4.0,2.0,111.0
791,4.0,35.0,10.0,56.0,4.0,2.0,111.0
792,4.0,35.0,10.0,56.0,4.0,2.0,111.0
793,4.0,35.0,10.0,56.0,4.0,2.0,111.0
794,4.0,32.0,14.0,56.0,2.0,2.0,110.0
795,2.0,35.0,14.0,56.0,2.0,2.0,111.0
796,2.0,35.0,14.0,56.0,2.0,2.0,111.0
797,2.0,35.0,14.0,56.0,2.0,2.0,111.0
798,2.0,35.0,14.0,56.0,2.0,2.0,111.0
799,2.0,35.0,14.0,56.0,2.0,2.0,111.0
800,2.0,35.0,14.0,56.0,2.0,2.0,111.0
801,2.0,35.0,14.0,56.0,2.0,2.0,111.0
802,2.0,35.0,14.0,56.0,2.0,2.0,111.0
803,2.0,35.0,14.0,56.0,2.0,2.0,111.0
804,2.0,35.0,10.0,56.0,4.0,2.0,109.0
805,4.0,35.0,10.0,56.0,4.0,2.0,111.0
806,4.0,35.0,10.0,56.0,4.0,2.0,111.0
807,4.0,35.0,10.0,56.0,4.0,2.0,111.0
808,4.0,35.0,10.0,56.0,4.0,2.0,111.0
809,4.0,32.0,14.0,56.0,2.0,2.0,110.0
810,2.0,35.0,14.0,56.0,2.0,2.0,111.0
811,2.0,35.0,14.0,56.0,2.0,2.0,111.0
812,2.0,35.0,14.0,56.0,2.0,2.0,111.0
813,2.0,35.0,14.0,56.0,2.0,2.0,111.0
814,2.0,35.0,14.0,56.0,2.0,2.0,111.0
815,2.0,35.0,14.0,56.0,2.0,2.0,111.0
816,2.0,35.0,14.0,56.0,2.0,2.0,111.0
817,2.0,35.0,14.0,56.0,2.0,2.0,111.0
818,2.0,35.0,14.0,56.0,2.0,2.0,111.0
819,2.0,35.0,10.0,56.0,4.0,2.0,109.0
820,4.0,35.0,10.0,56.0,4.0,2.0,111.0
821,4.0,35.0,10.0,56.0,4.0,2.0,111.0
822,4.0,35.0,10.0,56.0,4.0,2.0,111.0
823,4.0,35.0,10.0,56.0,4.0,2.0,111.0
824,4.0,32.0,14.0,56.0,2.0,2.0,110.0
825,2.0,35.0,14.0,56.0,2.0,2.0,111.0
826,2.0,35.0,14.0,56.0,2.0,2.0,111.0
827,2.0,35.0,14.0,56.0,2.0,2.0,111.0
828,2.0,35.0,14.0,56.0,2.0,2.0,111.0
829,2.0,35.0,14.0,56.0,2.0,2.0,111.0
830,2.0,35.0,14.0,56.0,2.0,2.0,111.0
831,2.0,35.0,14.0,56.0,2.0,2.0,111.0
832,2.0,35.0,14.0,56.0,2.0,2.0,111.0
833,2.0,35.0,14.0,56.0,2.0,2.0,111.0
834,2.0,35.0,10.0,56.0,4.0,2.0,109.0
835,4.0,35.0,10.0,56.0,4.0,2.0,111.0
836,4.0,35.0,10.0,56.0,4.0,2.0,111.0
837,4.0,35.0,10.0,56.0,4.0,2.0,111.0
838,4.0,35.0,10.0,56.0,4.0,2.0,111.0
839,4.0,32.0,14.0,56.0,2.0,2.0,110.0
840,2.0,35.0,14.0,56.0,2.0,2.0,111.0
841,2.0,35.0,14.0,56.0,2.0,2.0,111.0
842,2.0,35.0,14.0,56.0,2.0,2.0,111.0
843,2.0,35.0,14.0,56.0,2.0,2.0,111.0
844,2.0,35.0,14.0,56.0,2.0,2.0,111.0
845,2.0,35.0,14.0,56.0,2.0,2.0,111.0
846,2.0,35.0,14.0,56.0,2.0,2.0,111.0
847,2.0,35.0,14.0,56.0,2.0,2.0,111.0
848,2.0,35.0,14.0,56.0,2.0,2.0,111.0
849,2.0,35.0,10.0,56.0,4.0,2.0,109.0
