batch_ewes,interval_days,lactation_days,rest_days,base_ewes,rams,expected_annual_output,max_expected_pens,mean_expected_pens,utilization,expected_loss,section,day,mating_pens,pregnant_pens,lactating_pens,fattening_pens,resting_pens,ram_pens,total_pens
42,20,35,20,471,10,1371.3084,112.0,110.273973,0.984589,630.0,,,,,,,,,
42,20,35,24,479,10,1371.3084,113.0,111.073973,0.991732,642.0,,,,,,,,,
42,20,35,18,467,10,1371.3084,112.0,110.076712,0.982828,702.0,,,,,,,,,
35,16,45,18,508,11,1460.1895,114.0,112.567123,1.005064,713.0,,,,,,,,,
42,20,38,20,477,10,1371.3084,112.0,109.682192,0.979305,846.0,,,,,,,,,
35,16,45,20,512,11,1460.1895,114.0,112.819178,1.007314,897.0,,,,,,,,,
42,20,38,18,473,10,1371.3084,112.0,109.484932,0.977544,918.0,,,,,,,,,
42,20,40,20,481,10,1371.3084,112.0,109.287671,0.975783,990.0,,,,,,,,,
42,20,38,24,486,10,1371.3084,115.0,110.438356,0.986057,1026.0,,,,,,,,,
42,20,40,18,477,10,1371.3084,112.0,109.041096,0.973581,1080.0,,,,,,,,,
70,32,45,18,508,11,1396.703,115.0,112.586301,1.005235,1158.0,,,,,,,,,
42,20,42,20,486,10,1371.3084,113.0,108.89589,0.972285,1209.0,,,,,,,,,
42,20,42,18,481,10,1371.3084,112.0,108.643836,0.970034,1225.0,,,,,,,,,
63,30,40,24,490,10,1371.3084,115.0,111.126027,0.992197,1395.0,,,,,,,,,
35,16,45,24,521,11,1460.1895,114.0,113.306849,1.011668,1431.0,,,,,,,,,
49,24,35,18,454,10,1333.2165,113.0,108.69863,0.970523,1445.0,,,,,,,,,
70,32,45,20,512,11,1396.703,117.0,112.893151,1.007975,1450.0,,,,,,,,,
63,30,40,20,481,10,1371.3084,113.0,110.468493,0.986326,1491.0,,,,,,,,,
42,20,40,24,490,10,1371.3084,115.0,109.956164,0.981751,1506.0,,,,,,,,,
63,30,40,18,477,10,1371.3084,113.0,110.139726,0.98339,1515.0,,,,,,,,,
84,40,45,24,500,10,1371.3084,114.0,108.819178,0.9716,1521.0,,,,,,,,,
56,26,40,24,502,11,1422.0976,115.0,113.0,1.008929,1543.0,,,,,,,,,
63,30,42,24,494,10,1371.3084,115.0,110.523288,0.986815,1563.0,,,,,,,,,
49,24,35,20,458,10,1333.2165,114.0,109.043836,0.973606,1575.0,,,,,,,,,
42,20,45,18,488,10,1447.4922,113.0,108.090411,0.965093,1579.0,,,,,,,,,
84,40,45,20,492,10,1371.3084,114.0,108.213699,0.966194,1598.0,,,,,,,,,
35,16,42,18,501,11,1460.1895,118.0,113.134247,1.010127,1610.0,,,,,,,,,
63,30,38,20,477,10,1485.5841,121.0,110.950685,0.990631,1635.0,,,,,,,,,
63,30,38,24,486,10,1485.5841,121.0,111.608219,0.996502,1635.0,,,,,,,,,
42,20,45,20,492,10,1447.4922,113.0,108.29863,0.966952,1655.0,,,,,,,,,
63,30,38,18,473,10,1485.5841,121.0,110.621918,0.987696,1659.0,,,,,,,,,
42,20,45,24,500,10,1447.4922,114.0,109.106849,0.974168,1664.0,,,,,,,,,
84,40,45,18,488,10,1371.3084,113.0,107.890411,0.963307,1680.0,,,,,,,,,
56,26,40,18,489,10,1422.0976,115.0,112.117808,1.001052,1697.0,,,,,,,,,
56,26,42,24,507,11,1422.0976,115.0,112.424658,1.003792,1697.0,,,,,,,,,
35,16,42,20,506,11,1460.1895,118.0,113.386301,1.012378,1702.0,,,,,,,,,
77,36,35,18,475,10,1396.703,117.0,111.917808,0.999266,1710.0,,,,,,,,,
63,30,42,18,481,10,1371.3084,113.0,109.536986,0.978009,1731.0,,,,,,,,,
