time_s,handle,x_m,y_m,speed_m_s,theta_rad
0,龙头前把手,8.8,0.0,1.0,100.530965
0,第1节龙身前把手,8.367761,-2.814471,1.0,100.855425
0,第51节龙身前把手,-9.499645,-1.462899,1.0,109.802948
0,第101节龙身前把手,2.704043,9.975683,1.0,118.074427
0,第151节龙身前把手,10.905143,-1.531915,1.0,125.803269
0,第201节龙身前把手,4.89494,-10.571252,1.0,133.084041
0,龙尾后把手,-5.661668,10.48867,1.0,136.164311
1,龙头前把手,8.733296,0.997233,1.0,100.41727
1,第1节龙身前把手,8.622662,-1.848057,1.0,100.742096
1,第51节龙身前把手,-9.287429,-2.439659,1.0,109.698862
1,第101节龙身前把手,1.725946,10.181951,1.0,117.977639
1,第151节龙身前把手,10.991205,-0.53597,1.0,125.712431
1,第201节龙身前把手,5.779766,-10.10599,1.0,132.998175
1,龙尾后把手,-6.516921,9.971026,1.0,136.080389
2,龙头前把手,8.553813,1.980445,1.0,100.303446
2,第1节龙身前把手,8.766565,-0.859008,1.0,100.62864
2,第51节龙身前把手,-8.974823,-3.389066,1.0,109.594678
2,第101节龙身前把手,0.73249,10.292688,1.0,117.880771
2,第151节龙身前把手,10.986528,0.463674,1.0,125.621527
2,第201节龙身前把手,6.621414,-9.566533,1.0,132.912254
2,龙尾后把手,-7.325755,9.383488,1.0,135.996415
3,龙头前把手,8.263747,2.936886,1.0,100.189493
3,第1节龙身前把手,8.797494,0.139976,1.0,100.515055
3,第51节龙身前把手,-8.565124,-4.30079,1.0,109.490394
3,第101节龙身前把手,-0.267019,10.306774,1.0,117.783823
3,第151节龙身前把手,10.891085,1.458763,1.0,125.530558
3,第201节龙身前把手,7.413642,-8.956813,1.0,132.826277
3,龙尾后把手,-8.082439,8.730158,1.0,135.912389
4,龙头前把手,7.866739,3.854111,1.0,100.07541
4,第1节龙身前把手,8.714923,1.136021,1.0,100.401342
4,第51节龙身前把手,-8.062696,-5.164884,1.0,109.386011
4,第101节龙身前把手,-1.263194,10.224,1.0,117.686796
